"site","hydroseason","group","common_name","functional_grp","n","d13C","d13Csd","d15N","d15Nsd","d34S","d34Ssd"
"RB10","Dry","Consumer","Bluegill","demersal_fish",6,-31.4783333333333,0.501773521288905,11.3066666666667,1.70444908010379,24.59,1.57680690003564
"RB10","Dry","Consumer","Coastal Shiner","Forage_fish",15,-32.1766666666667,0.544054444054305,12.3173333333333,0.819481252872525,23.5173333333333,3.26690650237164
"RB10","Dry","Consumer","Dollar Sunfish","demersal_fish",1,-30.33,NA,10.94,NA,25.79,NA
"RB10","Dry","Consumer","Eastern Grass Shrimp","Shrimp",1,-31.61,NA,12.08,NA,25.06,NA
"RB10","Dry","Consumer","Flatback Mud Crab","Crab",2,-25.675,0.643467170879758,7.66,2.87085353161738,11.86,8.6832712729708
"RB10","Dry","Consumer","Golden Topminnow","Forage_fish",1,-27.93,NA,9.85,NA,24.67,NA
"RB10","Dry","Consumer","Hogchoker","demersal_fish",3,-31.5666666666667,0.323934149686837,10.1866666666667,0.309246395829173,18.4433333333333,3.78995162678013
"RB10","Dry","Consumer","Peacock Eel","demersal_fish",7,-28.3511938742857,1.20924541827182,9.22717150128571,1.23768008785916,20.50969077,1.39729723187859
"RB10","Dry","Consumer","Redear Sunfish","demersal_fish",1,-30.5,NA,12.82,NA,25.16,NA
"RB10","Dry","Consumer","Tidewater Silverside","Forage_fish",2,-31.185,0.827314933988259,11.23,0.311126983722081,22.305,0.205060966544098
"RB10","Wet","Consumer","Bluefin Killifish","Forage_fish",2,-30.34,1.82433549546129,9.12,0.0282842712474626,11.955,11.6743329573899
"RB10","Wet","Consumer","Bluegill","demersal_fish",3,-31.46,2.69438304626495,10.32,0.720277724214765,17.2966666666667,2.04988617570179
"RB10","Wet","Consumer","Bowfin","Predator",3,-30.5766666666667,1.22858997771158,11.12,0.192873015219859,24.62,0.386264158316558
"RB10","Wet","Consumer","Clown Goby","demersal_fish",1,-33.59,NA,12.39,NA,21.83,NA
"RB10","Wet","Consumer","Coastal Shiner","Forage_fish",2,-31.725,1.30814754519511,11.54,2.07889393668845,20.73,3.22440692221066
"RB10","Wet","Consumer","Crested Goby","demersal_fish",2,-32.37,0.565685424949241,12.09,1.11722871427475,18.845,2.28395490323255
"RB10","Wet","Consumer","Dollar Sunfish","demersal_fish",8,-27.71875,1.73125419029921,8.98375,0.821391458788944,16.17,4.16864486374169
"RB10","Wet","Consumer","Eastern Grass Shrimp","Shrimp",2,-30.525,0.417193000900063,11.16,0.15556349186104,22.02,0.410121933088196
"RB10","Wet","Consumer","Eastern Mosquitofish","Forage_fish",3,-29.4666666666667,0.731869751617959,10.6066666666667,0.353883219909242,19.4533333333333,1.06758293979125
"RB10","Wet","Consumer","Gar","Predator",5,-28.534,1.17876206250456,11.838,0.389448327766342,23.222,2.82546810281058
"RB10","Wet","Consumer","Harris Mud Crab","Crab",2,-31.13,NA,9.46,0.169705627484772,18.09,1.79605122421383
"RB10","Wet","Consumer","Hogchoker","demersal_fish",2,-31.18,0.438406204335658,10.315,1.42128463018496,15.225,0.459619407771256
"RB10","Wet","Consumer","Largemouth Bass","Predator",4,-29.27,0.903880523078134,12.445,0.485077313425396,21.7125,2.40709195226661
"RB10","Wet","Consumer","Peacock Eel","demersal_fish",5,-29.63,1.09651721372717,9.57,0.324191301548947,21.954,1.28126109751292
"RB10","Wet","Consumer","Redear Sunfish","demersal_fish",5,-29.02,1.3027662875589,9.01,0.514344242701325,20.078,3.86051421445382
"RB10","Wet","Consumer","Redfish","Predator",3,-31.1733333333333,0.461446999484592,13.0233333333333,0.526244556583091,15.2866666666667,6.82697834574956
"RB10","Wet","Consumer","Snook","Predator",5,-29.428,0.789284486101177,11.666,1.20914432554596,15.922,5.59502189450587
"RB10","Wet","Consumer","Spotted Sunfish","demersal_fish",2,-30.045,0.770746391493337,10.51,1.01823376490863,23.79,1.49906637611548
"RB10","Wet","Consumer","Spotted Tilapia","demersal_fish",4,-32.31,2.79306283495377,8.68,1.38530381745907,19.4075,3.60094779190146
"RB10","Wet","Consumer","Striped Mullet","demersal_fish",2,-32.305,0.558614357137375,10.36,1.5980613254816,12.805,3.14662517628014
"RB10","Wet","Consumer","Tidewater Mojarra","Forage_fish",3,-31.87,0.381575680566778,12.31,0.163707055437449,16.62,1.51522275590093
"RB10","Wet","Consumer","Tidewater Silverside","Forage_fish",2,-30.28,0.212132034355965,12.085,0.247487373415291,20.665,0.134350288425445
