"site","hydroseason","group","common_name","functional_grp","n","d13C","d13Csd","d15N","d15Nsd","d34S","d34Ssd"
"SRS4","Dry","Consumer","Dark False Mussel","Sessile_filter_feeder",1,-34.84,NA,8.23,NA,-0.99,NA
"SRS4","Dry","Consumer","Eastern Grass Shrimp","Shrimp",3,-28.0066666666667,0.22233608194203,9.44333333333333,0.819776392276171,10.5366666666667,1.46575350360602
"SRS4","Dry","Consumer","Harris Mud Crab","Crab",6,-25.6333333333333,7.75960995583326,6.75833333333333,0.540237602048086,5.89333333333333,4.65047811162107
"SRS4","Dry","Consumer","Pink Shrimp","Shrimp",1,-26.33,NA,10.81,NA,13.96,NA
"SRS4","Dry","Consumer","Redfish","Predator",1,-30.87,NA,10.09,NA,4.48,NA
"SRS4","Dry","Consumer","Snook","Predator",1,-29.59,NA,10.19,NA,5.75,NA
"SRS4","Dry","Consumer","Water Strider","Insect",1,-29.58,NA,8.97,NA,9.64,NA
"SRS4","Wet","Consumer","Blue Crab","Crab",2,-30.84,2.9274220741123,6.985,0.756604255869605,10.635,7.67210857587404
"SRS4","Wet","Consumer","Crested Goby","demersal_fish",3,-29.0333333333333,1.63689747184524,9.37333333333333,0.738940683230619,9.63666666666667,2.60219778904935
"SRS4","Wet","Consumer","Dark False Mussel","Sessile_filter_feeder",1,-32.53,NA,6.12,NA,5.95,NA
"SRS4","Wet","Consumer","Eastern Grass Shrimp","Shrimp",2,-29.515,0.982878425849301,8.175,0.233345237791561,9.095,0.190918830920368
"SRS4","Wet","Consumer","Harris Mud Crab","Crab",2,-31.935,0.544472221513641,6.1,0.254558441227157,3.65,0.650538238691624
"SRS4","Wet","Consumer","Pink Shrimp","Shrimp",2,-31.62,0.42426406871193,7.545,0.756604255869606,5.25,0.636396103067893
"SRS4","Wet","Consumer","Redfish","Predator",2,-30.97,0.0141421356237306,10.885,0.148492424049176,3.725,1.1667261889578
"SRS4","Wet","Consumer","Sailfin Molly","Forage_fish",3,-31.8833333333333,1.17035607117378,5.13333333333333,1.00976895047002,9.77333333333333,3.64137794431357
"SRS4","Wet","Consumer","Snook","Predator",4,-28.7425,1.81542235673502,10.87,0.581435006399397,5.5325,1.62286526448337
"SRS4","Wet","Consumer","Spotted Tilapia","demersal_fish",3,-33.54,2.19560925485388,9.22666666666667,0.502924779001129,10.09,3.38288338551597
"SRS4","Wet","Consumer","Striped Mojarra","demersal_fish",3,-32.4766666666667,0.422532050066422,9.47333333333333,0.515978035708239,2.05666666666667,0.611582646363787
"SRS4","Wet","Consumer","Striped Mullet","demersal_fish",4,-20.0625,3.89084716567828,7.8925,1.00091208405134,5.2875,2.96473017321982
"SRS4","Wet","Consumer","Tidewater Mojarra","Forage_fish",3,-32.0766666666667,0.225462487641146,9.31333333333333,0.261023626006025,1.52333333333333,1.73793939288266
