processed_at,season,date,hydroseason,year,site,common_name,species_name,functional_grp,group,sampleID,d13C,C%,d15N,N%,d34S,S%,outlier,CN_molar_ratio,CS_molar_ratio,WSU_ID_CN,WSU_ID_S,WSU_ID_C,WSU_ID_N,S_outlier,comment 
ULL,dry19,,Dry,2019,TS10,Algae,Algae,Producer,Source,TS10_ALUN2_d19,-8.3,15.49,3.29,0.91,10.4,0.4,,19.85897436,246.7720535,G-219293,S-30617,,,,
ULL,dry19,,Dry,2019,TS11,Algae,Algae,Producer,Source,TS11_ALUN2_d19,-13.95,98.15307463,2.42,6.537313433,17.55,0.75,,17.51666362,348.9887098,G-224580,S-31394,,,,
ULL,dry19,,Dry,2019,TS11,Algae,Algae,Producer,Source,TS11_ALUN2_d19,-13.95,98.15307463,2.42,6.537313433,12.62,1.06,,17.51666362,246.9259739,G-224580,S-31403,,,,
ULL,dry19,,Dry,2019,TS11,Algae,Algae,Producer,Source,TS11_ALUN1_d19,-10.57,41.29196923,3.5,2.700153846,15.89,1.6,,17.84119233,68.81994872,G-224583,S-31396,,,,
ULL,dry19,,Dry,2019,TS7,Algae,Algae,Producer,Source,TS7_ALUN1A_d19,-21.47,16.61,5.16,1.15,19,2,,16.85072464,22.47081256,G-219146,S-30541,,,re-ran value,
ULL,dry19,,Dry,2019,TS7,Algae,Algae,Producer,Source,TS7_ALUN2B_d19,-20.23,34.41,5.49,2.61,25,2.3,,15.38122605,26.58661363,G-219240,S-30614,,,,
ULL,dry19,,Dry,2019,TS7,Algae,Algae,Producer,Source,TS7_ALUN2B_d19_B,-20.89,31.42,7.01,2.3,,,x,15.93768116,#DIV/0!,G-219253,,,,,
ULL,dry19,,Dry,2019,TS7,Algae,Algae,Producer,Source,TS7_ALUN2A_d19,-22.2,35.3,8.64,0.78,8.77,0.774720497,,52.7991453,121.5061867,G-219167,S-30512,,,,
ULL,dry19,,Dry,2019,TS7,Algae,Algae,Producer,Source,TS7_ALUN1B_d19,-20.49,35.57,9.15,0.83,22.03,4.03,,49.99799197,23.53680728,G-219141,S-30532,,,,
ULL,dry19,,Dry,2019,TS7,Algae,Algae,Producer,Source,TS7_ALUN1B_d19_B,,,,,5.27,0.07,x,#N/A,#N/A,#N/A,S-30546,,,,
ULL,dry19,,Dry,2019,SRS6,Amphipod,Amphipod,Benthic_invert,Consumer,SRS6 AP1,-31.82,30.32,7.14,4.899,16.76,0.715,x,7.220521195,113.0815851,,,,,,
ULL,dry19,,Dry,2019,TS10,Amphipod,Amphipod,Benthic_invert,Consumer,TS10 AP1,-16.89,28.509,5.47,5.197,18.26,0.963,x,6.399942274,78.94496366,,,,,,
ULL,dry19,,Dry,2019,TS9,Amphipod,Amphipod,Benthic_invert,Consumer,TS9_AP2_d19,-18.26,31.27061017,11.2,6.391525424,10.7,2.48,x,5.707929815,33.62431201,G-224589,S-31402,,,,
ULL,dry19,,Dry,2019,TS10,Anemone,Anemone,Sessile_filter_feeder,Consumer,TS10_AE1_d19,-16.58,47.95186667,5.04,4.549,,1.56,x,12.2980533,81.96900285,G-224544,S-31366,,,,
ULL,dry19,,Dry,2019,TS11,Anemone,Anemone,Sessile_filter_feeder,Consumer,TS11_AE1_d19,-14.71,23.92097778,3.58,2.723555556,12.84,0.59,x,10.24682876,108.1174137,G-224556,S-31375,,,,
FIU,wet19,43783,Wet,2019,TS11,Arrow Shrimp,Tozeuma carolinense,Shrimp,Consumer,W19-TS11-Tcar1,-15.95,31.56233,4.18,9.877636364,13.28,1.04,,3.727887622,80.92905128,,S-31016,G-223983,N-10838,,
FIU,wet19,43783,Wet,2019,TS11,Arrow Shrimp,Tozeuma carolinense,Shrimp,Consumer,W19-TS11-Tcar3,-16.44,26.38069091,4.2,7.7434,12.62,0.91,,3.974671685,77.30605395,,S-31048,G-223945,N-10870,,
