"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Bluefin Killifish","RB10","Dry Mangrove","Wet",0.104,0.088,0.003,0.326,0.083,0.034,0.151,0.326,0.003
"Bluefin Killifish","RB10","Epiphytes","Wet",0.595,0.103,0.388,0.787,0.599,0.526,0.667,0.787,0.388
"Bluefin Killifish","RB10","Phytoplankton","Wet",0.263,0.1,0.098,0.482,0.251,0.188,0.33,0.482,0.098
"Bluefin Killifish","RB10","Wet Mangrove","Wet",0.038,0.044,0.001,0.161,0.022,0.007,0.053,0.122,0.001
"Bluegill","RB10","Dry Mangrove","Dry",0.148,0.158,0.002,0.557,0.087,0.027,0.223,0.517,0.002
"Bluegill","RB10","Epiphytes","Dry",0.307,0.164,0.076,0.695,0.276,0.183,0.402,0.695,0.076
"Bluegill","RB10","Phytoplankton","Dry",0.501,0.188,0.106,0.832,0.512,0.371,0.641,0.832,0.106
"Bluegill","RB10","Wet Mangrove","Dry",0.044,0.056,0.001,0.213,0.022,0.007,0.06,0.1395,0.001
"Bluegill","RB10","Dry Mangrove","Wet",0.136,0.148,0.001,0.539,0.081,0.023,0.204,0.4755,0.001
"Bluegill","RB10","Epiphytes","Wet",0.396,0.158,0.115,0.759,0.378,0.288,0.49,0.759,0.115
"Bluegill","RB10","Phytoplankton","Wet",0.425,0.166,0.09,0.731,0.43,0.309,0.541,0.731,0.09
"Bluegill","RB10","Wet Mangrove","Wet",0.044,0.063,0,0.244,0.018,0.005,0.054,0.1275,0
"Bowfin","RB10","Dry Mangrove","Wet",0.201,0.226,0.001,0.773,0.1,0.023,0.322,0.7705,0.001
"Bowfin","RB10","Epiphytes","Wet",0.383,0.234,0.05,0.878,0.343,0.191,0.552,0.878,0.05
"Bowfin","RB10","Phytoplankton","Wet",0.37,0.229,0.03,0.85,0.338,0.184,0.533,0.85,0.03
"Bowfin","RB10","Wet Mangrove","Wet",0.046,0.066,0,0.244,0.018,0.005,0.057,0.135,0
"Clown Goby","RB10","Dry Mangrove","Wet",0.074,0.084,0.001,0.308,0.044,0.014,0.103,0.2365,0.001
"Clown Goby","RB10","Epiphytes","Wet",0.281,0.199,0.048,0.847,0.228,0.144,0.351,0.6615,0.048
"Clown Goby","RB10","Phytoplankton","Wet",0.614,0.209,0.06,0.905,0.658,0.515,0.766,0.905,0.1385
"Clown Goby","RB10","Wet Mangrove","Wet",0.031,0.044,0,0.154,0.014,0.004,0.038,0.089,0
"Coastal Shiner","RB10","Dry Mangrove","Dry",0.123,0.128,0.002,0.451,0.076,0.026,0.186,0.426,0.002
"Coastal Shiner","RB10","Epiphytes","Dry",0.219,0.145,0.039,0.595,0.183,0.114,0.291,0.5565,0.039
"Coastal Shiner","RB10","Phytoplankton","Dry",0.615,0.178,0.211,0.898,0.634,0.506,0.749,0.898,0.211
"Coastal Shiner","RB10","Wet Mangrove","Dry",0.043,0.057,0,0.218,0.02,0.007,0.054,0.1245,0
"Coastal Shiner","RB10","Dry Mangrove","Wet",0.124,0.135,0.001,0.495,0.073,0.022,0.183,0.4245,0.001
"Coastal Shiner","RB10","Epiphytes","Wet",0.29,0.151,0.065,0.649,0.264,0.18,0.374,0.649,0.065
"Coastal Shiner","RB10","Phytoplankton","Wet",0.541,0.173,0.178,0.85,0.552,0.43,0.668,0.85,0.178
"Coastal Shiner","RB10","Wet Mangrove","Wet",0.045,0.068,0,0.259,0.018,0.005,0.055,0.13,0
"Crested Goby","RB10","Dry Mangrove","Wet",0.094,0.105,0.001,0.387,0.058,0.018,0.134,0.308,0.001
"Crested Goby","RB10","Epiphytes","Wet",0.418,0.201,0.11,0.886,0.38,0.268,0.535,0.886,0.11
"Crested Goby","RB10","Phytoplankton","Wet",0.449,0.203,0.042,0.798,0.474,0.313,0.599,0.798,0.042
"Crested Goby","RB10","Wet Mangrove","Wet",0.039,0.054,0,0.198,0.017,0.005,0.049,0.115,0
"Dollar Sunfish","RB10","Dry Mangrove","Dry",0.149,0.174,0.002,0.635,0.079,0.023,0.219,0.513,0.002
"Dollar Sunfish","RB10","Epiphytes","Dry",0.575,0.202,0.172,0.922,0.581,0.43,0.733,0.922,0.172
"Dollar Sunfish","RB10","Phytoplankton","Dry",0.231,0.163,0.022,0.627,0.198,0.103,0.319,0.627,0.022
"Dollar Sunfish","RB10","Wet Mangrove","Dry",0.045,0.06,0,0.218,0.021,0.006,0.058,0.136,0
"Dollar Sunfish","RB10","Dry Mangrove","Wet",0.116,0.131,0.001,0.468,0.067,0.019,0.17,0.3965,0.001
"Dollar Sunfish","RB10","Epiphytes","Wet",0.67,0.162,0.326,0.94,0.68,0.563,0.79,0.94,0.326
"Dollar Sunfish","RB10","Phytoplankton","Wet",0.17,0.121,0.019,0.471,0.145,0.078,0.233,0.4655,0.019
"Dollar Sunfish","RB10","Wet Mangrove","Wet",0.044,0.076,0,0.282,0.014,0.004,0.05,0.119,0
"Eastern Grass Shrimp","RB10","Dry Mangrove","Dry",0.184,0.179,0.002,0.62,0.126,0.035,0.292,0.62,0.002
"Eastern Grass Shrimp","RB10","Epiphytes","Dry",0.237,0.173,0.032,0.675,0.19,0.104,0.328,0.664,0.032
