"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Bluefin Killifish","RB10","Epiphytes","Wet",0.49,0.166,0.067,0.758,0.51,0.405,0.604,0.758,0.1065
"Bluefin Killifish","RB10","Floc","Wet",0.064,0.064,0.002,0.235,0.045,0.018,0.089,0.1955,0.002
"Bluefin Killifish","RB10","Mangrove","Wet",0.131,0.159,0.001,0.609,0.072,0.023,0.173,0.398,0.001
"Bluefin Killifish","RB10","Phytoplankton","Wet",0.315,0.105,0.138,0.545,0.305,0.242,0.38,0.545,0.138
"Bluegill","RB10","Epiphytes","Dry",0.204,0.159,0.014,0.614,0.163,0.088,0.281,0.5705,0.014
"Bluegill","RB10","Floc","Dry",0.076,0.074,0.002,0.269,0.053,0.02,0.113,0.2525,0.002
"Bluegill","RB10","Mangrove","Dry",0.115,0.132,0.001,0.466,0.063,0.019,0.168,0.3915,0.001
"Bluegill","RB10","Phytoplankton","Dry",0.605,0.173,0.214,0.888,0.625,0.492,0.734,0.888,0.214
"Bluegill","RB10","Epiphytes","Wet",0.349,0.184,0.026,0.752,0.343,0.217,0.464,0.752,0.026
"Bluegill","RB10","Floc","Wet",0.059,0.072,0.001,0.265,0.032,0.01,0.081,0.1875,0.001
"Bluegill","RB10","Mangrove","Wet",0.135,0.165,0.001,0.575,0.063,0.015,0.197,0.47,0.001
"Bluegill","RB10","Phytoplankton","Wet",0.457,0.154,0.135,0.761,0.458,0.361,0.56,0.761,0.135
"Bowfin","RB10","Epiphytes","Wet",0.339,0.238,0.023,0.863,0.288,0.14,0.504,0.863,0.023
"Bowfin","RB10","Floc","Wet",0.064,0.077,0.001,0.275,0.033,0.01,0.092,0.215,0.001
"Bowfin","RB10","Mangrove","Wet",0.146,0.187,0.001,0.663,0.063,0.014,0.21,0.504,0.001
"Bowfin","RB10","Phytoplankton","Wet",0.451,0.237,0.049,0.895,0.441,0.265,0.635,0.895,0.049
"Clown Goby","RB10","Epiphytes","Wet",0.24,0.19,0.017,0.817,0.19,0.109,0.308,0.6065,0.017
