"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Bluefin Killifish","RB10","Epiphytes","Wet",0.49,0.16,0.058,0.748,0.512,0.411,0.596,0.748,0.1335
"Bluefin Killifish","RB10","Floc","Wet",0.045,0.053,0.001,0.194,0.026,0.009,0.062,0.1415,0.001
"Bluefin Killifish","RB10","Mangrove","Wet",0.109,0.147,0.001,0.585,0.054,0.016,0.139,0.3235,0.001
"Bluefin Killifish","RB10","Phytoplankton","Wet",0.327,0.102,0.148,0.546,0.322,0.254,0.392,0.546,0.148
"Bluefin Killifish","RB10","Sawgrass","Wet",0.029,0.033,0.001,0.117,0.018,0.007,0.039,0.087,0.001
"Bluegill","RB10","Epiphytes","Dry",0.176,0.141,0.015,0.558,0.138,0.075,0.233,0.47,0.015
"Bluegill","RB10","Floc","Dry",0.056,0.062,0.001,0.219,0.032,0.01,0.08,0.185,0.001
"Bluegill","RB10","Mangrove","Dry",0.09,0.112,0.001,0.391,0.044,0.014,0.124,0.289,0.001
"Bluegill","RB10","Phytoplankton","Dry",0.634,0.157,0.288,0.887,0.654,0.535,0.752,0.887,0.288
"Bluegill","RB10","Sawgrass","Dry",0.044,0.052,0,0.186,0.025,0.008,0.063,0.1455,0
"Bluegill","RB10","Epiphytes","Wet",0.348,0.174,0.03,0.724,0.343,0.232,0.457,0.724,0.03
"Bluegill","RB10","Floc","Wet",0.045,0.064,0,0.227,0.02,0.005,0.058,0.1375,0
"Bluegill","RB10","Mangrove","Wet",0.109,0.148,0,0.545,0.045,0.01,0.147,0.3525,0
"Bluegill","RB10","Phytoplankton","Wet",0.473,0.149,0.163,0.759,0.478,0.374,0.575,0.759,0.163
"Bluegill","RB10","Sawgrass","Wet",0.024,0.035,0,0.124,0.011,0.004,0.03,0.069,0
"Bowfin","RB10","Epiphytes","Wet",0.331,0.237,0.018,0.856,0.277,0.135,0.494,0.856,0.018
"Bowfin","RB10","Floc","Wet",0.047,0.067,0,0.236,0.02,0.005,0.062,0.1475,0
"Bowfin","RB10","Mangrove","Wet",0.12,0.172,0,0.637,0.044,0.009,0.157,0.379,0
"Bowfin","RB10","Phytoplankton","Wet",0.47,0.235,0.052,0.895,0.462,0.287,0.658,0.895,0.052
"Bowfin","RB10","Sawgrass","Wet",0.031,0.046,0,0.169,0.014,0.004,0.038,0.089,0
"Clown Goby","RB10","Epiphytes","Wet",0.22,0.177,0.017,0.777,0.177,0.1,0.282,0.555,0.017
"Clown Goby","RB10","Floc","Wet",0.025,0.034,0,0.123,0.012,0.004,0.031,0.0715,0
"Clown Goby","RB10","Mangrove","Wet",0.056,0.079,0,0.271,0.026,0.007,0.073,0.172,0
"Clown Goby","RB10","Phytoplankton","Wet",0.681,0.18,0.141,0.921,0.721,0.604,0.803,0.921,0.3055
"Clown Goby","RB10","Sawgrass","Wet",0.018,0.025,0,0.087,0.009,0.003,0.022,0.0505,0
"Coastal Shiner","RB10","Epiphytes","Dry",0.131,0.119,0.009,0.459,0.095,0.048,0.173,0.3605,0.009
"Coastal Shiner","RB10","Floc","Dry",0.034,0.04,0,0.147,0.02,0.006,0.047,0.1085,0
"Coastal Shiner","RB10","Mangrove","Dry",0.065,0.079,0.001,0.281,0.036,0.011,0.091,0.211,0.001
"Coastal Shiner","RB10","Phytoplankton","Dry",0.733,0.139,0.399,0.936,0.756,0.654,0.835,0.936,0.399
"Coastal Shiner","RB10","Sawgrass","Dry",0.037,0.045,0,0.165,0.02,0.006,0.051,0.1185,0
"Coastal Shiner","RB10","Epiphytes","Wet",0.268,0.152,0.022,0.621,0.248,0.158,0.356,0.621,0.022
"Coastal Shiner","RB10","Floc","Wet",0.029,0.039,0,0.149,0.014,0.004,0.036,0.084,0
"Coastal Shiner","RB10","Mangrove","Wet",0.086,0.115,0,0.406,0.038,0.009,0.114,0.2715,0
"Coastal Shiner","RB10","Phytoplankton","Wet",0.595,0.153,0.274,0.862,0.603,0.492,0.71,0.862,0.274
"Coastal Shiner","RB10","Sawgrass","Wet",0.022,0.032,0,0.122,0.01,0.003,0.027,0.063,0
"Crested Goby","RB10","Epiphytes","Wet",0.348,0.204,0.028,0.849,0.317,0.204,0.458,0.839,0.028
"Crested Goby","RB10","Floc","Wet",0.031,0.042,0,0.157,0.015,0.005,0.04,0.0925,0
"Crested Goby","RB10","Mangrove","Wet",0.08,0.113,0,0.388,0.035,0.009,0.103,0.244,0
"Crested Goby","RB10","Phytoplankton","Wet",0.518,0.193,0.078,0.846,0.543,0.411,0.656,0.846,0.078
"Crested Goby","RB10","Sawgrass","Wet",0.022,0.032,0,0.112,0.01,0.003,0.028,0.0655,0
"Dollar Sunfish","RB10","Epiphytes","Dry",0.361,0.244,0.019,0.85,0.332,0.142,0.55,0.85,0.019
"Dollar Sunfish","RB10","Floc","Dry",0.089,0.11,0,0.385,0.042,0.012,0.127,0.2995,0
"Dollar Sunfish","RB10","Mangrove","Dry",0.129,0.18,0.001,0.666,0.049,0.016,0.165,0.3885,0.001
"Dollar Sunfish","RB10","Phytoplankton","Dry",0.357,0.193,0.048,0.751,0.342,0.198,0.495,0.751,0.048
"Dollar Sunfish","RB10","Sawgrass","Dry",0.064,0.082,0.001,0.303,0.032,0.01,0.087,0.2025,0.001
"Dollar Sunfish","RB10","Epiphytes","Wet",0.558,0.246,0.024,0.932,0.595,0.404,0.751,0.932,0.024
"Dollar Sunfish","RB10","Floc","Wet",0.067,0.108,0,0.412,0.018,0.005,0.077,0.185,0
"Dollar Sunfish","RB10","Mangrove","Wet",0.127,0.199,0,0.8,0.039,0.009,0.154,0.3715,0
"Dollar Sunfish","RB10","Phytoplankton","Wet",0.211,0.132,0.027,0.526,0.185,0.111,0.287,0.526,0.027
"Dollar Sunfish","RB10","Sawgrass","Wet",0.037,0.072,0,0.27,0.011,0.003,0.034,0.0805,0
"Eastern Grass Shrimp","RB10","Epiphytes","Dry",0.144,0.148,0.009,0.554,0.088,0.043,0.195,0.423,0.009
"Eastern Grass Shrimp","RB10","Floc","Dry",0.041,0.047,0,0.171,0.024,0.008,0.058,0.133,0
"Eastern Grass Shrimp","RB10","Mangrove","Dry",0.085,0.11,0.001,0.411,0.04,0.013,0.113,0.263,0.001
"Eastern Grass Shrimp","RB10","Phytoplankton","Dry",0.683,0.174,0.282,0.934,0.715,0.58,0.815,0.934,0.282
"Eastern Grass Shrimp","RB10","Sawgrass","Dry",0.047,0.057,0,0.201,0.025,0.007,0.065,0.152,0
"Eastern Grass Shrimp","RB10","Epiphytes","Wet",0.275,0.177,0.025,0.686,0.24,0.14,0.381,0.686,0.025
"Eastern Grass Shrimp","RB10","Floc","Wet",0.036,0.05,0,0.188,0.016,0.005,0.045,0.105,0
"Eastern Grass Shrimp","RB10","Mangrove","Wet",0.109,0.149,0,0.548,0.044,0.01,0.149,0.3575,0
"Eastern Grass Shrimp","RB10","Phytoplankton","Wet",0.55,0.18,0.185,0.867,0.563,0.426,0.688,0.867,0.185
"Eastern Grass Shrimp","RB10","Sawgrass","Wet",0.029,0.044,0,0.168,0.013,0.004,0.036,0.084,0
"Eastern Mosquitofish","RB10","Epiphytes","Wet",0.422,0.224,0.038,0.882,0.406,0.249,0.575,0.882,0.038
"Eastern Mosquitofish","RB10","Floc","Wet",0.061,0.083,0,0.296,0.026,0.007,0.081,0.192,0
"Eastern Mosquitofish","RB10","Mangrove","Wet",0.164,0.207,0,0.732,0.067,0.012,0.251,0.6095,0
"Eastern Mosquitofish","RB10","Phytoplankton","Wet",0.308,0.175,0.04,0.684,0.288,0.167,0.425,0.684,0.04
"Eastern Mosquitofish","RB10","Sawgrass","Wet",0.045,0.065,0,0.238,0.017,0.005,0.056,0.1325,0
"Flatback Mud Crab","RB10","Epiphytes","Dry",0.434,0.322,0.013,0.941,0.382,0.12,0.755,0.941,0.013
"Flatback Mud Crab","RB10","Floc","Dry",0.194,0.27,0,0.816,0.037,0.008,0.363,0.816,0
"Flatback Mud Crab","RB10","Mangrove","Dry",0.075,0.121,0.001,0.392,0.033,0.011,0.088,0.2035,0.001
"Flatback Mud Crab","RB10","Phytoplankton","Dry",0.102,0.066,0.016,0.268,0.088,0.053,0.136,0.2605,0.016
"Flatback Mud Crab","RB10","Sawgrass","Dry",0.195,0.264,0,0.794,0.038,0.008,0.353,0.794,0
"Gar","RB10","Epiphytes","Wet",0.494,0.258,0.029,0.921,0.518,0.282,0.703,0.921,0.029
"Gar","RB10","Floc","Wet",0.044,0.062,0,0.221,0.019,0.005,0.054,0.1275,0
"Gar","RB10","Mangrove","Wet",0.139,0.205,0,0.763,0.047,0.01,0.167,0.4025,0
"Gar","RB10","Phytoplankton","Wet",0.279,0.211,0.026,0.807,0.223,0.116,0.389,0.7985,0.026
"Gar","RB10","Sawgrass","Wet",0.044,0.074,0,0.271,0.013,0.004,0.046,0.109,0
"Golden Topminnow","RB10","Epiphytes","Dry",0.307,0.265,0.012,0.872,0.218,0.072,0.508,0.872,0.012
"Golden Topminnow","RB10","Floc","Dry",0.121,0.152,0.001,0.518,0.05,0.012,0.19,0.457,0.001
"Golden Topminnow","RB10","Mangrove","Dry",0.141,0.197,0.001,0.739,0.054,0.016,0.174,0.411,0.001
"Golden Topminnow","RB10","Phytoplankton","Dry",0.31,0.206,0.037,0.803,0.269,0.146,0.439,0.803,0.037
"Golden Topminnow","RB10","Sawgrass","Dry",0.121,0.15,0,0.51,0.049,0.01,0.186,0.45,0
"Harris Mud Crab","RB10","Epiphytes","Wet",0.427,0.22,0.036,0.879,0.417,0.261,0.575,0.879,0.036
"Harris Mud Crab","RB10","Floc","Wet",0.068,0.103,0,0.374,0.024,0.006,0.085,0.2035,0
"Harris Mud Crab","RB10","Mangrove","Wet",0.113,0.158,0,0.582,0.045,0.011,0.152,0.3635,0
"Harris Mud Crab","RB10","Phytoplankton","Wet",0.36,0.173,0.047,0.696,0.358,0.234,0.485,0.696,0.047
"Harris Mud Crab","RB10","Sawgrass","Wet",0.032,0.046,0,0.171,0.014,0.004,0.04,0.094,0
"Hogchoker","RB10","Epiphytes","Dry",0.264,0.161,0.019,0.651,0.245,0.143,0.357,0.651,0.019
"Hogchoker","RB10","Floc","Dry",0.079,0.092,0.001,0.342,0.042,0.012,0.115,0.2695,0.001
"Hogchoker","RB10","Mangrove","Dry",0.112,0.13,0.001,0.473,0.062,0.017,0.166,0.3895,0.001
"Hogchoker","RB10","Phytoplankton","Dry",0.498,0.148,0.184,0.777,0.5,0.401,0.598,0.777,0.184
"Hogchoker","RB10","Sawgrass","Dry",0.047,0.052,0.001,0.193,0.028,0.009,0.065,0.149,0.001
"Hogchoker","RB10","Epiphytes","Wet",0.474,0.218,0.036,0.869,0.48,0.329,0.632,0.869,0.036
"Hogchoker","RB10","Floc","Wet",0.053,0.079,0,0.295,0.021,0.006,0.067,0.1585,0
"Hogchoker","RB10","Mangrove","Wet",0.124,0.172,0,0.631,0.047,0.01,0.164,0.395,0
"Hogchoker","RB10","Phytoplankton","Wet",0.327,0.147,0.072,0.629,0.319,0.22,0.424,0.629,0.072
"Hogchoker","RB10","Sawgrass","Wet",0.022,0.03,0,0.11,0.011,0.004,0.027,0.0615,0
"Largemouth Bass","RB10","Epiphytes","Wet",0.482,0.238,0.036,0.902,0.486,0.302,0.663,0.902,0.036
"Largemouth Bass","RB10","Floc","Wet",0.04,0.056,0,0.189,0.019,0.005,0.051,0.12,0
"Largemouth Bass","RB10","Mangrove","Wet",0.126,0.179,0,0.679,0.046,0.01,0.162,0.39,0
"Largemouth Bass","RB10","Phytoplankton","Wet",0.312,0.2,0.033,0.767,0.279,0.149,0.445,0.767,0.033
"Largemouth Bass","RB10","Sawgrass","Wet",0.04,0.066,0,0.264,0.014,0.004,0.044,0.104,0
"Peacock Eel","RB10","Epiphytes","Dry",0.227,0.198,0.013,0.736,0.164,0.078,0.321,0.6855,0.013
"Peacock Eel","RB10","Floc","Dry",0.17,0.167,0.001,0.542,0.111,0.023,0.291,0.542,0.001
"Peacock Eel","RB10","Mangrove","Dry",0.151,0.178,0.001,0.665,0.078,0.024,0.221,0.5165,0.001
"Peacock Eel","RB10","Phytoplankton","Dry",0.315,0.153,0.058,0.644,0.305,0.199,0.418,0.644,0.058
"Peacock Eel","RB10","Sawgrass","Dry",0.137,0.145,0.001,0.469,0.081,0.016,0.23,0.469,0.001
"Peacock Eel","RB10","Epiphytes","Wet",0.407,0.24,0.028,0.896,0.378,0.213,0.584,0.896,0.028
"Peacock Eel","RB10","Floc","Wet",0.122,0.141,0,0.484,0.063,0.013,0.192,0.4605,0
"Peacock Eel","RB10","Mangrove","Wet",0.164,0.203,0.001,0.722,0.074,0.017,0.241,0.577,0.001
"Peacock Eel","RB10","Phytoplankton","Wet",0.237,0.144,0.027,0.554,0.217,0.124,0.327,0.554,0.027
"Peacock Eel","RB10","Sawgrass","Wet",0.07,0.088,0,0.314,0.033,0.008,0.099,0.2355,0
"Redear Sunfish","RB10","Epiphytes","Dry",0.321,0.242,0.014,0.817,0.282,0.097,0.513,0.817,0.014
"Redear Sunfish","RB10","Floc","Dry",0.048,0.059,0.001,0.216,0.027,0.009,0.066,0.1515,0.001
"Redear Sunfish","RB10","Mangrove","Dry",0.097,0.143,0.001,0.547,0.042,0.014,0.115,0.2665,0.001
"Redear Sunfish","RB10","Phytoplankton","Dry",0.463,0.224,0.064,0.856,0.466,0.286,0.64,0.856,0.064
"Redear Sunfish","RB10","Sawgrass","Dry",0.07,0.09,0,0.326,0.031,0.008,0.097,0.2305,0
"Redear Sunfish","RB10","Epiphytes","Wet",0.504,0.25,0.037,0.915,0.524,0.304,0.71,0.915,0.037
"Redear Sunfish","RB10","Floc","Wet",0.04,0.069,0,0.254,0.014,0.004,0.043,0.1015,0
"Redear Sunfish","RB10","Mangrove","Wet",0.106,0.172,0,0.698,0.036,0.008,0.118,0.283,0
"Redear Sunfish","RB10","Phytoplankton","Wet",0.307,0.183,0.033,0.703,0.279,0.163,0.433,0.703,0.033
"Redear Sunfish","RB10","Sawgrass","Wet",0.043,0.075,0,0.279,0.011,0.003,0.042,0.1005,0
"Redfish","RB10","Epiphytes","Wet",0.55,0.214,0.047,0.911,0.553,0.412,0.713,0.911,0.047
"Redfish","RB10","Floc","Wet",0.031,0.043,0,0.155,0.015,0.005,0.04,0.0925,0
"Redfish","RB10","Mangrove","Wet",0.089,0.144,0,0.558,0.034,0.008,0.1,0.238,0
"Redfish","RB10","Phytoplankton","Wet",0.307,0.17,0.034,0.649,0.301,0.172,0.425,0.649,0.034
"Redfish","RB10","Sawgrass","Wet",0.023,0.034,0,0.123,0.01,0.003,0.028,0.0655,0
"Snook","RB10","Epiphytes","Wet",0.51,0.223,0.045,0.908,0.518,0.357,0.671,0.908,0.045
"Snook","RB10","Floc","Wet",0.045,0.063,0,0.24,0.02,0.006,0.057,0.1335,0
"Snook","RB10","Mangrove","Wet",0.154,0.209,0,0.733,0.055,0.011,0.224,0.5435,0
"Snook","RB10","Phytoplankton","Wet",0.254,0.15,0.03,0.573,0.235,0.138,0.353,0.573,0.03
"Snook","RB10","Sawgrass","Wet",0.037,0.056,0,0.203,0.015,0.004,0.045,0.1065,0
"Spotted Sunfish","RB10","Epiphytes","Wet",0.361,0.234,0.026,0.869,0.322,0.168,0.526,0.869,0.026
"Spotted Sunfish","RB10","Floc","Wet",0.061,0.086,0,0.31,0.023,0.006,0.08,0.191,0
"Spotted Sunfish","RB10","Mangrove","Wet",0.137,0.189,0,0.67,0.05,0.011,0.181,0.436,0
"Spotted Sunfish","RB10","Phytoplankton","Wet",0.401,0.213,0.045,0.832,0.388,0.233,0.552,0.832,0.045
"Spotted Sunfish","RB10","Sawgrass","Wet",0.039,0.059,0,0.211,0.014,0.004,0.047,0.1115,0
"Spotted Tilapia","RB10","Epiphytes","Wet",0.411,0.243,0.027,0.891,0.387,0.213,0.589,0.891,0.027
"Spotted Tilapia","RB10","Floc","Wet",0.078,0.127,0,0.475,0.023,0.005,0.084,0.2025,0
"Spotted Tilapia","RB10","Mangrove","Wet",0.08,0.124,0,0.429,0.033,0.01,0.098,0.23,0
"Spotted Tilapia","RB10","Phytoplankton","Wet",0.403,0.205,0.041,0.789,0.414,0.243,0.55,0.789,0.041
"Spotted Tilapia","RB10","Sawgrass","Wet",0.028,0.04,0,0.142,0.012,0.004,0.033,0.0765,0
"Striped Mullet","RB10","Epiphytes","Wet",0.539,0.241,0.025,0.929,0.56,0.392,0.723,0.929,0.025
"Striped Mullet","RB10","Floc","Wet",0.043,0.071,0,0.255,0.016,0.005,0.046,0.1075,0
"Striped Mullet","RB10","Mangrove","Wet",0.09,0.154,0,0.598,0.03,0.008,0.092,0.218,0
"Striped Mullet","RB10","Phytoplankton","Wet",0.308,0.188,0.026,0.709,0.294,0.156,0.436,0.709,0.026
"Striped Mullet","RB10","Sawgrass","Wet",0.02,0.028,0,0.097,0.01,0.003,0.026,0.0605,0
"Tidewater Mojarra","RB10","Epiphytes","Wet",0.454,0.218,0.037,0.895,0.44,0.302,0.605,0.895,0.037
"Tidewater Mojarra","RB10","Floc","Wet",0.031,0.042,0,0.155,0.015,0.005,0.041,0.095,0
"Tidewater Mojarra","RB10","Mangrove","Wet",0.088,0.132,0,0.489,0.034,0.009,0.109,0.259,0
"Tidewater Mojarra","RB10","Phytoplankton","Wet",0.406,0.192,0.048,0.753,0.417,0.269,0.545,0.753,0.048
"Tidewater Mojarra","RB10","Sawgrass","Wet",0.021,0.03,0,0.108,0.01,0.003,0.028,0.0655,0
"Tidewater Silverside","RB10","Epiphytes","Dry",0.191,0.15,0.014,0.571,0.151,0.083,0.262,0.5305,0.014
"Tidewater Silverside","RB10","Floc","Dry",0.052,0.058,0.001,0.203,0.03,0.009,0.075,0.174,0.001
"Tidewater Silverside","RB10","Mangrove","Dry",0.106,0.125,0.001,0.442,0.056,0.016,0.154,0.361,0.001
"Tidewater Silverside","RB10","Phytoplankton","Dry",0.594,0.165,0.237,0.876,0.609,0.487,0.716,0.876,0.237
"Tidewater Silverside","RB10","Sawgrass","Dry",0.057,0.066,0,0.236,0.031,0.009,0.083,0.194,0
"Tidewater Silverside","RB10","Epiphytes","Wet",0.369,0.187,0.034,0.751,0.361,0.231,0.498,0.751,0.034
"Tidewater Silverside","RB10","Floc","Wet",0.037,0.049,0,0.167,0.018,0.006,0.049,0.1135,0
"Tidewater Silverside","RB10","Mangrove","Wet",0.123,0.161,0,0.592,0.054,0.012,0.174,0.417,0
"Tidewater Silverside","RB10","Phytoplankton","Wet",0.439,0.167,0.128,0.779,0.432,0.32,0.557,0.779,0.128
"Tidewater Silverside","RB10","Sawgrass","Wet",0.032,0.046,0,0.167,0.013,0.004,0.039,0.0915,0
