"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Bluefin Killifish","RB10","Epiphytes","Wet",0.56,0.147,0.19,0.801,0.575,0.481,0.662,0.801,0.2095
"Bluefin Killifish","RB10","Mangrove","Wet",0.13,0.142,0.001,0.523,0.083,0.026,0.182,0.416,0.001
"Bluefin Killifish","RB10","Phytoplankton","Wet",0.31,0.101,0.138,0.526,0.303,0.238,0.376,0.526,0.138
"Bluegill","RB10","Epiphytes","Dry",0.305,0.176,0.049,0.721,0.274,0.174,0.4,0.721,0.049
"Bluegill","RB10","Mangrove","Dry",0.111,0.128,0.001,0.461,0.06,0.018,0.161,0.3755,0.001
"Bluegill","RB10","Phytoplankton","Dry",0.584,0.184,0.186,0.881,0.603,0.456,0.727,0.881,0.186
"Bluegill","RB10","Epiphytes","Wet",0.363,0.173,0.057,0.745,0.354,0.245,0.468,0.745,0.057
"Bluegill","RB10","Mangrove","Wet",0.145,0.163,0.001,0.555,0.079,0.018,0.228,0.543,0.001
"Bluegill","RB10","Phytoplankton","Wet",0.492,0.161,0.164,0.785,0.5,0.382,0.606,0.785,0.164
"Bowfin","RB10","Epiphytes","Wet",0.384,0.244,0.038,0.895,0.347,0.183,0.556,0.895,0.038
"Bowfin","RB10","Mangrove","Wet",0.158,0.193,0.001,0.684,0.068,0.017,0.233,0.557,0.001
"Bowfin","RB10","Phytoplankton","Wet",0.458,0.247,0.05,0.913,0.441,0.26,0.653,0.913,0.05
"Clown Goby","RB10","Epiphytes","Wet",0.275,0.206,0.032,0.849,0.216,0.131,0.352,0.6835,0.032
"Clown Goby","RB10","Mangrove","Wet",0.069,0.079,0.001,0.274,0.041,0.012,0.098,0.227,0.001
"Clown Goby","RB10","Phytoplankton","Wet",0.656,0.207,0.08,0.929,0.704,0.574,0.802,0.929,0.232
"Coastal Shiner","RB10","Epiphytes","Dry",0.224,0.155,0.035,0.623,0.183,0.112,0.3,0.582,0.035
"Coastal Shiner","RB10","Mangrove","Dry",0.084,0.095,0.001,0.342,0.051,0.017,0.12,0.2745,0.001
"Coastal Shiner","RB10","Phytoplankton","Dry",0.691,0.17,0.285,0.93,0.724,0.586,0.824,0.93,0.285
"Coastal Shiner","RB10","Epiphytes","Wet",0.273,0.154,0.05,0.656,0.251,0.163,0.357,0.648,0.05
"Coastal Shiner","RB10","Mangrove","Wet",0.117,0.129,0.001,0.464,0.068,0.017,0.178,0.4195,0.001
"Coastal Shiner","RB10","Phytoplankton","Wet",0.61,0.163,0.244,0.888,0.626,0.507,0.729,0.888,0.244
"Crested Goby","RB10","Epiphytes","Wet",0.394,0.208,0.064,0.887,0.363,0.243,0.518,0.887,0.064
"Crested Goby","RB10","Mangrove","Wet",0.102,0.122,0.001,0.443,0.054,0.015,0.146,0.3425,0.001
"Crested Goby","RB10","Phytoplankton","Wet",0.504,0.2,0.063,0.837,0.529,0.377,0.65,0.837,0.063
"Dollar Sunfish","RB10","Epiphytes","Dry",0.585,0.228,0.096,0.943,0.61,0.438,0.76,0.943,0.096
"Dollar Sunfish","RB10","Mangrove","Dry",0.14,0.188,0.001,0.707,0.057,0.016,0.182,0.431,0.001
"Dollar Sunfish","RB10","Phytoplankton","Dry",0.275,0.184,0.025,0.711,0.242,0.129,0.39,0.711,0.025
"Dollar Sunfish","RB10","Epiphytes","Wet",0.64,0.212,0.071,0.948,0.673,0.527,0.794,0.948,0.1265
"Dollar Sunfish","RB10","Mangrove","Wet",0.16,0.209,0.001,0.797,0.065,0.015,0.224,0.5375,0.001
"Dollar Sunfish","RB10","Phytoplankton","Wet",0.201,0.133,0.022,0.513,0.174,0.099,0.281,0.513,0.022
"Eastern Grass Shrimp","RB10","Epiphytes","Dry",0.261,0.191,0.029,0.729,0.211,0.108,0.373,0.729,0.029
"Eastern Grass Shrimp","RB10","Mangrove","Dry",0.108,0.128,0.001,0.471,0.057,0.017,0.151,0.352,0.001
"Eastern Grass Shrimp","RB10","Phytoplankton","Dry",0.631,0.211,0.174,0.943,0.658,0.474,0.808,0.943,0.174
"Eastern Grass Shrimp","RB10","Epiphytes","Wet",0.303,0.183,0.042,0.735,0.27,0.161,0.416,0.735,0.042
"Eastern Grass Shrimp","RB10","Mangrove","Wet",0.145,0.167,0.001,0.586,0.075,0.018,0.223,0.5305,0.001
"Eastern Grass Shrimp","RB10","Phytoplankton","Wet",0.552,0.199,0.162,0.884,0.561,0.408,0.705,0.884,0.162
"Eastern Mosquitofish","RB10","Epiphytes","Wet",0.474,0.231,0.069,0.919,0.458,0.299,0.645,0.919,0.069
"Eastern Mosquitofish","RB10","Mangrove","Wet",0.21,0.229,0.001,0.766,0.112,0.023,0.351,0.766,0.001
"Eastern Mosquitofish","RB10","Phytoplankton","Wet",0.315,0.189,0.033,0.714,0.288,0.165,0.446,0.714,0.033
"Flatback Mud Crab","RB10","Epiphytes","Dry",0.829,0.144,0.541,0.975,0.861,0.78,0.918,0.975,0.573
"Flatback Mud Crab","RB10","Mangrove","Dry",0.068,0.128,0.001,0.353,0.028,0.009,0.075,0.174,0.001
"Flatback Mud Crab","RB10","Phytoplankton","Dry",0.103,0.075,0.011,0.287,0.085,0.045,0.141,0.285,0.011
"Gar","RB10","Epiphytes","Wet",0.557,0.25,0.067,0.949,0.585,0.37,0.761,0.949,0.067
"Gar","RB10","Mangrove","Wet",0.172,0.216,0.001,0.779,0.077,0.016,0.245,0.5885,0.001
"Gar","RB10","Phytoplankton","Wet",0.271,0.213,0.02,0.82,0.214,0.108,0.379,0.7855,0.02
"Golden Topminnow","RB10","Epiphytes","Dry",0.606,0.252,0.044,0.956,0.657,0.454,0.802,0.956,0.044
"Golden Topminnow","RB10","Mangrove","Dry",0.138,0.197,0.001,0.751,0.051,0.014,0.172,0.409,0.001
"Golden Topminnow","RB10","Phytoplankton","Dry",0.256,0.213,0.02,0.873,0.196,0.103,0.344,0.7055,0.02
"Harris Mud Crab","RB10","Epiphytes","Wet",0.485,0.22,0.078,0.914,0.471,0.323,0.64,0.914,0.078
"Harris Mud Crab","RB10","Mangrove","Wet",0.142,0.169,0.001,0.593,0.072,0.018,0.212,0.503,0.001
"Harris Mud Crab","RB10","Phytoplankton","Wet",0.374,0.187,0.046,0.728,0.371,0.23,0.508,0.728,0.046
"Hogchoker","RB10","Epiphytes","Dry",0.397,0.177,0.082,0.797,0.381,0.278,0.503,0.797,0.082
"Hogchoker","RB10","Mangrove","Dry",0.127,0.139,0.001,0.491,0.074,0.021,0.191,0.446,0.001
"Hogchoker","RB10","Phytoplankton","Dry",0.476,0.162,0.123,0.761,0.489,0.372,0.591,0.761,0.123
"Hogchoker","RB10","Epiphytes","Wet",0.461,0.202,0.067,0.844,0.464,0.327,0.597,0.844,0.067
"Hogchoker","RB10","Mangrove","Wet",0.161,0.184,0.001,0.641,0.083,0.02,0.251,0.5975,0.001
"Hogchoker","RB10","Phytoplankton","Wet",0.378,0.152,0.085,0.677,0.379,0.273,0.476,0.677,0.085
"Isopod","RB10","Epiphytes","Dry",0.849,0.139,0.573,0.977,0.878,0.811,0.928,0.977,0.6355
"Isopod","RB10","Mangrove","Dry",0.062,0.127,0.001,0.28,0.025,0.009,0.067,0.154,0.001
"Isopod","RB10","Phytoplankton","Dry",0.089,0.067,0.011,0.251,0.073,0.04,0.122,0.245,0.011
"Largemouth Bass","RB10","Epiphytes","Wet",0.524,0.236,0.077,0.936,0.53,0.344,0.713,0.936,0.077
"Largemouth Bass","RB10","Mangrove","Wet",0.16,0.196,0.001,0.713,0.074,0.018,0.239,0.5705,0.001
"Largemouth Bass","RB10","Phytoplankton","Wet",0.316,0.208,0.028,0.785,0.278,0.147,0.457,0.785,0.028
"Mangrove snapper","RB10","Epiphytes","Wet",0.559,0.236,0.08,0.945,0.577,0.392,0.747,0.945,0.08
"Mangrove snapper","RB10","Mangrove","Wet",0.123,0.159,0.001,0.59,0.059,0.016,0.167,0.3935,0.001
"Mangrove snapper","RB10","Phytoplankton","Wet",0.318,0.217,0.026,0.826,0.278,0.142,0.449,0.826,0.026
"Mangrove Snapper","RB10","Epiphytes","Wet",0.67,0.228,0.077,0.96,0.72,0.564,0.84,0.96,0.15
"Mangrove Snapper","RB10","Mangrove","Wet",0.147,0.207,0.001,0.77,0.053,0.013,0.179,0.428,0.001
"Mangrove Snapper","RB10","Phytoplankton","Wet",0.183,0.126,0.017,0.481,0.161,0.085,0.26,0.481,0.017
"Peacock Eel","RB10","Epiphytes","Dry",0.532,0.235,0.06,0.932,0.551,0.366,0.717,0.932,0.06
"Peacock Eel","RB10","Mangrove","Dry",0.175,0.218,0.001,0.805,0.08,0.021,0.246,0.5835,0.001
"Peacock Eel","RB10","Phytoplankton","Dry",0.293,0.195,0.03,0.768,0.251,0.141,0.404,0.768,0.03
"Peacock Eel","RB10","Epiphytes","Wet",0.574,0.242,0.069,0.95,0.602,0.401,0.771,0.95,0.069
"Peacock Eel","RB10","Mangrove","Wet",0.2,0.235,0.001,0.805,0.096,0.019,0.323,0.779,0.001
"Peacock Eel","RB10","Phytoplankton","Wet",0.227,0.167,0.022,0.67,0.186,0.101,0.316,0.6385,0.022
"Redear Sunfish","RB10","Epiphytes","Dry",0.514,0.238,0.062,0.927,0.529,0.34,0.697,0.927,0.062
"Redear Sunfish","RB10","Mangrove","Dry",0.119,0.159,0.001,0.615,0.056,0.016,0.156,0.366,0.001
"Redear Sunfish","RB10","Phytoplankton","Dry",0.366,0.226,0.039,0.86,0.33,0.187,0.519,0.86,0.039
"Redear Sunfish","RB10","Epiphytes","Wet",0.565,0.225,0.08,0.932,0.585,0.418,0.739,0.932,0.08
"Redear Sunfish","RB10","Mangrove","Wet",0.149,0.193,0.001,0.719,0.064,0.015,0.204,0.4875,0.001
"Redear Sunfish","RB10","Phytoplankton","Wet",0.286,0.184,0.031,0.719,0.252,0.145,0.394,0.719,0.031
"Redfish","RB10","Epiphytes","Wet",0.586,0.206,0.133,0.943,0.593,0.45,0.738,0.943,0.133
"Redfish","RB10","Mangrove","Wet",0.116,0.149,0.001,0.528,0.058,0.015,0.163,0.385,0.001
"Redfish","RB10","Phytoplankton","Wet",0.298,0.173,0.026,0.661,0.287,0.156,0.417,0.661,0.026
"Snook","RB10","Epiphytes","Wet",0.541,0.227,0.081,0.94,0.557,0.386,0.708,0.94,0.081
"Snook","RB10","Mangrove","Wet",0.198,0.227,0.001,0.778,0.099,0.021,0.316,0.7585,0.001
"Snook","RB10","Phytoplankton","Wet",0.261,0.16,0.027,0.607,0.238,0.13,0.366,0.607,0.027
"Spotted Sunfish","RB10","Epiphytes","Wet",0.424,0.246,0.049,0.908,0.407,0.218,0.607,0.908,0.049
"Spotted Sunfish","RB10","Mangrove","Wet",0.184,0.217,0.001,0.742,0.087,0.021,0.29,0.6935,0.001
"Spotted Sunfish","RB10","Phytoplankton","Wet",0.392,0.234,0.04,0.868,0.363,0.201,0.56,0.868,0.04
"Spotted Tilapia","RB10","Epiphytes","Wet",0.482,0.239,0.061,0.928,0.469,0.295,0.664,0.928,0.061
"Spotted Tilapia","RB10","Mangrove","Wet",0.098,0.128,0.001,0.444,0.051,0.014,0.133,0.3115,0.001
"Spotted Tilapia","RB10","Phytoplankton","Wet",0.42,0.22,0.037,0.822,0.433,0.246,0.584,0.822,0.037
"Striped Mullet","RB10","Epiphytes","Wet",0.584,0.224,0.083,0.947,0.593,0.441,0.754,0.947,0.083
"Striped Mullet","RB10","Mangrove","Wet",0.112,0.153,0.001,0.556,0.051,0.015,0.144,0.3375,0.001
"Striped Mullet","RB10","Phytoplankton","Wet",0.305,0.179,0.026,0.671,0.298,0.158,0.432,0.671,0.026
"Tidewater Mojarra","RB10","Epiphytes","Wet",0.492,0.213,0.105,0.91,0.474,0.341,0.642,0.91,0.105
"Tidewater Mojarra","RB10","Mangrove","Wet",0.113,0.135,0.001,0.485,0.056,0.017,0.167,0.392,0.001
"Tidewater Mojarra","RB10","Phytoplankton","Wet",0.395,0.189,0.049,0.73,0.409,0.25,0.54,0.73,0.049
"Tidewater Silverside","RB10","Epiphytes","Dry",0.306,0.187,0.05,0.745,0.265,0.165,0.415,0.745,0.05
"Tidewater Silverside","RB10","Mangrove","Dry",0.129,0.142,0.001,0.511,0.076,0.022,0.195,0.4545,0.001
"Tidewater Silverside","RB10","Phytoplankton","Dry",0.565,0.2,0.141,0.89,0.587,0.424,0.721,0.89,0.141
"Tidewater Silverside","RB10","Epiphytes","Wet",0.36,0.185,0.053,0.766,0.345,0.221,0.483,0.766,0.053
"Tidewater Silverside","RB10","Mangrove","Wet",0.166,0.18,0.001,0.627,0.095,0.024,0.265,0.6265,0.001
"Tidewater Silverside","RB10","Phytoplankton","Wet",0.474,0.186,0.122,0.825,0.474,0.341,0.608,0.825,0.122
