"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Asian Swamp Eel","TS3","Floc","Wet",0.047,0.049,0.001,0.167,0.032,0.014,0.065,0.1415,0.001
"Asian Swamp Eel","TS3","Periphyton","Wet",0.946,0.051,0.823,0.996,0.962,0.926,0.98,0.996,0.845
"Asian Swamp Eel","TS3","Sawgrass","Wet",0.007,0.009,0,0.032,0.004,0.001,0.009,0.021,0
"Bluefin Killifish","TS3","Floc","Dry",0.259,0.209,0.005,0.726,0.214,0.074,0.408,0.726,0.005
"Bluefin Killifish","TS3","Periphyton","Dry",0.715,0.208,0.259,0.985,0.754,0.567,0.892,0.985,0.259
"Bluefin Killifish","TS3","Sawgrass","Dry",0.026,0.039,0,0.133,0.012,0.004,0.032,0.074,0
"Bluefin Killifish","TS3","Floc","Wet",0.055,0.069,0.001,0.242,0.03,0.01,0.078,0.18,0.001
"Bluefin Killifish","TS3","Periphyton","Wet",0.937,0.072,0.745,0.998,0.962,0.914,0.985,0.998,0.8075
"Bluefin Killifish","TS3","Sawgrass","Wet",0.008,0.016,0,0.046,0.003,0.001,0.008,0.0185,0
"Bluegill","TS3","Floc","Wet",0.084,0.125,0,0.468,0.03,0.008,0.105,0.2505,0
"Bluegill","TS3","Periphyton","Wet",0.905,0.129,0.515,0.998,0.958,0.876,0.987,0.998,0.7095
"Bluegill","TS3","Sawgrass","Wet",0.01,0.02,0,0.068,0.003,0.001,0.011,0.026,0
"Eastern Grass Shrimp","TS3","Floc","Dry",0.388,0.234,0.006,0.796,0.399,0.183,0.581,0.796,0.006
"Eastern Grass Shrimp","TS3","Periphyton","Dry",0.572,0.233,0.153,0.976,0.559,0.388,0.762,0.976,0.153
"Eastern Grass Shrimp","TS3","Sawgrass","Dry",0.04,0.057,0,0.202,0.016,0.005,0.052,0.1225,0
"Eastern Grass Shrimp","TS3","Floc","Wet",0.111,0.117,0.001,0.427,0.071,0.022,0.167,0.3845,0.001
"Eastern Grass Shrimp","TS3","Periphyton","Wet",0.874,0.124,0.544,0.997,0.913,0.818,0.969,0.997,0.5915
"Eastern Grass Shrimp","TS3","Sawgrass","Wet",0.015,0.031,0,0.099,0.005,0.001,0.014,0.0335,0
"Eastern Mosquitofish","TS3","Floc","Dry",0.255,0.208,0.004,0.724,0.212,0.074,0.394,0.724,0.004
"Eastern Mosquitofish","TS3","Periphyton","Dry",0.72,0.208,0.263,0.988,0.76,0.581,0.895,0.988,0.263
"Eastern Mosquitofish","TS3","Sawgrass","Dry",0.025,0.036,0,0.121,0.011,0.004,0.031,0.0715,0
"Eastern Mosquitofish","TS3","Floc","Wet",0.053,0.065,0.001,0.238,0.029,0.009,0.071,0.164,0.001
"Eastern Mosquitofish","TS3","Periphyton","Wet",0.94,0.068,0.752,0.998,0.964,0.919,0.986,0.998,0.8185
"Eastern Mosquitofish","TS3","Sawgrass","Wet",0.007,0.013,0,0.044,0.002,0.001,0.007,0.016,0
"Gar","TS3","Floc","Wet",0.032,0.049,0.001,0.163,0.016,0.005,0.039,0.09,0.001
"Gar","TS3","Periphyton","Wet",0.961,0.052,0.823,0.999,0.978,0.953,0.991,0.999,0.896
"Gar","TS3","Sawgrass","Wet",0.007,0.015,0,0.038,0.002,0.001,0.007,0.016,0
"Golden Topminnow","TS3","Floc","Wet",0.051,0.074,0.001,0.27,0.023,0.007,0.062,0.1445,0.001
"Golden Topminnow","TS3","Periphyton","Wet",0.939,0.08,0.71,0.999,0.968,0.922,0.989,0.999,0.8215
"Golden Topminnow","TS3","Sawgrass","Wet",0.01,0.021,0,0.068,0.003,0.001,0.01,0.0235,0
"Largemouth Bass","TS3","Floc","Wet",0.041,0.058,0,0.209,0.019,0.006,0.051,0.1185,0
"Largemouth Bass","TS3","Periphyton","Wet",0.952,0.063,0.782,0.999,0.974,0.938,0.99,0.999,0.86
"Largemouth Bass","TS3","Sawgrass","Wet",0.008,0.016,0,0.054,0.002,0.001,0.008,0.0185,0
"Mayan Cichlid","TS3","Floc","Wet",0.105,0.141,0.001,0.508,0.041,0.011,0.144,0.3435,0.001
"Mayan Cichlid","TS3","Periphyton","Wet",0.881,0.146,0.461,0.998,0.944,0.831,0.983,0.998,0.603
"Mayan Cichlid","TS3","Sawgrass","Wet",0.013,0.027,0,0.096,0.004,0.001,0.013,0.031,0
"Peacock Eel","TS3","Floc","Wet",0.077,0.111,0.001,0.412,0.031,0.008,0.098,0.233,0.001
"Peacock Eel","TS3","Periphyton","Wet",0.912,0.116,0.564,0.998,0.958,0.883,0.987,0.998,0.727
"Peacock Eel","TS3","Sawgrass","Wet",0.011,0.023,0,0.075,0.003,0.001,0.01,0.0235,0
"Redear Sunfish","TS3","Floc","Wet",0.095,0.135,0.001,0.496,0.036,0.01,0.118,0.28,0.001
"Redear Sunfish","TS3","Periphyton","Wet",0.894,0.139,0.487,0.999,0.953,0.862,0.985,0.999,0.6775
"Redear Sunfish","TS3","Sawgrass","Wet",0.011,0.022,0,0.07,0.003,0.001,0.01,0.0235,0
