"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Bay Anchovy","TS7","Epiphytes","Wet",0.604,0.175,0.228,0.893,0.62,0.498,0.727,0.893,0.228
"Bay Anchovy","TS7","Mangrove","Wet",0.046,0.051,0,0.183,0.026,0.008,0.067,0.1555,0
"Bay Anchovy","TS7","Seagrass","Wet",0.221,0.102,0.047,0.445,0.212,0.146,0.283,0.445,0.047
"Bay Anchovy","TS7","SPOM","Wet",0.13,0.156,0.001,0.543,0.078,0.025,0.177,0.405,0.001
"Brown Grass Shrimp","TS7","Epiphytes","Wet",0.551,0.23,0.077,0.943,0.563,0.388,0.729,0.943,0.077
"Brown Grass Shrimp","TS7","Mangrove","Wet",0.043,0.056,0,0.203,0.02,0.005,0.06,0.1425,0
"Brown Grass Shrimp","TS7","Seagrass","Wet",0.236,0.151,0.019,0.603,0.215,0.12,0.325,0.603,0.019
"Brown Grass Shrimp","TS7","SPOM","Wet",0.169,0.21,0.001,0.758,0.08,0.018,0.249,0.5955,0.001
"Code Goby","TS7","Epiphytes","Wet",0.544,0.244,0.075,0.947,0.559,0.358,0.74,0.947,0.075
"Code Goby","TS7","Mangrove","Wet",0.052,0.069,0,0.25,0.022,0.006,0.071,0.1685,0
"Code Goby","TS7","Seagrass","Wet",0.235,0.152,0.018,0.578,0.211,0.116,0.33,0.578,0.018
"Code Goby","TS7","SPOM","Wet",0.169,0.214,0.001,0.778,0.074,0.018,0.241,0.5755,0.001
"Crested Goby","TS7","Epiphytes","Wet",0.554,0.25,0.064,0.95,0.58,0.359,0.762,0.95,0.064
"Crested Goby","TS7","Mangrove","Wet",0.06,0.08,0,0.293,0.025,0.006,0.084,0.201,0
"Crested Goby","TS7","Seagrass","Wet",0.202,0.138,0.017,0.52,0.176,0.094,0.288,0.52,0.017
"Crested Goby","TS7","SPOM","Wet",0.184,0.227,0.001,0.794,0.078,0.017,0.282,0.6795,0.001
"Eastern Oyster","TS7","Epiphytes","Dry",0.768,0.161,0.391,0.969,0.802,0.691,0.886,0.969,0.3985
"Eastern Oyster","TS7","Mangrove","Dry",0.043,0.066,0,0.245,0.015,0.004,0.053,0.1265,0
"Eastern Oyster","TS7","Seagrass","Dry",0.109,0.083,0.01,0.302,0.09,0.05,0.147,0.2925,0.01
"Eastern Oyster","TS7","SPOM","Dry",0.081,0.126,0.001,0.432,0.035,0.013,0.096,0.2205,0.001
"Eastern Oyster","TS7","Epiphytes","Wet",0.805,0.167,0.361,0.978,0.851,0.743,0.919,0.978,0.479
"Eastern Oyster","TS7","Mangrove","Wet",0.053,0.093,0,0.332,0.015,0.003,0.058,0.1405,0
"Eastern Oyster","TS7","Seagrass","Wet",0.066,0.06,0.005,0.201,0.051,0.027,0.087,0.177,0.005
"Eastern Oyster","TS7","SPOM","Wet",0.076,0.131,0.001,0.398,0.033,0.009,0.09,0.2115,0.001
"Flatback Mud Crab","TS7","Epiphytes","Wet",0.718,0.208,0.165,0.975,0.764,0.609,0.88,0.975,0.2025
"Flatback Mud Crab","TS7","Mangrove","Wet",0.089,0.145,0,0.533,0.021,0.004,0.105,0.2565,0
"Flatback Mud Crab","TS7","Seagrass","Wet",0.094,0.076,0.007,0.263,0.076,0.039,0.131,0.263,0.007
"Flatback Mud Crab","TS7","SPOM","Wet",0.099,0.144,0,0.446,0.049,0.013,0.13,0.3055,0
"Goldspotted Killifish","TS7","Epiphytes","Wet",0.51,0.253,0.053,0.946,0.516,0.312,0.712,0.946,0.053
"Goldspotted Killifish","TS7","Mangrove","Wet",0.047,0.061,0,0.223,0.023,0.005,0.066,0.1575,0
"Goldspotted Killifish","TS7","Seagrass","Wet",0.29,0.179,0.017,0.666,0.275,0.151,0.405,0.666,0.017
"Goldspotted Killifish","TS7","SPOM","Wet",0.153,0.198,0.001,0.72,0.069,0.017,0.207,0.492,0.001
"Gulf Pipefish","TS7","Epiphytes","Dry",0.431,0.224,0.051,0.882,0.416,0.262,0.594,0.882,0.051
"Gulf Pipefish","TS7","Mangrove","Dry",0.026,0.032,0,0.117,0.015,0.005,0.035,0.08,0
"Gulf Pipefish","TS7","Seagrass","Dry",0.432,0.205,0.047,0.849,0.434,0.286,0.578,0.849,0.047
"Gulf Pipefish","TS7","SPOM","Dry",0.11,0.146,0.001,0.523,0.056,0.018,0.144,0.333,0.001
"Harris Mud Crab","TS7","Epiphytes","Wet",0.676,0.221,0.166,0.97,0.722,0.531,0.854,0.97,0.166
"Harris Mud Crab","TS7","Mangrove","Wet",0.098,0.145,0,0.493,0.025,0.004,0.133,0.3265,0
"Harris Mud Crab","TS7","Seagrass","Wet",0.109,0.082,0.009,0.305,0.092,0.047,0.152,0.305,0.009
"Harris Mud Crab","TS7","SPOM","Wet",0.116,0.159,0.001,0.563,0.053,0.014,0.155,0.3665,0.001
"Isopod","TS7","Epiphytes","Wet",0.682,0.204,0.179,0.965,0.719,0.559,0.843,0.965,0.179
"Isopod","TS7","Mangrove","Wet",0.069,0.105,0,0.374,0.021,0.004,0.092,0.224,0
"Isopod","TS7","Seagrass","Wet",0.124,0.093,0.011,0.336,0.105,0.056,0.173,0.336,0.011
"Isopod","TS7","SPOM","Wet",0.124,0.167,0.001,0.59,0.058,0.015,0.167,0.395,0.001
"Mangrove Snapper","TS7","Epiphytes","Wet",0.347,0.254,0.036,0.953,0.275,0.161,0.445,0.871,0.036
"Mangrove Snapper","TS7","Mangrove","Wet",0.027,0.034,0,0.126,0.014,0.004,0.037,0.0865,0
"Mangrove Snapper","TS7","Seagrass","Wet",0.535,0.24,0.012,0.872,0.59,0.434,0.705,0.872,0.0275
"Mangrove Snapper","TS7","SPOM","Wet",0.091,0.143,0.001,0.467,0.042,0.012,0.11,0.257,0.001
"Mussel","TS7","Epiphytes","Dry",0.766,0.167,0.324,0.965,0.803,0.695,0.881,0.965,0.416
"Mussel","TS7","Mangrove","Dry",0.042,0.076,0,0.261,0.014,0.004,0.045,0.1065,0
"Mussel","TS7","Seagrass","Dry",0.112,0.091,0.012,0.313,0.093,0.05,0.151,0.3025,0.012
"Mussel","TS7","SPOM","Dry",0.08,0.123,0.001,0.394,0.039,0.013,0.098,0.2255,0.001
"Pilchard","TS7","Epiphytes","Wet",0.522,0.23,0.081,0.93,0.529,0.35,0.701,0.93,0.081
"Pilchard","TS7","Mangrove","Wet",0.052,0.066,0,0.243,0.024,0.006,0.074,0.176,0
"Pilchard","TS7","Seagrass","Wet",0.237,0.146,0.023,0.575,0.214,0.129,0.321,0.575,0.023
"Pilchard","TS7","SPOM","Wet",0.19,0.221,0.001,0.779,0.092,0.021,0.295,0.706,0.001
"Pink Shrimp","TS7","Epiphytes","Dry",0.42,0.205,0.074,0.851,0.407,0.266,0.561,0.851,0.074
"Pink Shrimp","TS7","Mangrove","Dry",0.023,0.027,0,0.094,0.014,0.005,0.032,0.0725,0
"Pink Shrimp","TS7","Seagrass","Dry",0.448,0.184,0.071,0.8,0.451,0.326,0.575,0.8,0.071
"Pink Shrimp","TS7","SPOM","Dry",0.109,0.136,0.001,0.484,0.059,0.019,0.147,0.339,0.001
"Pink Shrimp","TS7","Epiphytes","Wet",0.503,0.218,0.081,0.909,0.511,0.35,0.662,0.909,0.081
