"site","hydroseason","year","group","common_name","functional_grp","d13C","d15N","d34S"
"RB10","Wet",2019,"Consumer","Bluefin Killifish","Forage_fish",-31.63,9.1,20.21
"RB10","Wet",2019,"Consumer","Bluefin Killifish","Forage_fish",-29.05,9.14,3.7
"RB10","Dry",2019,"Consumer","Bluegill","demersal_fish",-31.21,8.17,22.15
"RB10","Dry",2019,"Consumer","Bluegill","demersal_fish",-31.47,10.99,24.27
"RB10","Dry",2019,"Consumer","Bluegill","demersal_fish",-30.77,11.13,26.68
"RB10","Dry",2019,"Consumer","Bluegill","demersal_fish",-31.79,12.19,25.18
"RB10","Dry",2019,"Consumer","Bluegill","demersal_fish",-32.24,12.64,25.54
"RB10","Dry",2019,"Consumer","Bluegill","demersal_fish",-31.39,12.72,23.72
"RB10","Wet",2019,"Consumer","Bluegill","demersal_fish",-28.35,9.54,15.9
"RB10","Wet",2019,"Consumer","Bluegill","demersal_fish",-32.94,10.46,16.34
"RB10","Wet",2019,"Consumer","Bluegill","demersal_fish",-33.09,10.96,19.65
"RB10","Wet",2019,"Consumer","Bowfin","Predator",-31.22,10.9,24.28
"RB10","Wet",2019,"Consumer","Bowfin","Predator",-31.35,11.2,25.04
"RB10","Wet",2019,"Consumer","Bowfin","Predator",-29.16,11.26,24.54
"RB10","Wet",2019,"Consumer","Clown Goby","demersal_fish",-33.59,12.39,21.83
"RB10","Dry",2019,"Consumer","Coastal Shiner","Forage_fish",-31.37,10.65,24.47
"RB10","Dry",2019,"Consumer","Coastal Shiner","Forage_fish",-33.06,11.33,21.63
"RB10","Dry",2019,"Consumer","Coastal Shiner","Forage_fish",-33.13,11.47,27.46
"RB10","Dry",2019,"Consumer","Coastal Shiner","Forage_fish",-32.26,11.79,24.73
"RB10","Dry",2019,"Consumer","Coastal Shiner","Forage_fish",-32.32,11.9,24.54
"RB10","Dry",2019,"Consumer","Coastal Shiner","Forage_fish",-32.68,12.09,24.52
"RB10","Dry",2019,"Consumer","Coastal Shiner","Forage_fish",-32.5,12.11,25.78
"RB10","Dry",2019,"Consumer","Coastal Shiner","Forage_fish",-32.19,12.38,25.02
"RB10","Dry",2019,"Consumer","Coastal Shiner","Forage_fish",-31.49,12.43,24.09
"RB10","Dry",2019,"Consumer","Coastal Shiner","Forage_fish",-31.83,12.7,16.51
"RB10","Dry",2019,"Consumer","Coastal Shiner","Forage_fish",-32.05,12.89,24.41
"RB10","Dry",2019,"Consumer","Coastal Shiner","Forage_fish",-32.23,12.96,24.53
"RB10","Dry",2019,"Consumer","Coastal Shiner","Forage_fish",-31.82,13.03,15.52
"RB10","Dry",2019,"Consumer","Coastal Shiner","Forage_fish",-31.37,13.29,25.03
"RB10","Dry",2019,"Consumer","Coastal Shiner","Forage_fish",-32.35,13.74,24.52
"RB10","Wet",2019,"Consumer","Coastal Shiner","Forage_fish",-32.65,10.07,23.01
"RB10","Wet",2019,"Consumer","Coastal Shiner","Forage_fish",-30.8,13.01,18.45
"RB10","Wet",2019,"Consumer","Crested Goby","demersal_fish",-32.77,11.3,17.23
"RB10","Wet",2019,"Consumer","Crested Goby","demersal_fish",-31.97,12.88,20.46
"RB10","Dry",2019,"Consumer","Dollar Sunfish","demersal_fish",-30.33,10.94,25.79
"RB10","Wet",2019,"Consumer","Dollar Sunfish","demersal_fish",-26.53,7.87,9.52
"RB10","Wet",2019,"Consumer","Dollar Sunfish","demersal_fish",-24.71,8.53,15.19
"RB10","Wet",2019,"Consumer","Dollar Sunfish","demersal_fish",-27.82,8.66,15.51
"RB10","Wet",2019,"Consumer","Dollar Sunfish","demersal_fish",-27.69,8.75,12.59
"RB10","Wet",2019,"Consumer","Dollar Sunfish","demersal_fish",-27.5,8.81,15.66
"RB10","Wet",2019,"Consumer","Dollar Sunfish","demersal_fish",-27.5,8.81,17.72
"RB10","Wet",2019,"Consumer","Dollar Sunfish","demersal_fish",NA,9.64,13.52
"RB10","Wet",2019,"Consumer","Dollar Sunfish","demersal_fish",-30,10.22,20.61
"RB10","Wet",2019,"Consumer","Dollar Sunfish","demersal_fish",-30,10.22,22.56
"RB10","Dry",2019,"Consumer","Eastern Grass Shrimp","Shrimp",-31.61,12.08,25.06
"RB10","Wet",2019,"Consumer","Eastern Grass Shrimp","Shrimp",-30.23,11.05,22.31
"RB10","Wet",2019,"Consumer","Eastern Grass Shrimp","Shrimp",-30.82,11.27,21.73
"RB10","Wet",2019,"Consumer","Eastern Mosquitofish","Forage_fish",-29.22,10.21,19.6
"RB10","Wet",2019,"Consumer","Eastern Mosquitofish","Forage_fish",-30.29,10.72,20.44
"RB10","Wet",2019,"Consumer","Eastern Mosquitofish","Forage_fish",-28.89,10.89,18.32
"RB10","Dry",2019,"Consumer","Flatback Mud Crab","Crab",-25.22,5.63,5.72
"RB10","Dry",2019,"Consumer","Flatback Mud Crab","Crab",-26.13,9.69,18
"RB10","Wet",2019,"Consumer","Gar","Predator",-27.7,11.43,18.86
"RB10","Wet",2019,"Consumer","Gar","Predator",-27.86,11.54,22.1
"RB10","Wet",2019,"Consumer","Gar","Predator",-27.53,11.85,25.93
"RB10","Wet",2019,"Consumer","Gar","Predator",-29.44,11.95,25.09
"RB10","Wet",2019,"Consumer","Gar","Predator",-30.14,12.42,24.13
"RB10","Dry",2019,"Consumer","Golden Topminnow","Forage_fish",-27.93,9.85,24.67
"RB10","Wet",2019,"Consumer","Harris Mud Crab","Crab",-31.13,9.34,19.36
"RB10","Wet",2019,"Consumer","Harris Mud Crab","Crab",NA,9.58,16.82
"RB10","Dry",2019,"Consumer","Hogchoker","demersal_fish",-31.94,9.83,15.83
"RB10","Dry",2019,"Consumer","Hogchoker","demersal_fish",-31.4,10.35,22.79
"RB10","Dry",2019,"Consumer","Hogchoker","demersal_fish",-31.36,10.38,16.71
"RB10","Wet",2019,"Consumer","Hogchoker","demersal_fish",-30.87,9.31,14.9
"RB10","Wet",2019,"Consumer","Hogchoker","demersal_fish",-31.49,11.32,15.55
"RB10","Dry",2019,"Consumer","Isopod","Benthic_invert",-25.08,7.69,8.12
"RB10","Dry",2019,"Consumer","Isopod","Benthic_invert",-24.78,7.88,11.49
"RB10","Wet",2019,"Consumer","Largemouth Bass","Predator",-29.31,11.91,22.92
"RB10","Wet",2019,"Consumer","Largemouth Bass","Predator",-27.98,12.25,18.12
"RB10","Wet",2019,"Consumer","Largemouth Bass","Predator",-29.85,12.57,23.2
"RB10","Wet",2019,"Consumer","Largemouth Bass","Predator",-29.94,13.05,22.61
"RB10","Wet",2019,"Consumer","Mangrove Snapper","Predator",-30.4,12.04,8.66
"RB10","Wet",2019,"Consumer","Mangrove snapper","Predator",-30.01,13.49,22
"RB10","Dry",2019,"Consumer","Peacock Eel","demersal_fish",-28.82,8.2,NA
"RB10","Dry",2019,"Consumer","Peacock Eel","demersal_fish",-29.41,9.89,NA
"RB10","Dry",2019,"Consumer","Peacock Eel","demersal_fish",-28.56003969,8.324010327,19.21784601
"RB10","Dry",2019,"Consumer","Peacock Eel","demersal_fish",-29.7431152,8.678101432,20.65564663
"RB10","Dry",2019,"Consumer","Peacock Eel","demersal_fish",-26.12326707,8.7938191,22.27187652
"RB10","Dry",2019,"Consumer","Peacock Eel","demersal_fish",-28.10427826,8.96277674,21.38989892
"RB10","Dry",2019,"Consumer","Peacock Eel","demersal_fish",-27.6976569,11.74149291,19.01318577
"RB10","Wet",2019,"Consumer","Peacock Eel","demersal_fish",-28.99,9.16,22.76
"RB10","Wet",2019,"Consumer","Peacock Eel","demersal_fish",-28.17,9.41,23.76
"RB10","Wet",2019,"Consumer","Peacock Eel","demersal_fish",-29.64,9.48,21.47
"RB10","Wet",2019,"Consumer","Peacock Eel","demersal_fish",-30.88,9.88,21.17
"RB10","Wet",2019,"Consumer","Peacock Eel","demersal_fish",-30.47,9.92,20.61
"RB10","Dry",2019,"Consumer","Redear Sunfish","demersal_fish",-30.5,12.82,25.16
"RB10","Wet",2019,"Consumer","Redear Sunfish","demersal_fish",-30.86,8.51,22.44
"RB10","Wet",2019,"Consumer","Redear Sunfish","demersal_fish",-29.76,8.55,19.69
"RB10","Wet",2019,"Consumer","Redear Sunfish","demersal_fish",-27.64,8.94,13.5
"RB10","Wet",2019,"Consumer","Redear Sunfish","demersal_fish",-28.76,9.35,22.47
"RB10","Wet",2019,"Consumer","Redear Sunfish","demersal_fish",-28.08,9.7,22.29
"RB10","Wet",2019,"Consumer","Redfish","Predator",-31.7,12.69,7.83
"RB10","Wet",2019,"Consumer","Redfish","Predator",-30.84,12.75,21.23
"RB10","Wet",2019,"Consumer","Redfish","Predator",-30.98,13.63,16.8
"RB10","Wet",2019,"Consumer","Snook","Predator",-28.55,9.59,8.55
"RB10","Wet",2019,"Consumer","Snook","Predator",-29.41,11.71,13.35
"RB10","Wet",2019,"Consumer","Snook","Predator",-30.54,12.04,14.67
"RB10","Wet",2019,"Consumer","Snook","Predator",-28.84,12.39,21.44
"RB10","Wet",2019,"Consumer","Snook","Predator",-29.8,12.6,21.6
"RB10","Wet",2019,"Consumer","Spotted Sunfish","demersal_fish",-30.59,9.79,24.85
"RB10","Wet",2019,"Consumer","Spotted Sunfish","demersal_fish",-29.5,11.23,22.73
"RB10","Wet",2019,"Consumer","Spotted Tilapia","demersal_fish",-34.96,7.39,16.22
"RB10","Wet",2019,"Consumer","Spotted Tilapia","demersal_fish",-32.44,7.77,19.11
"RB10","Wet",2019,"Consumer","Spotted Tilapia","demersal_fish",-28.42,9.13,17.79
"RB10","Wet",2019,"Consumer","Spotted Tilapia","demersal_fish",-33.42,10.43,24.51
"RB10","Wet",2019,"Consumer","Striped Mullet","demersal_fish",-31.91,9.23,10.58
"RB10","Wet",2019,"Consumer","Striped Mullet","demersal_fish",-32.7,11.49,15.03
"RB10","Wet",2019,"Consumer","Tidewater Mojarra","Forage_fish",-31.43,12.17,18.12
"RB10","Wet",2019,"Consumer","Tidewater Mojarra","Forage_fish",-32.07,12.27,16.65
"RB10","Wet",2019,"Consumer","Tidewater Mojarra","Forage_fish",-32.11,12.49,15.09
