site,hydroseason,group,common_name,functional_grp,n,d13C,d13Csd,d15N,d15Nsd,d34S,d34Ssd
RB10,Dry,Consumer,Bluegill,demersal_fish,6,-31.47833333,0.501773521,11.30666667,1.70444908,24.59,1.5768069
RB10,Dry,Consumer,Coastal Shiner,Forage_fish,15,-32.17666667,0.544054444,12.31733333,0.819481253,23.51733333,3.266906502
RB10,Dry,Consumer,Flatback Mud Crab,Crab,2,-25.675,0.643467171,7.66,2.870853532,11.86,8.683271273
RB10,Dry,Consumer,Hogchoker,demersal_fish,3,-31.56666667,0.32393415,10.18666667,0.309246396,18.44333333,3.789951627
RB10,Dry,Consumer,Isopod,Benthic_invert,2,-24.93,0.212132034,7.785,0.134350288,9.805,2.382949853
RB10,Dry,Consumer,Peacock Eel,demersal_fish,7,-28.35119387,1.209245418,9.227171501,1.237680088,20.50969077,1.397297232
RB10,Dry,Consumer,Tidewater Silverside,Forage_fish,2,-31.185,0.827314934,11.23,0.311126984,22.305,0.205060967
RB10,Wet,Consumer,Bluefin Killifish,Forage_fish,2,-30.34,1.824335495,9.12,0.028284271,11.955,11.67433296
RB10,Wet,Consumer,Bluegill,demersal_fish,3,-31.46,2.694383046,10.32,0.720277724,17.29666667,2.049886176
RB10,Wet,Consumer,Bowfin,Predator,3,-30.57666667,1.228589978,11.12,0.192873015,24.62,0.386264158
RB10,Wet,Consumer,Coastal Shiner,Forage_fish,2,-31.725,1.308147545,11.54,2.078893937,20.73,3.224406922
RB10,Wet,Consumer,Crested Goby,demersal_fish,2,-32.37,0.565685425,12.09,1.117228714,18.845,2.283954903
RB10,Wet,Consumer,Dollar Sunfish,demersal_fish,9,-27.71875,1.73125419,9.056666667,0.798874208,15.87555556,3.998209321
RB10,Wet,Consumer,Eastern Grass Shrimp,Shrimp,2,-30.525,0.417193001,11.16,0.155563492,22.02,0.410121933
RB10,Wet,Consumer,Eastern Mosquitofish,Forage_fish,3,-29.46666667,0.731869752,10.60666667,0.35388322,19.45333333,1.06758294
RB10,Wet,Consumer,Gar,Predator,5,-28.534,1.178762063,11.838,0.389448328,23.222,2.825468103
RB10,Wet,Consumer,Hogchoker,demersal_fish,2,-31.18,0.438406204,10.315,1.42128463,15.225,0.459619408
RB10,Wet,Consumer,Largemouth Bass,Predator,4,-29.27,0.903880523,12.445,0.485077313,21.7125,2.407091952
RB10,Wet,Consumer,Peacock Eel,demersal_fish,5,-29.63,1.096517214,9.57,0.324191302,21.954,1.281261098
RB10,Wet,Consumer,Redear Sunfish,demersal_fish,5,-29.02,1.302766288,9.01,0.514344243,20.078,3.860514214
RB10,Wet,Consumer,Redfish,Predator,3,-31.17333333,0.461446999,13.02333333,0.526244557,15.28666667,6.826978346
RB10,Wet,Consumer,Snook,Predator,5,-29.428,0.789284486,11.666,1.209144326,15.922,5.595021895
RB10,Wet,Consumer,Spotted Sunfish,demersal_fish,2,-30.045,0.770746391,10.51,1.018233765,23.79,1.499066376
RB10,Wet,Consumer,Spotted Tilapia,demersal_fish,4,-32.31,2.793062835,8.68,1.385303817,19.4075,3.600947792
RB10,Wet,Consumer,Striped Mullet,demersal_fish,2,-32.305,0.558614357,10.36,1.598061325,12.805,3.146625176
RB10,Wet,Consumer,Tidewater Mojarra,Forage_fish,3,-31.87,0.381575681,12.31,0.163707055,16.62,1.515222756
RB10,Wet,Consumer,Tidewater Silverside,Forage_fish,2,-30.28,0.212132034,12.085,0.247487373,20.665,0.134350288
