"site","hydroseason","year","group","common_name","functional_grp","d13C","d15N","d34S"
"SRS4","Wet",2019,"Consumer","Blue Crab","Crab",-32.91,6.45,5.21
"SRS4","Wet",2019,"Consumer","Blue Crab","Crab",-28.77,7.52,16.06
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-22.75,10.72,5.21
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-23.2,10.88,8.17
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-21.12,10.97,9.29
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-18.02,10.97,10.29
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-22.88,11,14.19
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-19.96,11.01,11.17
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-24.93,11.22,9.38
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-21.94,11.3,9.1
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-20.85,11.39,6.38
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-23.54,11.43,10.64
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-18.88,11.47,8.44
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-21.77,11.5,9.96
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-24.99,11.51,10.88
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-21.02,11.51,9.25
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-21.98,11.65,6.34
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-23.59,11.66,10.93
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-22.5,11.68,8.97
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-22.49,11.72,9.44
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-20.4,12.06,9.83
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-19.07,12.12,11.54
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-22.29,12.34,7.41
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-17.87,13.43,15.52
"SRS4","Dry",2019,"Consumer","Bull shark","Predator",-19.38,13.5,11.71
"SRS4","Dry",2019,"Consumer","Crested Goby","demersal_fish",-30.57,9.92,NA
"SRS4","Wet",2019,"Consumer","Crested Goby","demersal_fish",-28.29,8.81,12.12
"SRS4","Wet",2019,"Consumer","Crested Goby","demersal_fish",-27.9,9.1,9.86
"SRS4","Wet",2019,"Consumer","Crested Goby","demersal_fish",-30.91,10.21,6.93
"SRS4","Dry",2019,"Consumer","Ctenophore","filter_feeder",-33.46,9.71,NA
"SRS4","Dry",2019,"Consumer","Dark False Mussel","Sessile_filter_feeder",-34.84,8.23,-0.99
"SRS4","Wet",2019,"Consumer","Dark False Mussel","Sessile_filter_feeder",-32.53,6.12,5.95
"SRS4","Dry",2019,"Consumer","Eastern Grass Shrimp","Shrimp",-28.14,8.54,9.48
"SRS4","Dry",2019,"Consumer","Eastern Grass Shrimp","Shrimp",-27.75,9.65,9.92
"SRS4","Dry",2019,"Consumer","Eastern Grass Shrimp","Shrimp",-28.13,10.14,12.21
"SRS4","Wet",2019,"Consumer","Eastern Grass Shrimp","Shrimp",-28.82,8.01,8.96
"SRS4","Wet",2019,"Consumer","Eastern Grass Shrimp","Shrimp",-30.21,8.34,9.23
"SRS4","Dry",2019,"Consumer","Harris Mud Crab","Crab",-30.87,5.87,0.76
"SRS4","Dry",2019,"Consumer","Harris Mud Crab","Crab",-28.55,6.53,4.49
"SRS4","Dry",2019,"Consumer","Harris Mud Crab","Crab",-31.32,6.61,3.04
"SRS4","Dry",2019,"Consumer","Harris Mud Crab","Crab",-27.55,6.99,3.81
"SRS4","Dry",2019,"Consumer","Harris Mud Crab","Crab",-10.51,7.21,12.5
"SRS4","Dry",2019,"Consumer","Harris Mud Crab","Crab",-25,7.34,10.76
"SRS4","Wet",2019,"Consumer","Harris Mud Crab","Crab",-31.55,5.92,4.11
"SRS4","Wet",2019,"Consumer","Harris Mud Crab","Crab",-32.32,6.28,3.19
"SRS4","Dry",2019,"Consumer","Isopod","Benthic_invert",-30.04,7.36,9.52
"SRS4","Dry",2019,"Consumer","Isopod","Benthic_invert",-30.16,7.78,7.36
"SRS4","Dry",2019,"Consumer","Isopod","Benthic_invert",-24.45,7.8,7.61
"SRS4","Wet",2019,"Consumer","Isopod","Benthic_invert",-36.41,5.29,10.12
"SRS4","Wet",2019,"Consumer","Isopod","Benthic_invert",-36.51,6.14,12.3
"SRS4","Wet",2019,"Consumer","Mangrove Snapper","Predator",-30.56,10.03,10.67
"SRS4","Wet",2019,"Consumer","Mangrove Snapper","Predator",-30.12,10.87,8.82
"SRS4","Wet",2019,"Consumer","Mangrove Snapper","Predator",-29.63,11.36,7.07
"SRS4","Wet",2019,"Consumer","Mangrove Snapper","Predator",-31.1,12,3.35
"SRS4","Wet",2019,"Consumer","Mangrove Snapper","Predator",-31.07,12.07,3.35
"SRS4","Dry",2019,"Consumer","Pink Shrimp","Shrimp",-26.33,10.81,13.96
"SRS4","Wet",2019,"Consumer","Pink Shrimp","Shrimp",-31.32,7.01,4.8
"SRS4","Wet",2019,"Consumer","Pink Shrimp","Shrimp",-31.92,8.08,5.7
"SRS4","Dry",2019,"Consumer","Redfish","Predator",-30.87,10.09,4.48
"SRS4","Wet",2019,"Consumer","Redfish","Predator",-30.98,10.78,4.55
"SRS4","Wet",2019,"Consumer","Redfish","Predator",-30.96,10.99,2.9
"SRS4","Wet",2019,"Consumer","Sailfin Molly","Forage_fish",-30.73,4.34,12.91
"SRS4","Wet",2019,"Consumer","Sailfin Molly","Forage_fish",-33.07,4.79,5.78
"SRS4","Wet",2019,"Consumer","Sailfin Molly","Forage_fish",-31.85,6.27,10.63
"SRS4","Dry",2019,"Consumer","Snook","Predator",-29.59,10.19,5.75
"SRS4","Wet",2019,"Consumer","Snook","Predator",-26.22,10.16,7.93
"SRS4","Wet",2019,"Consumer","Snook","Predator",-29.99,10.75,4.46
"SRS4","Wet",2019,"Consumer","Snook","Predator",-30.14,11.01,5.12
"SRS4","Wet",2019,"Consumer","Snook","Predator",-28.62,11.56,4.62
"SRS4","Wet",2019,"Consumer","Spotted Tilapia","demersal_fish",-32.8,8.86,6.26
"SRS4","Wet",2019,"Consumer","Spotted Tilapia","demersal_fish",-36.01,9.02,11.34
"SRS4","Wet",2019,"Consumer","Spotted Tilapia","demersal_fish",-31.81,9.8,12.67
"SRS4","Wet",2019,"Consumer","Striped Mojarra","demersal_fish",-32.75,8.89,2.76
"SRS4","Wet",2019,"Consumer","Striped Mojarra","demersal_fish",-32.69,9.66,1.76
"SRS4","Wet",2019,"Consumer","Striped Mojarra","demersal_fish",-31.99,9.87,1.65
"SRS4","Wet",2019,"Consumer","Striped Mullet","demersal_fish",-24.79,6.7,9.71
"SRS4","Wet",2019,"Consumer","Striped Mullet","demersal_fish",-20.1,7.86,4.13
"SRS4","Wet",2019,"Consumer","Striped Mullet","demersal_fish",-20.1,7.86,3.39
"SRS4","Wet",2019,"Consumer","Striped Mullet","demersal_fish",-15.26,9.15,3.92
"SRS4","Wet",2019,"Consumer","Tidewater Mojarra","Forage_fish",-32.06,9.02,3.2
"SRS4","Wet",2019,"Consumer","Tidewater Mojarra","Forage_fish",-31.86,9.4,1.64
"SRS4","Wet",2019,"Consumer","Tidewater Mojarra","Forage_fish",-32.31,9.52,-0.27
"SRS4","Dry",2019,"Consumer","Water Strider","Insect",-29.58,8.97,9.64
