"site","season","source","value"
"SRS Marsh","Dry","Sawgrass",0.03125
"SRS Marsh","Dry","Floc",0.40875
"SRS Marsh","Dry","Peri.",0.06475
"SRS Marsh","Dry","Phyto.",0.495125
"SRS Marsh","Wet","Sawgrass",0.0164375
"SRS Marsh","Wet","Floc",0.2786875
"SRS Marsh","Wet","Peri.",0.044125
"SRS Marsh","Wet","Phyto.",0.660625
"Upper River","Dry","Mang.",0.118
"Upper River","Dry","Floc",0.3474
"Upper River","Dry","Epi.",0.1064
"Upper River","Dry","Phyto.",0.4281
"Upper River","Wet","Mang.",0.144090909090909
"Upper River","Wet","Floc",0.287818181818182
"Upper River","Wet","Epi.",0.177909090909091
"Upper River","Wet","Phyto.",0.390181818181818
"Mid River","Dry","Mang.",0.117428571428571
"Mid River","Dry","Floc",0.147285714285714
"Mid River","Dry","Epi.",0.569428571428571
"Mid River","Dry","Phyto.",0.165571428571429
"Mid River","Wet","Mang.",0.0783846153846154
"Mid River","Wet","Floc",0.0810769230769231
"Mid River","Wet","Epi.",0.670230769230769
"Mid River","Wet","Phyto.",0.170384615384615
"Lower River","Dry","Mang.",0.25625
"Lower River","Dry","RMA",0.043125
"Lower River","Dry","Phyto.",0.502375
"Lower River","Dry","FGA",0.19825
"Lower River","Wet","Mang.",0.780583333333333
"Lower River","Wet","RMA",0.00683333333333333
"Lower River","Wet","Phyto.",0.102416666666667
"Lower River","Wet","FGA",0.110166666666667
"TS Marsh","Dry","Sawgrass",0.049
"TS Marsh","Dry","Floc",0.342333333333333
"TS Marsh","Dry","Peri.",0.328
"TS Marsh","Dry","Phyto.",0.280666666666667
"TS Marsh","Wet","Sawgrass",0.018
"TS Marsh","Wet","Floc",0.156272727272727
"TS Marsh","Wet","Peri.",0.753909090909091
"TS Marsh","Wet","Phyto.",0.0719090909090909
"Mangrove Ecotone","Dry","Mang.",0.0206666666666667
"Mangrove Ecotone","Dry","Seagrass",0.487666666666667
"Mangrove Ecotone","Dry","Epi.",0.236
"Mangrove Ecotone","Dry","POM",0.255833333333333
"Mangrove Ecotone","Wet","Mang.",0.042
"Mangrove Ecotone","Wet","Seagrass",0.306181818181818
"Mangrove Ecotone","Wet","Epi.",0.171545454545455
"Mangrove Ecotone","Wet","POM",0.480181818181818
"Inner Bay","Dry","Mang.",0.109
"Inner Bay","Dry","Seagrass",0.17725
"Inner Bay","Dry","Epi.",0.41075
"Inner Bay","Dry","POM",0.30325
"Inner Bay","Wet","Mang.",0.0678
"Inner Bay","Wet","Seagrass",0.1006
"Inner Bay","Wet","Epi.",0.362
"Inner Bay","Wet","POM",0.4698
"Mid Bay","Dry","Mang.",0.0392222222222222
"Mid Bay","Dry","Seagrass",0.225888888888889
"Mid Bay","Dry","Epi.",0.503333333333333
"Mid Bay","Dry","POM",0.231666666666667
"Mid Bay","Wet","Mang.",0.0475
"Mid Bay","Wet","Seagrass",0.516428571428571
"Mid Bay","Wet","Epi.",0.171428571428571
"Mid Bay","Wet","POM",0.264785714285714
"Outer Bay","Dry","Mang.",0.025
"Outer Bay","Dry","Seagrass",0.056
"Outer Bay","Dry","Epi.",0.738
"Outer Bay","Dry","POM",0.180666666666667
"Outer Bay","Wet","Mang.",0.0137142857142857
"Outer Bay","Wet","Seagrass",0.0501428571428571
"Outer Bay","Wet","Epi.",0.730214285714286
"Outer Bay","Wet","POM",0.205857142857143
