site,season,group,common_name,functional_grp,n,d13C,d13Csd,d15N,d15Nsd,d34S,d34Ssd
TS11,dry19,Consumer,Anemone,Sessile_filter_feeder,1,-14.71,NA,3.58,NA,12.84,NA
TS11,dry19,Consumer,File fish,demersal_fish,1,-17.71,NA,6.27,NA,11.4,NA
TS11,dry19,Consumer,Mud crab,Crab,7,-15.51857143,1.329704586,4.558571429,0.827112015,14.47,0.814821044
TS11,dry19,Consumer,Sponge,Sessile_filter_feeder,1,-18.25,NA,6.06,NA,9.38,NA
TS11,dry19,Consumer,Top minnow,Forage_fish,1,-15.17,NA,4.26,NA,12.1,NA
TS11,dry19,Consumer,Tunicate,Sessile_filter_feeder,2,-15.67,0.67882251,3.685,0.374766594,10.085,0.06363961
TS11,wet19,Consumer,Arrow Shrimp,Shrimp,2,-16.195,0.346482323,4.19,0.014142136,12.95,0.466690476
TS11,wet19,Consumer,Atlantic Modulus,Gastropod,2,-13.655,0.403050865,1.895,0.021213203,16.06,0.438406204
TS11,wet19,Consumer,Blue Striped Grunt,demersal_fish,3,-14.47,0.55027266,8.72,0.355387113,10.05,1.108016245
TS11,wet19,Consumer,Brown Grass Shrimp,Shrimp,3,-14.53333333,0.077674535,6.036666667,0.100664459,12.55,0.587962584
TS11,wet19,Consumer,Bubble Snail,Gastropod,1,-18.8,NA,4.37,NA,14.21,NA
TS11,wet19,Consumer,Chestnut Turban Snail,Gastropod,2,-13.67,NA,3.27,NA,14.735,1.110157646
TS11,wet19,Consumer,Estuarine Mudcrab,Crab,2,-19.365,0.106066017,3.56,0.113137085,13.8,0.593969696
TS11,wet19,Consumer,Fringed Filefish,demersal_fish,3,-13.92,0.372424489,6.833333333,0.015275252,9.92,0.995941765
TS11,wet19,Consumer,Giant Purple Barnacle,Sessile_filter_feeder,2,-16.6,0.593969696,8.37,0.169705627,14.14,2.503158005
TS11,wet19,Consumer,Hermit Crab,Crab,1,-16.82,NA,3.08,NA,10.15,NA
TS11,wet19,Consumer,Isopod,Benthic_invert,1,-19.11,NA,5.05,NA,17.7,NA
TS11,wet19,Consumer,Ivory Cerith,Gastropod,2,-13.7,0.183847763,3.06,0.014142136,12.155,3.867874093
TS11,wet19,Consumer,Penaeid Shrimp,Shrimp,2,-14.55,0.523259018,6.78,0.155563492,12.575,0.275771645
TS11,wet19,Consumer,Silver Jenny,demersal_fish,3,-12.6,0.607536007,7.806666667,0.447921124,7.186666667,2.487857177
TS11,wet19,Consumer,Stone Crab,Crab,2,-17.85,0.395979797,6.895,0.403050865,14.775,1.124299782
TS11,wet19,Consumer,Tunicate,Sessile_filter_feeder,2,-24.285,2.524371209,4.045,0.643467171,12.455,3.542604974
