"site","hydroseason","year","group","common_name","functional_grp","d13C","d15N","d34S"
"TS7","Wet",2019,"Consumer","Bay Anchovy","Forage_fish",-18.08,9.46,3.82
"TS7","Wet",2019,"Consumer","Bay Anchovy","Forage_fish",-17.82,10,2.38
"TS7","Wet",2019,"Consumer","Bay Anchovy","Forage_fish",-18.09,10.77,3.89
"TS7","Wet",2019,"Consumer","Brown Grass Shrimp","Shrimp",-19.07,9.39,7.96
"TS7","Wet",2019,"Consumer","Brown Grass Shrimp","Shrimp",-18.09,10.68,5.82
"TS7","Wet",2019,"Consumer","Code Goby","demersal_fish",-18.75,10.62,3.03
"TS7","Wet",2019,"Consumer","Code Goby","demersal_fish",-18.49,10.63,3.82
"TS7","Wet",2019,"Consumer","Crested Goby","demersal_fish",-18.8,9.5,3.03
"TS7","Wet",2019,"Consumer","Crested Goby","demersal_fish",-18.35,9.96,4.58
"TS7","Wet",2019,"Consumer","Crested Goby","demersal_fish",-20.35,10.92,-1.47
"TS7","Dry",2019,"Consumer","Eastern Oyster","Sessile_filter_feeder",-22.59,8.16,10.12
"TS7","Wet",2019,"Consumer","Eastern Oyster","Sessile_filter_feeder",-26.22,7.36,8.81
"TS7","Wet",2019,"Consumer","Flatback Mud Crab","Crab",-24.17,7.12,5.46
"TS7","Wet",2019,"Consumer","Flatback Mud Crab","Crab",-25.24,8.26,5.5
"TS7","Wet",2019,"Consumer","Goldspotted Killifish","Forage_fish",-17.75,10.55,2
"TS7","Wet",2019,"Consumer","Goldspotted Killifish","Forage_fish",-17.16,10.83,2.99
"TS7","Dry",2019,"Consumer","Gulf Pipefish","demersal_fish",-15.91,11.1,9.04
"TS7","Wet",2019,"Consumer","Harris Mud Crab","Crab",-24.13,7.8,4.72
"TS7","Wet",2019,"Consumer","Harris Mud Crab","Crab",-23.32,8.18,4.13
"TS7","Wet",2019,"Consumer","Isopod","Benthic_invert",-25.08,6.44,9.84
"TS7","Wet",2019,"Consumer","Isopod","Benthic_invert",-20.72,9.07,5.4
"TS7","Wet",2019,"Consumer","Mangrove Snapper","Predator",-13.64,13.29,6.92
"TS7","Wet",2019,"Consumer","Mangrove Snapper","Predator",-14.54,13.93,6.48
"TS7","Wet",2019,"Consumer","Mangrove Snapper","Predator",-15.43,13.98,5.02
"TS7","Wet",2019,"Consumer","Mangrove Snapper","Predator",-15.06,14.25,5.72
"TS7","Wet",2019,"Consumer","Mangrove Snapper","Predator",-14.53,14.3,6.27
"TS7","Dry",2019,"Consumer","Mussel","Sessile_filter_feeder",-24.76,7.3,9.45
"TS7","Wet",2019,"Consumer","Pilchard","Forage_fish",-18.66,8.82,5.9
"TS7","Wet",2019,"Consumer","Pilchard","Forage_fish",-18.93,8.97,5.6
"TS7","Dry",2019,"Consumer","Pink Shrimp","Shrimp",-15.12,11.06,12.3
"TS7","Wet",2019,"Consumer","Pink Shrimp","Shrimp",-17.98,8.79,3.14
"TS7","Dry",2019,"Consumer","Rainwater Killifish","Forage_fish",-17.76,9.67,11.77
"TS7","Dry",2019,"Consumer","Rainwater Killifish","Forage_fish",-18.14,10.57,12.12
"TS7","Wet",2019,"Consumer","Rainwater Killifish","Forage_fish",-19.94,11.52,6.4
"TS7","Wet",2019,"Consumer","Rainwater Killifish","Forage_fish",-18.01,11.95,8.19
"TS7","Wet",2019,"Consumer","Rainwater Killifish","Forage_fish",-18.61,12.2,7.19
"TS7","Dry",2019,"Consumer","Stone Crab","Crab",-14.19,7.2,9.16
"TS7","Dry",2019,"Consumer","Tidewater Silverside","Forage_fish",-16.41,10.35,NA
