"site","season","group","common_name","functional_grp","n","d13C","d13Csd","d15N","d15Nsd","d34S","d34Ssd"
"RB10","dry19","Consumer","Bluegill","demersal_fish",6,-31.4783333333333,0.501773521288905,11.3066666666667,1.70444908010379,24.59,1.57680690003564
"RB10","dry19","Consumer","Coastal Shiner","Forage_fish",15,-32.1766666666667,0.544054444054305,12.3173333333333,0.819481252872525,23.5173333333333,3.26690650237164
"RB10","dry19","Consumer","Dollar Sunfish","demersal_fish",1,-30.33,NA,10.94,NA,25.79,NA
"RB10","dry19","Consumer","Flatback mud crab","Crab",2,-25.675,0.643467170879758,7.66,2.87085353161738,11.86,8.6832712729708
"RB10","dry19","Consumer","Ghost Shrimp","Shrimp",1,-31.61,NA,12.08,NA,25.06,NA
"RB10","dry19","Consumer","Golden topminnow","Forage_fish",1,-27.93,NA,9.85,NA,24.67,NA
"RB10","dry19","Consumer","Hogchoker","demersal_fish",3,-31.5666666666667,0.323934149686837,10.1866666666667,0.309246395829173,18.4433333333333,3.78995162678013
"RB10","dry19","Consumer","Isopod","Benthic_invert",2,-24.93,0.212132034355962,7.785,0.134350288425444,9.805,2.38294985259867
"RB10","dry19","Consumer","Redear sunfish","demersal_fish",1,-30.5,NA,12.82,NA,25.16,NA
"RB10","dry19","Consumer","Tidewater Silverside","Forage_fish",2,-31.185,0.827314933988259,11.23,0.311126983722081,22.305,0.205060966544098
"RB10","wet19","Consumer","Bluefin Killifish","Forage_fish",2,-30.34,1.82433549546129,9.12,0.0282842712474626,11.955,11.6743329573899
"RB10","wet19","Consumer","Bluegill","demersal_fish",3,-31.46,2.69438304626495,10.32,0.720277724214765,17.2966666666667,2.04988617570179
"RB10","wet19","Consumer","Clown Goby","demersal_fish",1,-33.59,NA,12.39,NA,21.83,NA
"RB10","wet19","Consumer","Coastal Shiner","Forage_fish",2,-31.725,1.30814754519511,11.54,2.07889393668845,20.73,3.22440692221066
"RB10","wet19","Consumer","Crested Goby","demersal_fish",2,-32.37,0.565685424949241,12.09,1.11722871427475,18.845,2.28395490323255
"RB10","wet19","Consumer","Dollar Sunfish","demersal_fish",9,-27.71875,1.73125419029921,9.05666666666667,0.79887420787005,15.8755555555556,3.99820932140599
"RB10","wet19","Consumer","Eastern Mosquitofish","Forage_fish",3,-29.4666666666667,0.731869751617959,10.6066666666667,0.353883219909242,19.4533333333333,1.06758293979125
"RB10","wet19","Consumer","Ghost Shrimp","Shrimp",2,-30.525,0.417193000900063,11.16,0.15556349186104,22.02,0.410121933088196
"RB10","wet19","Consumer","Harris Mud Crab","Crab",2,-31.13,NA,9.46,0.169705627484772,18.09,1.79605122421383
"RB10","wet19","Consumer","Hogchoker","demersal_fish",2,-31.18,0.438406204335658,10.315,1.42128463018496,15.225,0.459619407771256
"RB10","wet19","Consumer","Peacock Eel","demersal_fish",5,-29.63,1.09651721372717,9.57,0.324191301548947,21.954,1.28126109751292
"RB10","wet19","Consumer","Redear Sunfish","demersal_fish",5,-29.02,1.3027662875589,9.01,0.514344242701325,20.078,3.86051421445382
"RB10","wet19","Consumer","Spotted Sunfish","demersal_fish",2,-30.045,0.770746391493337,10.51,1.01823376490863,23.79,1.49906637611548
"RB10","wet19","Consumer","Spotted Tilapia","demersal_fish",4,-32.31,2.79306283495377,8.68,1.38530381745907,19.4075,3.60094779190146
"RB10","wet19","Consumer","Striped Mullet","demersal_fish",2,-32.305,0.558614357137375,10.36,1.5980613254816,12.805,3.14662517628014
"RB10","wet19","Consumer","Tidewater Mojarra","Forage_fish",3,-31.87,0.381575680566778,12.31,0.163707055437449,16.62,1.51522275590093
"RB10","wet19","Consumer","Tidewater Silverside","Forage_fish",2,-30.28,0.212132034355965,12.085,0.247487373415291,20.665,0.134350288425445
