"site","season","group","common_name","functional_grp","n","d13C","d13Csd","d15N","d15Nsd","d34S","d34Ssd"
"SRS6","dry19","Consumer","Amphipod","Benthic_invert",1,-31.82,NA,7.14,NA,16.76,NA
"SRS6","dry19","Consumer","Bay Anchovy","Forage_fish",1,-24.43,NA,9.29,NA,15.42,NA
"SRS6","dry19","Consumer","Crested goby","demersal_fish",4,-24.5725,0.914890703854838,8.7225,0.915655502904886,8.195,0.947048045243746
"SRS6","dry19","Consumer","Gastropods","Gastropod",1,-25.76,NA,-2.22,NA,16.33,NA
"SRS6","dry19","Consumer","Ghost Shrimp","Shrimp",1,-27.56,NA,9.17,NA,11.54,NA
"SRS6","dry19","Consumer","Isopod","Benthic_invert",1,-25.53,NA,5.16,NA,13.15,NA
"SRS6","dry19","Consumer","Mangrove Periwinkle","Gastropod",2,-25.72,0.16970562748477,1.14,3.47896536343781,13.4,1.27279220613579
"SRS6","dry19","Consumer","Mangrove tree crab","Crab",1,-24.51,NA,5.7,NA,14.15,NA
"SRS6","dry19","Consumer","Mud crab","Crab",2,-23.715,3.79716341497176,6.73,1.97989898732233,10.38,0.876812408671319
"SRS6","dry19","Consumer","Mud Crab","Crab",1,-21.73,NA,5.47,NA,8.66,NA
"SRS6","dry19","Consumer","Pink shrimp","Shrimp",5,-26.212,0.887056931656588,7.046,1.17155025500403,6.092,1.42125648635283
"SRS6","dry19","Consumer","Pink Shrimp","Shrimp",1,-26.66,NA,7.04,NA,4.89,NA
"SRS6","dry19","Consumer","Polychete","Benthic_invert",2,-36.25,1.10308657865102,8.775,0.799030662740798,14.09,0.692964645562817
"SRS6","dry19","Consumer","Porceline crab","Crab",1,-22.92,NA,5.43,NA,10.98,NA
"SRS6","dry19","Consumer","Porceline Crab","Crab",1,-25.76,NA,6.28,NA,10.19,NA
"SRS6","dry19","Consumer","Tidewater Mojarra","Forage_fish",2,-24.125,0.558614357137372,9.665,0.0353553390593266,7.26,0.763675323681471
"SRS6","wet19","Consumer","Brown Grass Shrimp","Shrimp",3,-26.4033333333333,0.587310253046321,8.16333333333333,0.495412286215566,5.39333333333333,0.281128677536343
"SRS6","wet19","Consumer","Clown Goby","demersal_fish",2,-24.96,0.325269119345812,8.81,0.127279220613578,1.885,0.96873629022557
"SRS6","wet19","Consumer","Crested Goby","demersal_fish",3,-27.9266666666667,1.84830553029885,10.16,0.655057249406493,-3.49,3.96765673918498
"SRS6","wet19","Consumer","Eastern Mosquitofish","Forage_fish",3,-26.5366666666667,0.901683610438457,8.79666666666667,0.263122278291545,1.65666666666667,2.08509791936334
"SRS6","wet19","Consumer","Ghost Shrimp","Shrimp",2,-25.47,1.14551298552221,8.395,0.205060966544098,3.8,2.02232539419353
"SRS6","wet19","Consumer","Golden Topminnow","Forage_fish",2,-26.675,0.318198051533946,8.105,0.445477272147525,0.285,0.318198051533946
"SRS6","wet19","Consumer","Isopod","Benthic_invert",2,-29.67,0.0141421356237306,5.8,0.0282842712474619,11.43,0.480832611206852
"SRS6","wet19","Consumer","Pink Shrimp","Shrimp",2,-28.49,0.537401153701777,6.54,1.9657568516986,4.635,1.73241161390704
"SRS6","wet19","Consumer","Sailfin Molly","Forage_fish",3,-28.49,0.378021163428717,5.69333333333333,0.606657509088393,-2.94333333333333,3.14678142446108
"SRS6","wet19","Consumer","Salt marsh mud crab","Crab",2,-26.27,1.35764501987817,7.17,0.777817459305202,3.26,2.80014285349873
"SRS6","wet19","Consumer","Silver Jenny","demersal_fish",3,-28.2266666666667,0.741911944460616,9.35333333333333,0.568536131950586,-5.56666666666667,1.47886217523248
"SRS6","wet19","Consumer","Striped mullet","demersal_fish",1,-30.67,NA,7.82,NA,5.44,NA
"SRS6","wet19","Consumer","Tidewater Mojarra","Forage_fish",1,-26.8,NA,8.69,NA,-0.27,NA
