"site","season","group","common_name","functional_grp","n","d13C","d13Csd","d15N","d15Nsd","d34S","d34Ssd"
"TS10","dry19","Consumer","Amphipod","Benthic_invert",1,-16.89,NA,5.47,NA,18.26,NA
"TS10","dry19","Consumer","Blue Crab","Crab",1,-12.87,NA,5.84,NA,8.49,NA
"TS10","dry19","Consumer","Bluegill","demersal_fish",1,-11.7,NA,5.66,NA,9.12,NA
"TS10","dry19","Consumer","Hermit crab","Crab",4,-15.3125,0.729126189352707,6.99,2.24232022690783,11.6375,1.86810733096362
"TS10","dry19","Consumer","Polychete","Benthic_invert",1,-13.89,NA,6.7,NA,6.36,NA
"TS10","dry19","Consumer","Seahorse","demersal_fish",2,-11.51,3.3375440072005,7.515,1.576848122046,8.655,1.66170093578839
"TS10","dry19","Consumer","Slug","Benthic_invert",2,-19.13,1.08894444302728,4.55,0.29698484809835,17.6,NA
"TS10","dry19","Consumer","Snapping shrimp","Shrimp",2,-14.995,1.03944696834423,11.215,0.261629509039023,10.93,0.0282842712474613
"TS10","dry19","Consumer","Spider crab","Crab",2,-13.595,2.19910208949016,4.305,1.46371103705615,8.84,2.54558441227157
"TS10","dry19","Consumer","Spiny lobster","Benthic_invert",1,-13.86,NA,5.46,NA,12.46,NA
"TS10","dry19","Consumer","Stone crab","Crab",1,-10.57,NA,4.2,NA,11.77,NA
"TS10","dry19","Consumer","Tidewater Mojarra","Forage_fish",1,-13.57,NA,7.54,NA,7.53,NA
"TS10","dry19","Consumer","Tunicate","Sessile_filter_feeder",1,-10.35,NA,5.59,NA,6.88,NA
"TS10","wet19","Consumer","Atlantic Modulus","Gastropod",2,-9.985,0.0494974746830585,5.1,0.0424264068711926,7.82,0.113137084989848
"TS10","wet19","Consumer","Blue Crab","Crab",3,-11.7,0.229128784747792,5.18666666666667,0.957096303061157,6.39,4.13627852060279
"TS10","wet19","Consumer","Brown grass shrimp","Shrimp",2,-11.445,0.81317279836453,5.765,0.233345237791561,10.815,0.502045814642448
"TS10","wet19","Consumer","Cross-Barred Venus","Sessile_filter_feeder",2,-12.87,0,5.565,0.275771644662753,3.485,2.29809703885628
"TS10","wet19","Consumer","Goldspotted Killifish","Forage_fish",3,-10.9333333333333,0.283607710285411,7.16333333333333,0.347035060668707,4.63333333333333,0.279344470740577
"TS10","wet19","Consumer","Hermit Crab","Crab",3,-13.4766666666667,0.891758562242793,4.38666666666667,0.78373039582074,11.58,1.31053424220811
"TS10","wet19","Consumer","Pinfish","demersal_fish",1,-9.87,NA,8.09,NA,4.9,NA
"TS10","wet19","Consumer","Scaly Pearl Oyster","Sessile_filter_feeder",2,-12.68,0.282842712474619,4.71,0.0424264068711932,6.89,0.169705627484772
"TS10","wet19","Consumer","Silver Jenny","demersal_fish",3,-10.8966666666667,0.751953012716441,9.34,0.0655743852430204,1.92333333333333,0.453908948285153
"TS10","wet19","Consumer","Tidewater Mojarra","Forage_fish",3,-10.5666666666667,0.0808290376865476,8.14333333333333,0.119303534454488,4.42333333333333,0.375544049790878
"TS10","wet19","Consumer","Tidewater Silverside","Forage_fish",2,-10.02,0,9.71,0.169705627484772,2.53,0.183847763108503
"TS10","wet19","Consumer","West Indian False Cerith","Gastropod",2,-12.215,0.360624458405139,5.275,0.0636396103067892,0.46,1.40007142674936
"TS11","dry19","Consumer","Anemone","Sessile_filter_feeder",1,-14.71,NA,3.58,NA,12.84,NA
"TS11","dry19","Consumer","File fish","demersal_fish",1,-17.71,NA,6.27,NA,11.4,NA
"TS11","dry19","Consumer","Mud crab","Crab",7,-15.5185714285714,1.3297045858815,4.55857142857143,0.827112015215766,14.47,0.814821043747235
"TS11","dry19","Consumer","Sponge","Sessile_filter_feeder",1,-18.25,NA,6.06,NA,9.38,NA
"TS11","dry19","Consumer","Top minnow","Forage_fish",1,-15.17,NA,4.26,NA,12.1,NA
"TS11","dry19","Consumer","Tunicate","Sessile_filter_feeder",2,-15.67,0.678822509939085,3.685,0.37476659402887,10.085,0.0636396103067904
"TS11","wet19","Consumer","Arrow Shrimp","Shrimp",2,-16.195,0.34648232278141,4.19,0.0141421356237313,12.95,0.466690475583121
"TS11","wet19","Consumer","Atlantic Modulus","Gastropod",2,-13.655,0.403050865276332,1.895,0.0212132034355964,16.06,0.43840620433566
"TS11","wet19","Consumer","Blue Striped Grunt","demersal_fish",3,-14.47,0.550272659687904,8.72,0.355387112878337,10.05,1.10801624536827
"TS11","wet19","Consumer","Brown Grass Shrimp","Shrimp",3,-14.5333333333333,0.0776745346515396,6.03666666666667,0.100664459136943,12.55,0.587962583843563
"TS11","wet19","Consumer","Bubble Snail","Gastropod",1,-18.8,NA,4.37,NA,14.21,NA
"TS11","wet19","Consumer","Chestnut Turban Snail","Gastropod",2,-13.67,NA,3.27,NA,14.735,1.11015764646288
"TS11","wet19","Consumer","Estuarine Mudcrab","Crab",2,-19.365,0.106066017177984,3.56,0.113137084989848,13.8,0.5939696961967
"TS11","wet19","Consumer","Fringed Filefish","demersal_fish",3,-13.92,0.372424488990721,6.83333333333333,0.0152752523165191,9.92,0.995941765365827
"TS11","wet19","Consumer","Giant Purple Barnacle","Sessile_filter_feeder",2,-16.6,0.5939696961967,8.37,0.169705627484772,14.14,2.50315800540038
"TS11","wet19","Consumer","Isopod","Benthic_invert",1,-19.11,NA,5.05,NA,17.7,NA
"TS11","wet19","Consumer","Ivory Cerith","Gastropod",2,-13.7,0.183847763108502,3.06,0.014142135623731,12.155,3.86787409309042
"TS11","wet19","Consumer","Penaeid Shrimp","Shrimp",2,-14.55,0.523259018078045,6.78,0.15556349186104,12.575,0.275771644662753
"TS11","wet19","Consumer","Silver Jenny","demersal_fish",3,-12.6,0.607536007163361,7.80666666666667,0.44792112400883,7.18666666666667,2.48785717703676
"TS11","wet19","Consumer","Stone Crab","Crab",2,-17.85,0.395979797464466,6.895,0.403050865276332,14.34,1.73948268171891
"TS11","wet19","Consumer","Tunicate","Sessile_filter_feeder",2,-24.285,2.52437120883597,4.045,0.643467170879758,12.455,3.5426049737446
"TS7","dry19","Consumer","Mussel","Sessile_filter_feeder",1,-24.76,NA,7.3,NA,9.45,NA
"TS7","dry19","Consumer","oyster","Sessile_filter_feeder",1,-22.59,NA,8.16,NA,10.12,NA
"TS7","dry19","Consumer","Pink shrimp","Shrimp",1,-15.12,NA,11.06,NA,12.3,NA
"TS7","dry19","Consumer","Pipefish","demersal_fish",1,-15.91,NA,11.1,NA,9.04,NA
"TS7","dry19","Consumer","Rainwater killifish","Forage_fish",2,-17.95,0.268700576850887,10.12,0.636396103067893,11.945,0.247487373415291
"TS7","dry19","Consumer","Stone crab","Crab",1,-14.19,NA,7.2,NA,9.16,NA
"TS7","wet19","Consumer","Bay Anchovy","Forage_fish",3,-17.9966666666667,0.153079500042733,10.0766666666667,0.658356539675374,3.36333333333333,0.85231058501777
"TS7","wet19","Consumer","Brown grass shrimp","Shrimp",2,-18.58,0.692964645562817,10.035,0.912167747730646,6.89,1.51320851173921
