"site","hydroseason","group","common_name","functional_grp","n","d13C","d13Csd","d15N","d15Nsd","d34S","d34Ssd"
"SRS3","Dry","Consumer","Bluefin Killifish","Forage_fish",3,-31.05,0.400374824383352,8.44,0.45177427992306,22.0866666666667,0.225018517756502
"SRS3","Dry","Consumer","Eastern Grass Shrimp","Shrimp",3,-30.8933333333333,0.359212100761281,7.54333333333333,0.176162803489651,22.0333333333333,0.064291005073285
"SRS3","Dry","Consumer","Eastern Mosquitofish","Forage_fish",3,-29.5266666666667,0.332315111503123,8.96,0.0346410161513778,20.8333333333333,0.0862167810425181
"SRS3","Dry","Consumer","Flagfish","Forage_fish",3,-31.5266666666667,0.637991640488599,7.55666666666667,0.0750555349946513,19.4833333333333,0.44859038479813
"SRS3","Dry","Consumer","Gar","Predator",3,-30.4433333333333,0.247857485933618,11.5866666666667,0.391450294843845,25.0366666666667,0.177857620959387
"SRS3","Dry","Consumer","Golden Topminnow","Forage_fish",3,-28.5133333333333,0.544273215704514,9.31333333333333,0.17156145643277,20.6633333333333,0.730775843424872
"SRS3","Dry","Consumer","Slough Crayfish","Benthic_invert",3,-29.5533333333333,0.976541516441228,4.04,0.177763888346312,21.27,0.405955662603689
"SRS3","Dry","Consumer","Warmouth","demersal_fish",3,-29.89,0.0781024967590665,9.86,0.173493515728975,22.5366666666667,0.287112057101986
"SRS3","Wet","Consumer","Bluefin Killifish","Forage_fish",3,-29.09,0.240624188310319,9.52666666666667,0.100166528008779,22.1633333333333,0.205264057577876
"SRS3","Wet","Consumer","Bluegill","demersal_fish",3,-31.7033333333333,2.85239081006326,9.95666666666667,0.141891977691951,21.74,0.578619045659578
"SRS3","Wet","Consumer","Bowfin","Predator",3,-29.1166666666667,0.963967495994202,11.95,0.577148161220323,24.0133333333333,1.39004796080327
"SRS3","Wet","Consumer","Flagfish","Forage_fish",2,-30.55,0.933380951166243,9.865,0.388908729652602,21.27,0.0141421356237306
"SRS3","Wet","Consumer","Gar","Predator",4,-30.065,0.509018663704976,12.1575,0.48065060074861,23.86,1.15033328503815
"SRS3","Wet","Consumer","Giant Water Bug","Insect",2,-32.245,0.827314933988259,6.045,0.445477272147525,23.015,0.615182899632297
"SRS3","Wet","Consumer","Golden Topminnow","Forage_fish",2,-29.585,0.502045814642449,10.255,0.403050865276331,21.66,0.0989949493661171
"SRS3","Wet","Consumer","Largemouth Bass","Predator",3,-28.9366666666667,0.450814078455113,11.93,0.259422435421457,23.2766666666667,0.553022000767901
"SRS3","Wet","Consumer","Mayan Cichlid","demersal_fish",3,-31.6233333333333,1.9301381643119,8.8,0.542862781925599,23.4833333333333,1.58928705189885
"SRS3","Wet","Consumer","Peacock Eel","demersal_fish",3,-28.9066666666667,0.849548899907082,9.50333333333333,0.990168335856754,21.9966666666667,1.2002222016499
"SRS3","Wet","Consumer","Sailfin Molly","Forage_fish",2,-31.825,1.02530483272049,9.085,0.134350288425444,19.54,2.03646752981726
"SRS3","Wet","Consumer","Spotted Sunfish","demersal_fish",3,-29.8366666666667,1.59123641654323,10.5533333333333,0.170098010962308,23.48,2.01888583134362
"SRS3","Wet","Consumer","Spotted Tilapia","demersal_fish",3,-32.5866666666667,0.945163125250522,9.93333333333333,0.612562921938092,23.64,0.502394267483218
"SRS3","Wet","Consumer","Tidewater Mojarra","Forage_fish",3,-33.2666666666667,0.919039353528093,9.91333333333333,1.13904931119479,19.6866666666667,1.22087400387318
"SRS3","Wet","Consumer","Walking Catfish","Predator",3,-30.44,0.245153013442626,9.16,0.475709995690652,20.98,0.707036066972542
"SRS3","Wet","Consumer","Western Mosquitofish","Forage_fish",2,-30.245,0.0919238815542505,9.49,0.0989949493661171,21.305,0.431335136523794
