"season","site","species","brown","green","transect","fill"
"Dry","Upper River","Bluegill",0.396,0.603,"Shark River Slough",0.5371
"Dry","Upper River","Coastal Shiner",0.339,0.661,"Shark River Slough",0.5371
"Dry","Upper River","Dollar Sunfish",0.53,0.47,"Shark River Slough",0.5371
"Dry","Upper River","Eastern Grass Shrimp",0.382,0.617,"Shark River Slough",0.5371
"Dry","Upper River","Flatback Mud Crab",0.635,0.366,"Shark River Slough",0.5371
"Dry","Upper River","Golden Topminnow",0.534,0.466,"Shark River Slough",0.5371
"Dry","Upper River","Hogchoker",0.43,0.57,"Shark River Slough",0.5371
"Dry","Upper River","Peacock Eel",0.533,0.467,"Shark River Slough",0.5371
"Dry","Upper River","Redear Sunfish",0.449,0.551,"Shark River Slough",0.5371
"Dry","Upper River","Tidewater Silverside",0.4,0.6,"Shark River Slough",0.5371
"Dry","SRS Marsh","Bluefin Killifish",0.289,0.711,"Shark River Slough",0.712375
"Dry","SRS Marsh","Eastern Grass Shrimp",0.282,0.718,"Shark River Slough",0.712375
"Dry","SRS Marsh","Eastern Mosquitofish",0.293,0.707,"Shark River Slough",0.712375
"Dry","SRS Marsh","Flagfish",0.29,0.71,"Shark River Slough",0.712375
"Dry","SRS Marsh","Gar",0.261,0.739,"Shark River Slough",0.712375
"Dry","SRS Marsh","Golden Topminnow",0.306,0.695,"Shark River Slough",0.712375
"Dry","SRS Marsh","Slough Crayfish",0.302,0.699,"Shark River Slough",0.712375
"Dry","SRS Marsh","Warmouth",0.279,0.72,"Shark River Slough",0.712375
"Dry","Mid River","Dark False Mussel",0.24,0.76,"Shark River Slough",0.697571428571429
"Dry","Mid River","Eastern Grass Shrimp",0.339,0.661,"Shark River Slough",0.697571428571429
"Dry","Mid River","Harris Mud Crab",0.308,0.692,"Shark River Slough",0.697571428571429
"Dry","Mid River","Pink Shrimp",0.305,0.696,"Shark River Slough",0.697571428571429
"Dry","Mid River","Redfish",0.295,0.705,"Shark River Slough",0.697571428571429
"Dry","Mid River","Snook",0.314,0.686,"Shark River Slough",0.697571428571429
"Dry","Mid River","Water Strider",0.318,0.683,"Shark River Slough",0.697571428571429
"Dry","Lower River","Bay Anchovy",0.145,0.855,"Shark River Slough",0.7415
"Dry","Lower River","Crested Goby",0.328,0.672,"Shark River Slough",0.7415
"Dry","Lower River","Eastern Grass Shrimp",0.394,0.606,"Shark River Slough",0.7415
"Dry","Lower River","Mangrove Tree Crab",0.135,0.865,"Shark River Slough",0.7415
"Dry","Lower River","Pink Shrimp",0.445,0.555,"Shark River Slough",0.7415
"Dry","Lower River","Porceline Crab",0.191,0.809,"Shark River Slough",0.7415
"Dry","Lower River","Salt Marsh Mud Crab",0.154,0.846,"Shark River Slough",0.7415
"Dry","Lower River","Tidewater Mojarra",0.276,0.724,"Shark River Slough",0.7415
"Wet","Upper River","Bluefin Killifish",0.505,0.495,"Shark River Slough",0.572181818181818
"Wet","Upper River","Bluegill",0.4,0.601,"Shark River Slough",0.572181818181818
"Wet","Upper River","Bowfin",0.421,0.579,"Shark River Slough",0.572181818181818
"Wet","Upper River","Clown Goby",0.309,0.692,"Shark River Slough",0.572181818181818
"Wet","Upper River","Coastal Shiner",0.344,0.656,"Shark River Slough",0.572181818181818
"Wet","Upper River","Crested Goby",0.355,0.645,"Shark River Slough",0.572181818181818
"Wet","Upper River","Dollar Sunfish",0.524,0.476,"Shark River Slough",0.572181818181818
"Wet","Upper River","Eastern Grass Shrimp",0.387,0.614,"Shark River Slough",0.572181818181818
"Wet","Upper River","Eastern Mosquitofish",0.468,0.532,"Shark River Slough",0.572181818181818
"Wet","Upper River","Gar",0.478,0.521,"Shark River Slough",0.572181818181818
"Wet","Upper River","Harris Mud Crab",0.441,0.559,"Shark River Slough",0.572181818181818
"Wet","Upper River","Hogchoker",0.432,0.568,"Shark River Slough",0.572181818181818
