"site","hydroseason","group","common_name","functional_grp","n","d13C","d13Csd","d15N","d15Nsd","d34S","d34Ssd"
"TS3","Dry","Consumer","Bluefin Killifish","Forage_fish",3,-29.6966666666667,0.626444996255326,7.72333333333333,0.764874717410201,14.7,0.466047207909242
"TS3","Dry","Consumer","Eastern Grass Shrimp","Shrimp",3,-28.6633333333333,0.496621921921831,6.53333333333333,0.0907377172587747,13.3866666666667,0.342685472895093
"TS3","Dry","Consumer","Eastern Mosquitofish","Forage_fish",2,-28.805,0.304055915910215,7.73,0.0848528137423858,15.965,1.06773123959169
"TS3","Wet","Consumer","Asian Swamp Eel","demersal_fish",5,-22.288,0.972224253966131,9.57,0.445477272147524,18.34,1.70716138662986
"TS3","Wet","Consumer","Bluefin Killifish","Forage_fish",3,-23.2266666666667,0.225018517756503,7.72,0.372692903071685,12.01,0.445084261685357
"TS3","Wet","Consumer","Bluegill","demersal_fish",5,-28.492,1.00835013760102,8.924,0.354019773459054,16.658,2.08776674942389
"TS3","Wet","Consumer","Eastern Grass Shrimp","Shrimp",3,-27.46,0.166433169770932,6.73,0.26,11.71,0.151327459504216
"TS3","Wet","Consumer","Eastern Mosquitofish","Forage_fish",3,-22.9033333333333,0.401538707142079,8.82333333333333,0.145716619962629,11.8766666666667,0.140118997046558
"TS3","Wet","Consumer","Gar","Predator",6,-24.8883333333333,2.28575953824252,11.82,0.51353675623075,17.5116666666667,3.21803304312847
"TS3","Wet","Consumer","Golden Topminnow","Forage_fish",2,-23.58,3.35168614282423,8.715,0.615182899632297,15.66,2.12132034355964
"TS3","Wet","Consumer","Largemouth Bass","Predator",5,-25.084,3.05118501569472,10.828,0.323063461258001,17.028,3.94572173372629
"TS3","Wet","Consumer","Mayan Cichlid","demersal_fish",5,-27.586,3.72776474579607,7.998,0.846947459999733,14.39,1.136023767357
"TS3","Wet","Consumer","Peacock Eel","demersal_fish",5,-26.226,0.860337143217704,8.544,0.448976614090311,16.44,2.23647043351796
"TS3","Wet","Consumer","Redear Sunfish","demersal_fish",3,-28.8366666666667,2.33543001036925,8.76333333333333,0.417412665516193,15.83,0.89370017343626
