
#################################################################
# Summary Statistics
#################################################################

DIC = 178.9072

                                                    Mean    SD  2.5%    5%   25%   50%   75%    95%  97.5%
Epsilon.1                                          3.842 2.450 0.904 1.124 2.089 3.259 4.949  8.598 10.135
Epsilon.2                                          2.127 1.328 0.605 0.743 1.254 1.784 2.611  4.593  5.744
Epsilon.3                                          5.422 4.017 0.828 1.111 2.428 4.302 7.291 14.150 16.410
common_name.SD                                     0.472 0.281 0.027 0.054 0.253 0.461 0.648  0.948  1.087
p.Dry.Filamentous Green Algae                      0.137 0.075 0.022 0.035 0.084 0.126 0.177  0.278  0.321
p.Wet.Filamentous Green Algae                      0.104 0.079 0.007 0.011 0.042 0.088 0.148  0.259  0.304
p.Dry.Mangrove                                     0.245 0.083 0.114 0.131 0.188 0.232 0.291  0.400  0.441
p.Wet.Mangrove                                     0.690 0.126 0.430 0.475 0.603 0.694 0.785  0.887  0.914
p.Dry.Phytoplankton                                0.597 0.114 0.321 0.386 0.532 0.616 0.680  0.746  0.764
p.Wet.Phytoplankton                                0.201 0.104 0.035 0.050 0.118 0.189 0.273  0.387  0.423
p.Dry.Red Macroalgae                               0.021 0.022 0.000 0.001 0.005 0.014 0.030  0.063  0.078
p.Wet.Red Macroalgae                               0.005 0.005 0.000 0.000 0.002 0.004 0.008  0.016  0.020
p.Dry.Bay Anchovy.Filamentous Green Algae          0.108 0.089 0.010 0.015 0.045 0.084 0.143  0.291  0.362
p.Dry.Bay Anchovy.Mangrove                         0.160 0.092 0.038 0.048 0.093 0.140 0.208  0.333  0.383
p.Dry.Bay Anchovy.Phytoplankton                    0.704 0.165 0.291 0.372 0.611 0.741 0.834  0.895  0.907
p.Dry.Bay Anchovy.Red Macroalgae                   0.029 0.040 0.000 0.000 0.004 0.013 0.037  0.112  0.143
p.Dry.Crested Goby.Filamentous Green Algae         0.159 0.104 0.016 0.027 0.087 0.140 0.208  0.358  0.417
p.Dry.Crested Goby.Mangrove                        0.282 0.118 0.107 0.130 0.201 0.262 0.338  0.503  0.575
p.Dry.Crested Goby.Phytoplankton                   0.538 0.145 0.191 0.249 0.458 0.566 0.644  0.727  0.748
p.Dry.Crested Goby.Red Macroalgae                  0.021 0.024 0.000 0.001 0.004 0.013 0.029  0.069  0.086
p.Dry.Eastern Grass Shrimp.Filamentous Green Algae 0.127 0.093 0.014 0.020 0.060 0.107 0.167  0.310  0.360
