
#################################################################
# Summary Statistics
#################################################################

DIC = 82.08108

                                          Mean    SD  2.5%    5%   25%   50%    75%    95%  97.5%
Epsilon.1                                7.767 4.223 1.677 2.175 4.495 7.022 10.474 15.935 17.614
Epsilon.2                                2.760 3.402 0.125 0.183 0.537 1.336  3.566 10.199 13.202
common_name.SD                           1.906 2.968 0.044 0.079 0.365 0.892  1.985  8.038 11.613
p.Dry.Floc                               0.485 0.224 0.066 0.105 0.315 0.492  0.665  0.830  0.865
p.Wet.Floc                               0.521 0.288 0.025 0.051 0.268 0.548  0.780  0.933  0.951
p.Dry.Periphyton                         0.202 0.164 0.007 0.015 0.075 0.158  0.288  0.536  0.620
p.Wet.Periphyton                         0.233 0.235 0.003 0.006 0.045 0.141  0.367  0.728  0.819
p.Dry.Phytoplankton                      0.147 0.137 0.004 0.009 0.040 0.102  0.219  0.432  0.491
p.Wet.Phytoplankton                      0.049 0.066 0.002 0.003 0.013 0.028  0.057  0.156  0.228
p.Dry.Sawgrass                           0.166 0.152 0.006 0.011 0.053 0.120  0.233  0.481  0.575
p.Wet.Sawgrass                           0.198 0.220 0.002 0.004 0.031 0.109  0.295  0.691  0.803
p.Dry.Bluefin Killifish.Floc             0.401 0.284 0.000 0.000 0.136 0.400  0.643  0.848  0.890
p.Dry.Bluefin Killifish.Periphyton       0.252 0.263 0.000 0.002 0.051 0.159  0.367  0.864  0.969
p.Dry.Bluefin Killifish.Phytoplankton    0.171 0.185 0.000 0.000 0.025 0.097  0.275  0.554  0.636
p.Dry.Bluefin Killifish.Sawgrass         0.176 0.230 0.000 0.000 0.029 0.093  0.214  0.773  0.968
p.Dry.Eastern Grass Shrimp.Floc          0.401 0.263 0.000 0.001 0.175 0.403  0.618  0.820  0.862
p.Dry.Eastern Grass Shrimp.Periphyton    0.175 0.187 0.000 0.001 0.035 0.114  0.251  0.545  0.704
p.Dry.Eastern Grass Shrimp.Phytoplankton 0.275 0.232 0.001 0.007 0.074 0.221  0.430  0.723  0.816
p.Dry.Eastern Grass Shrimp.Sawgrass      0.149 0.170 0.000 0.001 0.032 0.092  0.204  0.479  0.609
p.Dry.Eastern Mosquitofish.Floc          0.402 0.287 0.000 0.000 0.138 0.401  0.649  0.861  0.901
p.Dry.Eastern Mosquitofish.Periphyton    0.256 0.270 0.000 0.001 0.048 0.159  0.370  0.860  0.977
p.Dry.Eastern Mosquitofish.Phytoplankton 0.136 0.158 0.000 0.000 0.016 0.068  0.206  0.474  0.556
p.Dry.Eastern Mosquitofish.Sawgrass      0.206 0.254 0.000 0.001 0.035 0.109  0.265  0.887  0.996
p.Wet.Asian Swamp Eel.Floc               0.442 0.355 0.000 0.000 0.076 0.407  0.793  0.972  0.987
p.Wet.Asian Swamp Eel.Periphyton         0.305 0.342 0.000 0.000 0.017 0.129  0.571  0.981  0.999
p.Wet.Asian Swamp Eel.Phytoplankton      0.025 0.035 0.000 0.000 0.002 0.012  0.032  0.093  0.124
p.Wet.Asian Swamp Eel.Sawgrass           0.228 0.304 0.000 0.000 0.012 0.078  0.319  0.966  0.997
p.Wet.Bluefin Killifish.Floc             0.438 0.318 0.000 0.000 0.124 0.438  0.726  0.922  0.955
p.Wet.Bluefin Killifish.Periphyton       0.295 0.311 0.000 0.001 0.028 0.166  0.509  0.921  0.978
p.Wet.Bluefin Killifish.Phytoplankton    0.054 0.069 0.000 0.000 0.009 0.030  0.074  0.190  0.252
p.Wet.Bluefin Killifish.Sawgrass         0.213 0.270 0.000 0.000 0.017 0.087  0.316  0.846  0.970
p.Wet.Bluegill.Floc                      0.656 0.312 0.006 0.034 0.432 0.761  0.924  0.998  1.000
p.Wet.Bluegill.Periphyton                0.171 0.231 0.000 0.000 0.010 0.064  0.239  0.710  0.841
p.Wet.Bluegill.Phytoplankton             0.036 0.070 0.000 0.000 0.003 0.014  0.038  0.138  0.225
p.Wet.Bluegill.Sawgrass                  0.137 0.209 0.000 0.000 0.007 0.045  0.172  0.636  0.827
p.Wet.Eastern Grass Shrimp.Floc          0.457 0.295 0.000 0.001 0.190 0.471  0.706  0.918  0.944
p.Wet.Eastern Grass Shrimp.Periphyton    0.214 0.236 0.000 0.000 0.025 0.119  0.340  0.726  0.818
p.Wet.Eastern Grass Shrimp.Phytoplankton 0.138 0.174 0.000 0.002 0.022 0.066  0.185  0.510  0.629
p.Wet.Eastern Grass Shrimp.Sawgrass      0.192 0.222 0.000 0.001 0.023 0.102  0.299  0.671  0.806
p.Wet.Eastern Mosquitofish.Floc          0.428 0.318 0.000 0.000 0.112 0.421  0.712  0.928  0.956
p.Wet.Eastern Mosquitofish.Periphyton    0.291 0.313 0.000 0.000 0.028 0.153  0.502  0.928  0.980
p.Wet.Eastern Mosquitofish.Phytoplankton 0.040 0.054 0.000 0.000 0.006 0.022  0.052  0.140  0.182
p.Wet.Eastern Mosquitofish.Sawgrass      0.241 0.292 0.000 0.000 0.018 0.105  0.368  0.930  0.996
p.Wet.Gar.Floc                           0.546 0.345 0.000 0.001 0.226 0.597  0.877  0.996  1.000
p.Wet.Gar.Periphyton                     0.221 0.276 0.000 0.000 0.012 0.088  0.347  0.852  0.951
p.Wet.Gar.Phytoplankton                  0.029 0.043 0.000 0.000 0.002 0.014  0.037  0.110  0.154
p.Wet.Gar.Sawgrass                       0.204 0.277 0.000 0.000 0.010 0.073  0.293  0.902  0.992
p.Wet.Golden Topminnow.Floc              0.526 0.341 0.000 0.000 0.195 0.581  0.844  0.977  0.991
p.Wet.Golden Topminnow.Periphyton        0.246 0.295 0.000 0.000 0.017 0.109  0.388  0.915  0.987
p.Wet.Golden Topminnow.Phytoplankton     0.032 0.043 0.000 0.000 0.004 0.017  0.041  0.115  0.147
p.Wet.Golden Topminnow.Sawgrass          0.197 0.269 0.000 0.000 0.013 0.072  0.265  0.868  0.981
p.Wet.Largemouth Bass.Floc               0.586 0.338 0.000 0.007 0.288 0.663  0.899  0.997  1.000
p.Wet.Largemouth Bass.Periphyton         0.205 0.264 0.000 0.000 0.011 0.080  0.319  0.814  0.917
p.Wet.Largemouth Bass.Phytoplankton      0.030 0.046 0.000 0.000 0.003 0.013  0.038  0.120  0.160
p.Wet.Largemouth Bass.Sawgrass           0.179 0.252 0.000 0.000 0.009 0.062  0.242  0.803  0.942
p.Wet.Mayan Cichlid.Floc                 0.534 0.316 0.000 0.001 0.259 0.602  0.814  0.944  0.963
p.Wet.Mayan Cichlid.Periphyton           0.216 0.253 0.000 0.000 0.022 0.107  0.333  0.773  0.905
p.Wet.Mayan Cichlid.Phytoplankton        0.065 0.108 0.000 0.000 0.009 0.029  0.072  0.254  0.386
p.Wet.Mayan Cichlid.Sawgrass             0.185 0.244 0.000 0.000 0.017 0.081  0.255  0.786  0.935
p.Wet.Peacock Eel.Floc                   0.616 0.320 0.001 0.015 0.370 0.700  0.902  0.996  1.000
p.Wet.Peacock Eel.Periphyton             0.187 0.242 0.000 0.000 0.012 0.079  0.269  0.741  0.888
p.Wet.Peacock Eel.Phytoplankton          0.034 0.055 0.000 0.000 0.003 0.015  0.040  0.128  0.176
p.Wet.Peacock Eel.Sawgrass               0.163 0.230 0.000 0.000 0.009 0.061  0.219  0.712  0.880
p.Wet.Redear Sunfish.Floc                0.625 0.320 0.000 0.010 0.391 0.731  0.895  0.992  0.999
p.Wet.Redear Sunfish.Periphyton          0.185 0.241 0.000 0.000 0.014 0.077  0.261  0.748  0.876
p.Wet.Redear Sunfish.Phytoplankton       0.045 0.091 0.000 0.000 0.005 0.018  0.045  0.167  0.306
p.Wet.Redear Sunfish.Sawgrass            0.145 0.215 0.000 0.000 0.010 0.053  0.177  0.673  0.872
