"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Dry","RB10","Epiphytes","Bluegill",0.148,0.125,0.007,0.469,0.114,0.056,0.204,0.426,0.007
"Dry","RB10","Floc","Bluegill",0.23,0.163,0.008,0.593,0.209,0.089,0.343,0.593,0.008
"Dry","RB10","Mangrove","Bluegill",0.143,0.124,0.004,0.472,0.108,0.048,0.204,0.438,0.004
"Dry","RB10","Phytoplankton","Bluegill",0.479,0.159,0.195,0.805,0.469,0.364,0.584,0.805,0.195
"Dry","RB10","Epiphytes","Coastal Shiner",0.132,0.112,0.006,0.43,0.1,0.048,0.185,0.3905,0.006
"Dry","RB10","Floc","Coastal Shiner",0.218,0.157,0.008,0.559,0.196,0.086,0.324,0.559,0.008
"Dry","RB10","Mangrove","Coastal Shiner",0.132,0.114,0.004,0.428,0.101,0.045,0.188,0.4025,0.004
"Dry","RB10","Phytoplankton","Coastal Shiner",0.518,0.166,0.214,0.856,0.508,0.398,0.634,0.856,0.214
"Dry","RB10","Epiphytes","Dollar Sunfish",0.184,0.159,0.007,0.623,0.135,0.066,0.258,0.546,0.007
"Dry","RB10","Floc","Dollar Sunfish",0.281,0.196,0.009,0.707,0.261,0.111,0.417,0.707,0.009
"Dry","RB10","Mangrove","Dollar Sunfish",0.165,0.147,0.005,0.541,0.122,0.052,0.237,0.5145,0.005
"Dry","RB10","Phytoplankton","Dollar Sunfish",0.37,0.155,0.101,0.707,0.359,0.26,0.468,0.707,0.101
"Dry","RB10","Epiphytes","Eastern Grass Shrimp",0.14,0.122,0.006,0.464,0.102,0.051,0.193,0.406,0.006
"Dry","RB10","Floc","Eastern Grass Shrimp",0.234,0.166,0.008,0.587,0.214,0.091,0.348,0.587,0.008
"Dry","RB10","Mangrove","Eastern Grass Shrimp",0.142,0.122,0.004,0.457,0.108,0.048,0.202,0.433,0.004
"Dry","RB10","Phytoplankton","Eastern Grass Shrimp",0.485,0.168,0.191,0.838,0.472,0.359,0.601,0.838,0.191
"Dry","RB10","Epiphytes","Flatback Mud Crab",0.212,0.205,0.007,0.756,0.137,0.06,0.305,0.6725,0.007
"Dry","RB10","Floc","Flatback Mud Crab",0.332,0.236,0.007,0.803,0.318,0.111,0.512,0.803,0.007
"Dry","RB10","Mangrove","Flatback Mud Crab",0.165,0.163,0.004,0.626,0.114,0.047,0.231,0.507,0.004
"Dry","RB10","Phytoplankton","Flatback Mud Crab",0.292,0.15,0.052,0.633,0.279,0.177,0.385,0.633,0.052
"Dry","RB10","Epiphytes","Golden Topminnow",0.172,0.159,0.006,0.608,0.121,0.059,0.237,0.504,0.006
"Dry","RB10","Floc","Golden Topminnow",0.287,0.201,0.009,0.704,0.265,0.112,0.437,0.704,0.009
"Dry","RB10","Mangrove","Golden Topminnow",0.165,0.154,0.005,0.588,0.119,0.05,0.23,0.5,0.005
"Dry","RB10","Phytoplankton","Golden Topminnow",0.376,0.167,0.095,0.748,0.36,0.259,0.479,0.748,0.095
"Dry","RB10","Epiphytes","Hogchoker",0.166,0.134,0.008,0.506,0.13,0.066,0.233,0.4835,0.008
"Dry","RB10","Floc","Hogchoker",0.235,0.166,0.008,0.599,0.211,0.096,0.348,0.599,0.008
"Dry","RB10","Mangrove","Hogchoker",0.154,0.128,0.005,0.479,0.12,0.054,0.223,0.4765,0.005
"Dry","RB10","Phytoplankton","Hogchoker",0.445,0.146,0.171,0.739,0.44,0.342,0.545,0.739,0.171
"Dry","RB10","Epiphytes","Peacock Eel",0.172,0.149,0.007,0.563,0.128,0.06,0.24,0.51,0.007
"Dry","RB10","Floc","Peacock Eel",0.277,0.188,0.008,0.675,0.259,0.117,0.41,0.675,0.008
"Dry","RB10","Mangrove","Peacock Eel",0.166,0.144,0.005,0.542,0.125,0.054,0.239,0.5165,0.005
"Dry","RB10","Phytoplankton","Peacock Eel",0.386,0.153,0.124,0.72,0.372,0.277,0.483,0.72,0.124
"Dry","RB10","Epiphytes","Redear Sunfish",0.161,0.139,0.007,0.524,0.12,0.057,0.223,0.472,0.007
"Dry","RB10","Floc","Redear Sunfish",0.262,0.182,0.008,0.643,0.245,0.107,0.395,0.643,0.008
"Dry","RB10","Mangrove","Redear Sunfish",0.159,0.138,0.005,0.508,0.121,0.053,0.229,0.493,0.005
"Dry","RB10","Phytoplankton","Redear Sunfish",0.418,0.159,0.135,0.761,0.401,0.307,0.518,0.761,0.135
"Dry","RB10","Epiphytes","Tidewater Silverside",0.151,0.126,0.008,0.474,0.115,0.058,0.211,0.4405,0.008
"Dry","RB10","Floc","Tidewater Silverside",0.237,0.165,0.008,0.602,0.216,0.099,0.35,0.602,0.008
"Dry","RB10","Mangrove","Tidewater Silverside",0.149,0.126,0.005,0.48,0.116,0.052,0.213,0.4545,0.005
"Dry","RB10","Phytoplankton","Tidewater Silverside",0.462,0.158,0.176,0.787,0.451,0.351,0.57,0.787,0.176
"Wet","RB10","Epiphytes","Bluefin Killifish",0.259,0.184,0.007,0.692,0.234,0.111,0.368,0.692,0.007
"Wet","RB10","Floc","Bluefin Killifish",0.15,0.138,0.004,0.512,0.112,0.047,0.209,0.452,0.004
"Wet","RB10","Mangrove","Bluefin Killifish",0.219,0.184,0.003,0.639,0.177,0.056,0.347,0.639,0.003
"Wet","RB10","Phytoplankton","Bluefin Killifish",0.372,0.133,0.114,0.643,0.371,0.283,0.46,0.643,0.114
"Wet","RB10","Epiphytes","Bluegill",0.203,0.138,0.006,0.509,0.187,0.094,0.291,0.509,0.006
"Wet","RB10","Floc","Bluegill",0.136,0.118,0.005,0.437,0.107,0.046,0.195,0.4185,0.005
"Wet","RB10","Mangrove","Bluegill",0.183,0.15,0.003,0.527,0.152,0.053,0.28,0.527,0.003
"Wet","RB10","Phytoplankton","Bluegill",0.478,0.136,0.237,0.77,0.469,0.383,0.565,0.77,0.237
"Wet","RB10","Epiphytes","Bowfin",0.206,0.148,0.005,0.568,0.182,0.093,0.291,0.568,0.005
"Wet","RB10","Floc","Bowfin",0.148,0.13,0.003,0.481,0.112,0.049,0.214,0.4615,0.003
"Wet","RB10","Mangrove","Bowfin",0.191,0.16,0.003,0.555,0.156,0.054,0.293,0.555,0.003
"Wet","RB10","Phytoplankton","Bowfin",0.456,0.151,0.184,0.786,0.446,0.353,0.548,0.786,0.184
