"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Bluefin Killifish","RB10","Epiphytes","Wet",0.184,0.158,0.002,0.554,0.139,0.058,0.28,0.554,0.002
"Bluefin Killifish","RB10","Floc","Wet",0.335,0.164,0.038,0.639,0.337,0.21,0.462,0.639,0.038
"Bluefin Killifish","RB10","Mangrove","Wet",0.139,0.144,0.002,0.519,0.086,0.029,0.206,0.4715,0.002
"Bluefin Killifish","RB10","Phytoplankton","Wet",0.341,0.117,0.162,0.621,0.324,0.257,0.409,0.621,0.162
"Bluegill","RB10","Epiphytes","Dry",0.082,0.083,0.001,0.311,0.056,0.022,0.116,0.257,0.001
"Bluegill","RB10","Floc","Dry",0.239,0.14,0.025,0.553,0.223,0.132,0.325,0.553,0.025
"Bluegill","RB10","Mangrove","Dry",0.1,0.106,0.001,0.386,0.063,0.021,0.144,0.3285,0.001
"Bluegill","RB10","Phytoplankton","Dry",0.579,0.15,0.278,0.856,0.581,0.481,0.686,0.856,0.278
"Bluegill","RB10","Epiphytes","Wet",0.143,0.136,0.001,0.482,0.1,0.032,0.218,0.482,0.001
"Bluegill","RB10","Floc","Wet",0.28,0.173,0.017,0.652,0.267,0.14,0.397,0.652,0.017
"Bluegill","RB10","Mangrove","Wet",0.121,0.134,0.001,0.474,0.069,0.02,0.183,0.4275,0.001
"Bluegill","RB10","Phytoplankton","Wet",0.456,0.153,0.167,0.786,0.451,0.352,0.555,0.786,0.167
"Bowfin","RB10","Epiphytes","Wet",0.139,0.151,0.001,0.571,0.091,0.029,0.193,0.439,0.001
"Bowfin","RB10","Floc","Wet",0.273,0.183,0.015,0.697,0.247,0.13,0.389,0.697,0.015
"Bowfin","RB10","Mangrove","Wet",0.141,0.163,0.001,0.575,0.073,0.02,0.216,0.51,0.001
"Bowfin","RB10","Phytoplankton","Wet",0.446,0.196,0.078,0.842,0.444,0.308,0.578,0.842,0.078
"Clown Goby","RB10","Epiphytes","Wet",0.095,0.098,0.001,0.341,0.065,0.021,0.137,0.311,0.001
"Clown Goby","RB10","Floc","Wet",0.125,0.107,0.009,0.382,0.097,0.049,0.17,0.3515,0.009
"Clown Goby","RB10","Mangrove","Wet",0.07,0.083,0.001,0.293,0.039,0.013,0.099,0.228,0.001
"Clown Goby","RB10","Phytoplankton","Wet",0.71,0.141,0.389,0.934,0.726,0.629,0.809,0.934,0.389
"Coastal Shiner","RB10","Epiphytes","Dry",0.076,0.081,0.001,0.305,0.049,0.02,0.105,0.2325,0.001
"Coastal Shiner","RB10","Floc","Dry",0.133,0.091,0.014,0.352,0.114,0.065,0.183,0.352,0.014
"Coastal Shiner","RB10","Mangrove","Dry",0.093,0.098,0.001,0.351,0.059,0.018,0.138,0.318,0.001
"Coastal Shiner","RB10","Phytoplankton","Dry",0.698,0.132,0.422,0.915,0.71,0.613,0.796,0.915,0.422
"Coastal Shiner","RB10","Epiphytes","Wet",0.134,0.122,0.001,0.437,0.103,0.035,0.2,0.437,0.001
"Coastal Shiner","RB10","Floc","Wet",0.166,0.117,0.012,0.445,0.146,0.073,0.235,0.445,0.012
"Coastal Shiner","RB10","Mangrove","Wet",0.117,0.123,0.001,0.445,0.073,0.019,0.178,0.4165,0.001
"Coastal Shiner","RB10","Phytoplankton","Wet",0.583,0.142,0.31,0.861,0.585,0.484,0.681,0.861,0.31
"Crested Goby","RB10","Epiphytes","Wet",0.159,0.149,0.001,0.517,0.125,0.034,0.243,0.517,0.001
"Crested Goby","RB10","Floc","Wet",0.176,0.143,0.011,0.56,0.141,0.071,0.243,0.501,0.011
"Crested Goby","RB10","Mangrove","Wet",0.109,0.12,0.001,0.42,0.062,0.019,0.164,0.3815,0.001
"Crested Goby","RB10","Phytoplankton","Wet",0.556,0.17,0.157,0.868,0.565,0.457,0.669,0.868,0.157
"Dollar Sunfish","RB10","Epiphytes","Dry",0.121,0.152,0.001,0.593,0.063,0.023,0.154,0.3505,0.001
"Dollar Sunfish","RB10","Floc","Dry",0.448,0.203,0.046,0.836,0.447,0.313,0.591,0.836,0.046
"Dollar Sunfish","RB10","Mangrove","Dry",0.129,0.153,0.002,0.564,0.068,0.023,0.177,0.408,0.002
"Dollar Sunfish","RB10","Phytoplankton","Dry",0.301,0.16,0.043,0.632,0.284,0.178,0.413,0.632,0.043
"Dollar Sunfish","RB10","Epiphytes","Wet",0.184,0.209,0.001,0.76,0.101,0.03,0.26,0.605,0.001
"Dollar Sunfish","RB10","Floc","Wet",0.47,0.225,0.022,0.844,0.5,0.33,0.635,0.844,0.022
"Dollar Sunfish","RB10","Mangrove","Wet",0.14,0.176,0.001,0.669,0.069,0.017,0.194,0.4595,0.001
"Dollar Sunfish","RB10","Phytoplankton","Wet",0.206,0.12,0.029,0.475,0.189,0.117,0.274,0.475,0.029
"Eastern Grass Shrimp","RB10","Epiphytes","Dry",0.082,0.099,0.001,0.365,0.046,0.018,0.109,0.2455,0.001
"Eastern Grass Shrimp","RB10","Floc","Dry",0.176,0.119,0.019,0.473,0.152,0.087,0.245,0.473,0.019
"Eastern Grass Shrimp","RB10","Mangrove","Dry",0.117,0.126,0.002,0.445,0.069,0.021,0.173,0.401,0.002
"Eastern Grass Shrimp","RB10","Phytoplankton","Dry",0.625,0.159,0.308,0.908,0.631,0.519,0.744,0.908,0.308
"Eastern Grass Shrimp","RB10","Epiphytes","Wet",0.136,0.138,0.001,0.52,0.092,0.031,0.198,0.4485,0.001
"Eastern Grass Shrimp","RB10","Floc","Wet",0.213,0.143,0.013,0.532,0.188,0.097,0.304,0.532,0.013
"Eastern Grass Shrimp","RB10","Mangrove","Wet",0.145,0.157,0.001,0.538,0.082,0.02,0.223,0.5275,0.001
"Eastern Grass Shrimp","RB10","Phytoplankton","Wet",0.507,0.16,0.22,0.836,0.496,0.396,0.616,0.836,0.22
"Eastern Mosquitofish","RB10","Epiphytes","Wet",0.195,0.187,0.001,0.683,0.141,0.042,0.295,0.6745,0.001
"Eastern Mosquitofish","RB10","Floc","Wet",0.324,0.196,0.021,0.76,0.306,0.169,0.451,0.76,0.021
"Eastern Mosquitofish","RB10","Mangrove","Wet",0.184,0.201,0.001,0.7,0.1,0.023,0.289,0.688,0.001
"Eastern Mosquitofish","RB10","Phytoplankton","Wet",0.297,0.159,0.044,0.652,0.283,0.175,0.401,0.652,0.044
"Flatback Mud Crab","RB10","Epiphytes","Dry",0.129,0.221,0.001,0.844,0.038,0.013,0.107,0.248,0.001
"Flatback Mud Crab","RB10","Floc","Dry",0.703,0.235,0.026,0.95,0.772,0.654,0.858,0.95,0.348
"Flatback Mud Crab","RB10","Mangrove","Dry",0.071,0.096,0.001,0.336,0.035,0.013,0.092,0.2105,0.001
"Flatback Mud Crab","RB10","Phytoplankton","Dry",0.097,0.066,0.014,0.256,0.083,0.048,0.132,0.256,0.014
"Gar","RB10","Epiphytes","Wet",0.23,0.223,0.001,0.774,0.156,0.044,0.363,0.774,0.001
"Gar","RB10","Floc","Wet",0.286,0.201,0.015,0.769,0.252,0.119,0.417,0.769,0.015
"Gar","RB10","Mangrove","Wet",0.222,0.251,0.001,0.818,0.102,0.023,0.384,0.818,0.001
"Gar","RB10","Phytoplankton","Wet",0.263,0.181,0.03,0.722,0.222,0.126,0.357,0.7035,0.03
"Golden Topminnow","RB10","Epiphytes","Dry",0.115,0.154,0.001,0.613,0.056,0.02,0.139,0.3175,0.001
"Golden Topminnow","RB10","Floc","Dry",0.502,0.212,0.048,0.879,0.519,0.366,0.652,0.879,0.048
"Golden Topminnow","RB10","Mangrove","Dry",0.141,0.175,0.001,0.671,0.071,0.021,0.188,0.4385,0.001
"Golden Topminnow","RB10","Phytoplankton","Dry",0.242,0.157,0.034,0.622,0.21,0.125,0.329,0.622,0.034
"Harris Mud Crab","RB10","Epiphytes","Wet",0.154,0.164,0.001,0.585,0.094,0.03,0.224,0.515,0.001
"Harris Mud Crab","RB10","Floc","Wet",0.379,0.219,0.019,0.814,0.376,0.208,0.532,0.814,0.019
"Harris Mud Crab","RB10","Mangrove","Wet",0.116,0.132,0.001,0.475,0.067,0.019,0.166,0.3865,0.001
"Harris Mud Crab","RB10","Phytoplankton","Wet",0.351,0.18,0.044,0.725,0.347,0.216,0.47,0.725,0.044
"Hogchoker","RB10","Epiphytes","Dry",0.114,0.116,0.001,0.423,0.076,0.028,0.166,0.373,0.001
"Hogchoker","RB10","Floc","Dry",0.298,0.169,0.03,0.653,0.291,0.166,0.413,0.653,0.03
"Hogchoker","RB10","Mangrove","Dry",0.108,0.112,0.002,0.405,0.071,0.021,0.16,0.3685,0.002
"Hogchoker","RB10","Phytoplankton","Dry",0.48,0.157,0.167,0.784,0.482,0.37,0.584,0.784,0.167
"Hogchoker","RB10","Epiphytes","Wet",0.188,0.186,0.001,0.657,0.125,0.037,0.295,0.657,0.001
"Hogchoker","RB10","Floc","Wet",0.328,0.203,0.016,0.749,0.32,0.155,0.473,0.749,0.016
"Hogchoker","RB10","Mangrove","Wet",0.127,0.148,0.001,0.529,0.064,0.018,0.188,0.443,0.001
"Hogchoker","RB10","Phytoplankton","Wet",0.357,0.16,0.086,0.713,0.34,0.24,0.458,0.713,0.086
"Largemouth Bass","RB10","Epiphytes","Wet",0.242,0.213,0.001,0.744,0.193,0.051,0.383,0.744,0.001
"Largemouth Bass","RB10","Floc","Wet",0.215,0.164,0.015,0.645,0.179,0.091,0.298,0.6085,0.015
"Largemouth Bass","RB10","Mangrove","Wet",0.225,0.246,0.001,0.792,0.113,0.022,0.395,0.792,0.001
"Largemouth Bass","RB10","Phytoplankton","Wet",0.318,0.187,0.042,0.743,0.287,0.171,0.435,0.743,0.042
"Peacock Eel","RB10","Epiphytes","Dry",0.095,0.119,0.002,0.466,0.056,0.019,0.12,0.2715,0.002
"Peacock Eel","RB10","Floc","Dry",0.505,0.178,0.109,0.835,0.515,0.396,0.626,0.835,0.109
