"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Asian Swamp Eel","TS3","Floc","Wet",0.102,0.085,0.004,0.318,0.08,0.038,0.145,0.3055,0.004
"Asian Swamp Eel","TS3","Periphyton","Wet",0.841,0.083,0.639,0.954,0.855,0.798,0.9,0.954,0.645
"Asian Swamp Eel","TS3","Phytoplankton","Wet",0.045,0.029,0.005,0.119,0.039,0.022,0.061,0.119,0.005
"Asian Swamp Eel","TS3","Sawgrass","Wet",0.013,0.015,0,0.057,0.007,0.003,0.017,0.038,0
"Bluefin Killifish","TS3","Floc","Dry",0.301,0.238,0.011,0.814,0.237,0.099,0.476,0.814,0.011
"Bluefin Killifish","TS3","Periphyton","Dry",0.357,0.165,0.091,0.722,0.338,0.23,0.464,0.722,0.091
"Bluefin Killifish","TS3","Phytoplankton","Dry",0.307,0.187,0.016,0.663,0.308,0.144,0.45,0.663,0.016
"Bluefin Killifish","TS3","Sawgrass","Dry",0.035,0.041,0,0.147,0.021,0.007,0.048,0.1095,0
"Bluefin Killifish","TS3","Floc","Wet",0.107,0.11,0.002,0.406,0.07,0.025,0.159,0.36,0.002
"Bluefin Killifish","TS3","Periphyton","Wet",0.815,0.117,0.523,0.966,0.843,0.754,0.902,0.966,0.532
"Bluefin Killifish","TS3","Phytoplankton","Wet",0.064,0.051,0.004,0.189,0.051,0.026,0.09,0.186,0.004
"Bluefin Killifish","TS3","Sawgrass","Wet",0.013,0.022,0,0.075,0.005,0.002,0.015,0.0345,0
"Bluegill","TS3","Floc","Wet",0.232,0.251,0.002,0.853,0.126,0.036,0.358,0.841,0.002
"Bluegill","TS3","Periphyton","Wet",0.641,0.231,0.113,0.974,0.677,0.503,0.82,0.974,0.113
"Bluegill","TS3","Phytoplankton","Wet",0.11,0.118,0.002,0.408,0.06,0.018,0.176,0.408,0.002
"Bluegill","TS3","Sawgrass","Wet",0.017,0.029,0,0.091,0.007,0.002,0.019,0.0445,0
"Eastern Grass Shrimp","TS3","Floc","Dry",0.422,0.242,0.018,0.827,0.434,0.211,0.623,0.827,0.018
"Eastern Grass Shrimp","TS3","Periphyton","Dry",0.185,0.14,0.021,0.526,0.148,0.08,0.257,0.5225,0.021
"Eastern Grass Shrimp","TS3","Phytoplankton","Dry",0.321,0.163,0.052,0.646,0.31,0.19,0.441,0.646,0.052
"Eastern Grass Shrimp","TS3","Sawgrass","Dry",0.072,0.084,0.001,0.285,0.036,0.009,0.116,0.2765,0.001
"Eastern Grass Shrimp","TS3","Floc","Wet",0.238,0.178,0.006,0.616,0.208,0.083,0.368,0.616,0.006
"Eastern Grass Shrimp","TS3","Periphyton","Wet",0.599,0.191,0.226,0.92,0.613,0.459,0.747,0.92,0.226
"Eastern Grass Shrimp","TS3","Phytoplankton","Wet",0.122,0.091,0.008,0.346,0.103,0.051,0.174,0.346,0.008
"Eastern Grass Shrimp","TS3","Sawgrass","Wet",0.041,0.063,0,0.239,0.015,0.004,0.049,0.1165,0
"Eastern Mosquitofish","TS3","Floc","Dry",0.304,0.247,0.009,0.848,0.23,0.095,0.478,0.848,0.009
"Eastern Mosquitofish","TS3","Periphyton","Dry",0.442,0.189,0.096,0.815,0.442,0.304,0.575,0.815,0.096
"Eastern Mosquitofish","TS3","Phytoplankton","Dry",0.214,0.154,0.009,0.532,0.195,0.074,0.332,0.532,0.009
"Eastern Mosquitofish","TS3","Sawgrass","Dry",0.04,0.052,0,0.183,0.02,0.007,0.051,0.117,0
"Eastern Mosquitofish","TS3","Floc","Wet",0.094,0.1,0.002,0.373,0.059,0.02,0.135,0.3075,0.002
"Eastern Mosquitofish","TS3","Periphyton","Wet",0.857,0.104,0.589,0.981,0.885,0.808,0.933,0.981,0.6205
"Eastern Mosquitofish","TS3","Phytoplankton","Wet",0.038,0.035,0.002,0.127,0.028,0.012,0.052,0.112,0.002
"Eastern Mosquitofish","TS3","Sawgrass","Wet",0.011,0.019,0,0.07,0.004,0.001,0.013,0.031,0
"Gar","TS3","Floc","Wet",0.056,0.067,0.001,0.24,0.033,0.013,0.077,0.173,0.001
"Gar","TS3","Periphyton","Wet",0.904,0.079,0.706,0.99,0.924,0.87,0.961,0.99,0.7335
"Gar","TS3","Phytoplankton","Wet",0.029,0.033,0.001,0.12,0.017,0.007,0.039,0.087,0.001
"Gar","TS3","Sawgrass","Wet",0.011,0.025,0,0.06,0.004,0.001,0.011,0.026,0
"Golden Topminnow","TS3","Floc","Wet",0.101,0.122,0.001,0.447,0.055,0.017,0.141,0.327,0.001
"Golden Topminnow","TS3","Periphyton","Wet",0.848,0.13,0.505,0.988,0.884,0.795,0.942,0.988,0.5745
"Golden Topminnow","TS3","Phytoplankton","Wet",0.035,0.037,0.001,0.142,0.022,0.009,0.047,0.104,0.001
"Golden Topminnow","TS3","Sawgrass","Wet",0.016,0.029,0,0.101,0.005,0.001,0.016,0.0385,0
"Largemouth Bass","TS3","Floc","Wet",0.08,0.092,0.001,0.331,0.047,0.017,0.108,0.2445,0.001
"Largemouth Bass","TS3","Periphyton","Wet",0.874,0.101,0.609,0.988,0.902,0.827,0.948,0.988,0.6455
"Largemouth Bass","TS3","Phytoplankton","Wet",0.034,0.037,0.001,0.136,0.021,0.008,0.046,0.103,0.001
"Largemouth Bass","TS3","Sawgrass","Wet",0.012,0.022,0,0.065,0.004,0.001,0.013,0.031,0
"Mayan Cichlid","TS3","Floc","Wet",0.263,0.237,0.003,0.774,0.192,0.049,0.44,0.774,0.003
"Mayan Cichlid","TS3","Periphyton","Wet",0.597,0.227,0.154,0.964,0.611,0.425,0.781,0.964,0.154
"Mayan Cichlid","TS3","Phytoplankton","Wet",0.116,0.109,0.002,0.386,0.082,0.027,0.177,0.386,0.002
"Mayan Cichlid","TS3","Sawgrass","Wet",0.024,0.039,0,0.146,0.009,0.002,0.027,0.0645,0
"Peacock Eel","TS3","Floc","Wet",0.197,0.206,0.002,0.733,0.121,0.034,0.306,0.714,0.002
"Peacock Eel","TS3","Periphyton","Wet",0.72,0.202,0.231,0.979,0.763,0.6,0.879,0.979,0.231
"Peacock Eel","TS3","Phytoplankton","Wet",0.062,0.065,0.002,0.239,0.038,0.014,0.089,0.2015,0.002
"Peacock Eel","TS3","Sawgrass","Wet",0.021,0.038,0,0.132,0.007,0.002,0.021,0.0495,0
"Redear Sunfish","TS3","Floc","Wet",0.249,0.255,0.003,0.852,0.148,0.043,0.405,0.852,0.003
"Redear Sunfish","TS3","Periphyton","Wet",0.597,0.231,0.119,0.962,0.62,0.438,0.779,0.962,0.119
"Redear Sunfish","TS3","Phytoplankton","Wet",0.136,0.135,0.002,0.468,0.086,0.024,0.227,0.468,0.002
"Redear Sunfish","TS3","Sawgrass","Wet",0.019,0.029,0,0.098,0.008,0.002,0.022,0.052,0
