"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Dry","TS11","Epiphytes","Fringed Filefish",0.515,0.258,0.016,0.915,0.56,0.334,0.721,0.915,0.016
"Dry","TS11","Mangrove","Fringed Filefish",0.037,0.032,0.001,0.113,0.028,0.011,0.054,0.113,0.001
"Dry","TS11","Seagrass","Fringed Filefish",0.069,0.061,0.001,0.216,0.052,0.022,0.1,0.216,0.001
"Dry","TS11","SPOM","Fringed Filefish",0.379,0.279,0.014,0.938,0.321,0.14,0.584,0.938,0.014
"Dry","TS11","Epiphytes","Golden Topminnow",0.536,0.272,0.016,0.935,0.592,0.331,0.752,0.935,0.016
"Dry","TS11","Mangrove","Golden Topminnow",0.03,0.028,0.001,0.1,0.022,0.008,0.044,0.098,0.001
"Dry","TS11","Seagrass","Golden Topminnow",0.068,0.063,0.001,0.23,0.051,0.021,0.101,0.221,0.001
"Dry","TS11","SPOM","Golden Topminnow",0.366,0.289,0.012,0.945,0.289,0.117,0.586,0.945,0.012
"Dry","TS11","Epiphytes","Harris Mud Crab",0.606,0.282,0.017,0.967,0.686,0.427,0.831,0.967,0.017
"Dry","TS11","Mangrove","Harris Mud Crab",0.026,0.026,0,0.095,0.018,0.007,0.036,0.0795,0
"Dry","TS11","Seagrass","Harris Mud Crab",0.051,0.05,0.001,0.181,0.037,0.015,0.072,0.1575,0.001
"Dry","TS11","SPOM","Harris Mud Crab",0.317,0.288,0.007,0.949,0.216,0.083,0.486,0.949,0.007
"Wet","TS11","Epiphytes","Arrow Shrimp",0.567,0.303,0.006,0.976,0.65,0.339,0.815,0.976,0.006
"Wet","TS11","Mangrove","Arrow Shrimp",0.021,0.024,0,0.085,0.013,0.004,0.03,0.069,0
"Wet","TS11","Seagrass","Arrow Shrimp",0.054,0.054,0.001,0.193,0.037,0.012,0.079,0.1795,0.001
"Wet","TS11","SPOM","Arrow Shrimp",0.358,0.322,0.004,0.976,0.245,0.081,0.611,0.976,0.004
"Wet","TS11","Epiphytes","Blue Striped Grunt",0.501,0.291,0.006,0.958,0.526,0.266,0.748,0.958,0.006
"Wet","TS11","Mangrove","Blue Striped Grunt",0.026,0.029,0,0.104,0.015,0.004,0.038,0.089,0
"Wet","TS11","Seagrass","Blue Striped Grunt",0.072,0.074,0.001,0.27,0.046,0.015,0.108,0.2475,0.001
"Wet","TS11","SPOM","Blue Striped Grunt",0.401,0.316,0.006,0.977,0.339,0.108,0.662,0.977,0.006
"Wet","TS11","Epiphytes","Brown Grass Shrimp",0.548,0.295,0.007,0.965,0.613,0.321,0.791,0.965,0.007
"Wet","TS11","Mangrove","Brown Grass Shrimp",0.021,0.023,0,0.083,0.013,0.004,0.03,0.069,0
"Wet","TS11","Seagrass","Brown Grass Shrimp",0.065,0.065,0.001,0.233,0.043,0.014,0.097,0.2215,0.001
"Wet","TS11","SPOM","Brown Grass Shrimp",0.366,0.316,0.005,0.97,0.267,0.085,0.616,0.97,0.005
"Wet","TS11","Epiphytes","Bubble Snail",0.608,0.302,0.005,0.98,0.702,0.408,0.854,0.98,0.005
"Wet","TS11","Mangrove","Bubble Snail",0.02,0.023,0,0.083,0.012,0.004,0.03,0.069,0
"Wet","TS11","Seagrass","Bubble Snail",0.045,0.045,0.001,0.167,0.031,0.011,0.067,0.151,0.001
"Wet","TS11","SPOM","Bubble Snail",0.326,0.315,0.003,0.975,0.201,0.065,0.531,0.975,0.003
"Wet","TS11","Epiphytes","Chestnut Turban Snail",0.586,0.301,0.006,0.977,0.67,0.364,0.833,0.977,0.006
"Wet","TS11","Mangrove","Chestnut Turban Snail",0.019,0.021,0,0.076,0.011,0.004,0.026,0.059,0
"Wet","TS11","Seagrass","Chestnut Turban Snail",0.062,0.063,0,0.225,0.041,0.013,0.091,0.208,0
"Wet","TS11","SPOM","Chestnut Turban Snail",0.334,0.316,0.003,0.969,0.211,0.069,0.567,0.969,0.003
"Wet","TS11","Epiphytes","Fringed Filefish",0.527,0.295,0.004,0.966,0.567,0.288,0.778,0.966,0.004
"Wet","TS11","Mangrove","Fringed Filefish",0.026,0.029,0,0.109,0.015,0.005,0.039,0.09,0
"Wet","TS11","Seagrass","Fringed Filefish",0.065,0.068,0.001,0.25,0.041,0.013,0.097,0.223,0.001
"Wet","TS11","SPOM","Fringed Filefish",0.381,0.317,0.005,0.976,0.299,0.097,0.642,0.976,0.005
"Wet","TS11","Epiphytes","Giant Purple Barnacle",0.578,0.304,0.005,0.976,0.661,0.362,0.828,0.976,0.005
"Wet","TS11","Mangrove","Giant Purple Barnacle",0.019,0.022,0,0.079,0.011,0.004,0.027,0.0615,0
"Wet","TS11","Seagrass","Giant Purple Barnacle",0.051,0.051,0.001,0.178,0.035,0.011,0.075,0.171,0.001
"Wet","TS11","SPOM","Giant Purple Barnacle",0.352,0.32,0.004,0.978,0.244,0.072,0.585,0.978,0.004
"Wet","TS11","Epiphytes","Harris Mud Crab",0.617,0.307,0.005,0.983,0.718,0.415,0.868,0.983,0.005
"Wet","TS11","Mangrove","Harris Mud Crab",0.018,0.022,0,0.079,0.01,0.003,0.025,0.058,0
"Wet","TS11","Seagrass","Harris Mud Crab",0.043,0.044,0,0.164,0.028,0.01,0.063,0.1425,0
"Wet","TS11","SPOM","Harris Mud Crab",0.322,0.319,0.003,0.982,0.194,0.058,0.533,0.982,0.003
"Wet","TS11","Epiphytes","Hermit Crab",0.544,0.301,0.005,0.964,0.617,0.298,0.793,0.964,0.005
"Wet","TS11","Mangrove","Hermit Crab",0.029,0.033,0,0.117,0.015,0.005,0.043,0.1,0
"Wet","TS11","Seagrass","Hermit Crab",0.055,0.055,0.001,0.202,0.038,0.012,0.083,0.1895,0.001
"Wet","TS11","SPOM","Hermit Crab",0.372,0.324,0.005,0.975,0.267,0.085,0.651,0.975,0.005
"Wet","TS11","Epiphytes","Ivory Cerith",0.56,0.297,0.005,0.969,0.634,0.347,0.802,0.969,0.005
"Wet","TS11","Mangrove","Ivory Cerith",0.021,0.024,0,0.084,0.012,0.004,0.031,0.0715,0
"Wet","TS11","Seagrass","Ivory Cerith",0.07,0.071,0.001,0.254,0.047,0.014,0.105,0.2415,0.001
"Wet","TS11","SPOM","Ivory Cerith",0.35,0.318,0.005,0.974,0.234,0.077,0.592,0.974,0.005
"Wet","TS11","Epiphytes","Penaeid Shrimp",0.546,0.294,0.007,0.965,0.607,0.314,0.79,0.965,0.007
"Wet","TS11","Mangrove","Penaeid Shrimp",0.021,0.024,0,0.085,0.013,0.004,0.03,0.069,0
"Wet","TS11","Seagrass","Penaeid Shrimp",0.065,0.064,0.001,0.23,0.044,0.014,0.099,0.2265,0.001
"Wet","TS11","SPOM","Penaeid Shrimp",0.368,0.315,0.006,0.97,0.277,0.091,0.621,0.97,0.006
"Wet","TS11","Epiphytes","Schoolmaster Snapper",0.526,0.29,0.005,0.959,0.568,0.295,0.767,0.959,0.005
"Wet","TS11","Mangrove","Schoolmaster Snapper",0.023,0.025,0,0.091,0.014,0.004,0.033,0.0765,0
"Wet","TS11","Seagrass","Schoolmaster Snapper",0.072,0.071,0.001,0.255,0.048,0.016,0.108,0.246,0.001
"Wet","TS11","SPOM","Schoolmaster Snapper",0.38,0.312,0.006,0.972,0.308,0.098,0.631,0.972,0.006
"Wet","TS11","Epiphytes","Silver Jenny",0.475,0.293,0.008,0.959,0.481,0.226,0.73,0.959,0.008
"Wet","TS11","Mangrove","Silver Jenny",0.035,0.041,0,0.144,0.018,0.005,0.051,0.12,0
"Wet","TS11","Seagrass","Silver Jenny",0.113,0.124,0.001,0.447,0.064,0.018,0.17,0.398,0.001
"Wet","TS11","SPOM","Silver Jenny",0.377,0.303,0.006,0.963,0.305,0.105,0.621,0.963,0.006
"Wet","TS11","Epiphytes","Stone Crab",0.599,0.304,0.006,0.976,0.691,0.384,0.849,0.976,0.006
"Wet","TS11","Mangrove","Stone Crab",0.019,0.022,0,0.08,0.011,0.003,0.027,0.063,0
"Wet","TS11","Seagrass","Stone Crab",0.047,0.046,0.001,0.163,0.032,0.011,0.069,0.156,0.001
"Wet","TS11","SPOM","Stone Crab",0.335,0.318,0.004,0.977,0.212,0.067,0.558,0.977,0.004
