"site","group","common_name","functional_grp","n","d13C","d13Csd","d15N","d15Nsd","d34S","d34Ssd"
"RB10","Consumer","Bluefin Killifish","Forage_fish",2,-30.34,1.82433549546129,9.12,0.0282842712474626,11.955,11.6743329573899
"RB10","Consumer","Bluegill","demersal_fish",9,-31.4722222222222,1.40441071074114,10.9777777777778,1.47945748314862,22.1588888888889,3.98781094224778
"RB10","Consumer","Clown Goby","demersal_fish",1,-33.59,NA,12.39,NA,21.83,NA
"RB10","Consumer","Coastal Shiner","Forage_fish",17,-32.1235294117647,0.623256981273281,12.2258823529412,0.961438107885327,23.1894117647059,3.29321930371376
"RB10","Consumer","Crested Goby","demersal_fish",2,-32.37,0.565685424949241,12.09,1.11722871427475,18.845,2.28395490323255
"RB10","Consumer","Dollar Sunfish","demersal_fish",9,-27.71875,1.73125419029921,9.05666666666667,0.79887420787005,15.4077777777778,2.85225252115665
"RB10","Consumer","Eastern Mosquitofish","Forage_fish",3,-29.4666666666667,0.731869751617959,10.6066666666667,0.353883219909242,19.4533333333333,1.06758293979125
"RB10","Consumer","Flatback mud crab","Crab",2,-25.675,0.643467170879758,7.66,2.87085353161738,11.86,8.6832712729708
"RB10","Consumer","Ghost Shrimp","Shrimp",3,-30.8866666666667,0.692411245816626,11.4666666666667,0.542432791535812,23.0333333333333,1.77894163291923
"RB10","Consumer","Golden topminnow","Forage_fish",1,-27.93,NA,9.85,NA,24.67,NA
"RB10","Consumer","Harris Mud Crab","Crab",2,-31.13,NA,9.46,0.169705627484772,18.09,1.79605122421383
"RB10","Consumer","Hogchoker","demersal_fish",5,-31.412,0.381274179561113,10.238,0.746840009640619,17.156,3.21589489878012
"RB10","Consumer","Isopod","Benthic_invert",2,-24.93,0.212132034355962,7.785,0.134350288425444,9.805,2.38294985259867
"RB10","Consumer","Peacock Eel","demersal_fish",6,-29.5933333333333,0.984858703909685,9.62333333333333,0.318035637416103,21.954,1.28126109751292
"RB10","Consumer","Redear sunfish","demersal_fish",1,-30.5,NA,12.82,NA,25.16,NA
"RB10","Consumer","Redear Sunfish","demersal_fish",5,-29.02,1.3027662875589,9.01,0.514344242701325,20.078,3.86051421445382
"RB10","Consumer","Spotted sunfish","demersal_fish",1,-30.33,NA,10.94,NA,25.79,NA
"RB10","Consumer","Spotted Sunfish","demersal_fish",2,-30.045,0.770746391493337,10.51,1.01823376490863,23.79,1.49906637611548
"RB10","Consumer","Spotted Tilapia","demersal_fish",4,-32.31,2.79306283495377,8.68,1.38530381745907,19.4075,3.60094779190146
"RB10","Consumer","Striped Mullet","demersal_fish",2,-32.305,0.558614357137375,10.36,1.5980613254816,12.805,3.14662517628014
"RB10","Consumer","Tidewater Mojarra","Forage_fish",3,-31.87,0.381575680566778,12.31,0.163707055437449,16.62,1.51522275590093
"RB10","Consumer","Tidewater Silverside","Forage_fish",4,-30.7325,0.718441600503015,11.6575,0.54438803562655,21.485,0.957374883035201
"RB10","Predator","Bowfin","Predator",3,-30.5766666666667,1.22858997771158,11.12,0.192873015219859,24.62,0.386264158316558
"RB10","Predator","Gar","Predator",5,-28.534,1.17876206250456,11.838,0.389448327766342,23.222,2.82546810281058
"RB10","Predator","Largemouth Bass","Predator",4,-29.27,0.903880523078134,12.445,0.485077313425396,21.7125,2.40709195226661
"RB10","Predator","Mangrove snapper","Predator",1,-30.01,NA,13.49,NA,22,NA
"RB10","Predator","Mangrove Snapper","Predator",1,-30.4,NA,12.04,NA,8.66,NA
"RB10","Predator","Redfish","Predator",3,-31.1733333333333,0.461446999484592,13.0233333333333,0.526244556583091,15.2866666666667,6.82697834574956
"RB10","Predator","Snook","Predator",5,-29.428,0.789284486101177,11.666,1.20914432554596,15.922,5.59502189450587
"RB10","Source","Epiphytic microalgae","Producer",1,-26.95,NA,8.94,NA,20.98,NA
"RB10","Source","Epiphytic Microalgae","Producer",3,-29.71,1.24434721842418,6.29333333333333,0.760548048010994,11.0566666666667,2.26022860200762
"RB10","Source","Florida swamp lilly","Producer",5,-25.894,0.442074654328882,8.436,0.957251273177529,12.282,14.6276747981352
"RB10","Source","Mangrove epiphytes","Producer",4,-28.8275,1.45516035771549,11.3825,1.10590460709774,18.26,5.52787481768536
"RB10","Source","Peat","Organic_matter",7,-29.1714285714286,0.308892029217793,5.86,0.761205184778279,18.5157142857143,3.98913882579042
"RB10","Source","Red Mangrove","Producer",6,-30.11,0.770610147869855,7.12333333333333,0.997530283583745,16.6616666666667,6.2365131817921
"RB10","Source","SPOM","Organic_matter",4,-30.4425,0.553255516616567,6.3625,0.735634646637401,13.89,4.45477272147525
"RB10",NA,"Peacock eel",NA,1,-28.82,NA,8.2,NA,NA,NA
