"processed_at","season","date","site","common_name","species_name","functional_grp","group","sampleID","d13C","C.","d15N","N.","d34S","S.","outlier","CN_molar_ratio","CS_molar_ratio","WSU_ID_CN","WSU_ID_S","WSU_ID_C","WSU_ID_N","S_outlier"
"ULL","dry19",NA,"SRS3","Golden topminnow","Fundulus chrysotus","Forage_fish","Consumer","SRS-FUNCHR-1",-28.1,26.66152174,9.47,7.513108696,19.82,0.573669725,NA,"4.140111631","123.9343619","G-214699","S-29838",NA,NA,NA
"ULL","dry19",NA,"SRS3","Golden topminnow","Fundulus chrysotus","Forage_fish","Consumer","SRS-FUNCHR-2",-28.31,38.50933333,9.13,10.03630159,21.06,0.539294118,NA,"4.47650513","190.4184602","G-214700","S-29839",NA,NA,NA
"ULL","dry19",NA,"SRS3","Golden topminnow","Fundulus chrysotus","Forage_fish","Consumer","SRS-FUNCHR-3",-29.13,30.04610989,9.34,7.893406593,21.11,0.603977636,NA,"4.440895633","132.6588187","G-214701","S-29840",NA,NA,NA
"ULL","dry19",NA,"SRS3","Eastern mosquitofish","Gambusia holbrooki","Forage_fish","Consumer","SRS-GAMHOL-1",-29.32,53.40249231,8.98,14.76512308,20.74,0.535046296,NA,"4.219599617","266.1576152","G-214702","S-29841",NA,NA,NA
"ULL","dry19",NA,"SRS3","Eastern mosquitofish","Gambusia holbrooki","Forage_fish","Consumer","SRS-GAMHOL-2",-29.35,27.563225,8.98,7.7045625,20.91,0.621407767,NA,"4.173773116","118.2829331","G-214703","S-29842",NA,NA,NA
"ULL","dry19",NA,"SRS3","Eastern mosquitofish","Gambusia holbrooki","Forage_fish","Consumer","SRS-GAMHOL-3",-29.91,31.31279452,8.92,8.433465753,20.85,0.655571809,NA,"4.331741502","127.3709214","G-214704","S-29843",NA,NA,NA
"ULL","dry19",NA,"SRS3","Flagfish","Jordanella floridae","Forage_fish","Consumer","SRS-JORFLO-1",-31.89,31.51984,7.6,8.58452,19.8,0.523160763,NA,"4.283657871","160.6636289","G-214705","S-29844",NA,NA,NA
"ULL","dry19",NA,"SRS3","Flagfish","Jordanella floridae","Forage_fish","Consumer","SRS-JORFLO-2",-31.9,26.79312941,7.6,6.6894,19.68,0.496698113,NA,"4.672863183","143.8466208","G-214706","S-29845",NA,NA,NA
"ULL","dry19",NA,"SRS3","Flagfish","Jordanella floridae","Forage_fish","Consumer","SRS-JORFLO-3",-30.79,31.35853333,7.47,8.655453333,18.97,0.680642633,NA,"4.226809867","122.8585332","G-214707","S-29846",NA,NA,NA
"ULL","dry19",NA,"SRS3","Warmouth","Lepomis gulosus","demersal_fish","Consumer","SRS-LEPGUL-1",-29.84,40.83196825,10.01,10.64852381,22.22,0.694194915,NA,"4.473605651","156.8511182","G-214708","S-29847",NA,NA,NA
"ULL","dry19",NA,"SRS3","Warmouth","Lepomis gulosus","demersal_fish","Consumer","SRS-LEPGUL-2",-29.85,36.29338889,9.9,9.482388889,22.61,0.659238806,NA,"4.465360737","146.8092738","G-214709","S-29848",NA,NA,NA
"ULL","dry19",NA,"SRS3","Warmouth","Lepomis gulosus","demersal_fish","Consumer","SRS-LEPGUL-3",-29.98,29.95624691,9.67,7.375814815,22.78,0.790993789,NA,"4.738317814","100.9910902","G-214710","S-29849",NA,NA,NA
"ULL","dry19",NA,"SRS3","Bluefin killifish","Lucania goodei","Forage_fish","Consumer","SRS-LUCGOO-1",-31.46,31.88935417,7.95,8.649385417,22.09,0.661661808,NA,"4.301374576","128.5222704","G-214714","S-29853",NA,NA,NA
"ULL","dry19",NA,"SRS3","Bluefin killifish","Lucania goodei","Forage_fish","Consumer","SRS-LUCGOO-2",-31.03,26.90833333,8.53,6.912072917,22.31,0.617809917,NA,"4.541771467","116.1450368","G-214715","S-29854",NA,NA,NA
"ULL","dry19",NA,"SRS3","Bluefin killifish","Lucania goodei","Forage_fish","Consumer","SRS-LUCGOO-3",-30.66,34.4326125,8.84,9.1038875,21.86,0.585532258,NA,"4.412552467","156.8151007","G-214716","S-29855",NA,NA,NA
"ULL","dry19",NA,"SRS3","Ghost Shrimp","Palaemonetes paludosus","Shrimp","Consumer","SRS-PALPAL-1",-31.07,33.15388136,7.74,8.842457627,22.06,0.674924242,NA,"4.374296139","130.9929986","G-214717","S-29856",NA,NA,NA
"ULL","dry19",NA,"SRS3","Ghost Shrimp","Palaemonetes paludosus","Shrimp","Consumer","SRS-PALPAL-2",-31.13,28.03640909,7.49,7.896693182,21.96,0.600929919,NA,"4.142131799","124.4134386","G-214718","S-29857",NA,NA,NA
"ULL","dry19",NA,"SRS3","Ghost Shrimp","Palaemonetes paludosus","Shrimp","Consumer","SRS-PALPAL-3",-30.48,34.73113253,7.4,9.860807229,22.08,0.726988636,NA,"4.109162027","127.3972506","G-214719","S-29858",NA,NA,NA
"ULL","dry19",NA,"SRS3","Slough crayfish","Procambarus fallax","Benthic_invert","Consumer","SRS-PROFAL-1",-28.61,19.98575343,4.1,5.305726027,20.83,0.40995283,NA,"4.394631803","130.003597","G-214720","S-29859",NA,NA,NA
"ULL","dry19",NA,"SRS3","Slough crayfish","Procambarus fallax","Benthic_invert","Consumer","SRS-PROFAL-2",-30.56,23.86364198,4.18,6.04062963,21.63,0.398753213,NA,"4.608942668","159.5883783","G-214721","S-29860",NA,NA,NA
"ULL","dry19",NA,"SRS3","Slough crayfish","Procambarus fallax","Benthic_invert","Consumer","SRS-PROFAL-3",-29.49,23.00047917,3.84,5.56109375,21.35,0.365125628,NA,"4.825290414","167.9822133","G-214723","S-29862",NA,NA,NA
"FIU","wet19","43795","SRS3","Bluegill","Lepomis macrochirus","demersal_fish","Consumer","W19-SRS3-Lma1",-28.41,49.05265455,10.11,14.89643636,21.08,1.06,NA,"3.841730706","123.4029045","G-223734","S-30818","0","0",NA
"FIU","wet19","43795","SRS3","Spotted Sunfish","Lepomis punctatus","demersal_fish","Consumer","W19-SRS3-Lpu1",-31.64,48.61982727,10.68,14.97818182,21.15,1.55,NA,"3.787050558","83.64701466","G-223839","S-30928","0","0",NA
"FIU","wet19","43795","SRS3","Peacock Eel","Macrognathus siamensis","demersal_fish","Consumer","W19-SRS3-Msi2",-28.14,48.39378889,10.08,14.74155556,21.97,1.25,NA,"3.829949977","103.240083","G-223840","S-30929","0","0",NA
"FIU","wet19","43795","SRS3","Spotted Tilapia","Pelmatolapia mariae","demersal_fish","Consumer","W19-SRS3-Tma1",-31.52,49.35883636,10.35,15.44909091,23.34,1.2,NA,"3.727423796","109.686303","G-223841","S-30930","0","0",NA
"FIU","wet19","43795","SRS3","Spotted Tilapia","Pelmatolapia mariae","demersal_fish","Consumer","W19-SRS3-Tma3",-32.92,50.47683333,10.22,15.64311111,23.36,1.18,NA,"3.76457333","114.0719397","G-223845","S-30934","0","0",NA
"FIU","wet19","43795","SRS3","Tidewater Mojarra","Eucinostomus Harengulus","Forage_fish","Consumer","W19-SRS3-Eha1",-33.71,47.15455833,9.39,14.299,20.16,1.63,NA,"3.847377536","77.14447171","G-223849","S-30938","0","0",NA
"FIU","wet19","43795","SRS3","Bluegill","Lepomis macrochirus","demersal_fish","Consumer","W19-SRS3-Lma2",-33.31,48.90508333,9.93,15.004,21.98,1.78,NA,"3.802714646","73.26604244","G-223852","S-30941","0","0",NA
"FIU","wet19","43795","SRS3","Peacock Eel","Macrognathus siamensis","demersal_fish","Consumer","W19-SRS3-Msi1",-29.82,49.28545,10.07,14.9736,20.81,1.28,NA,"3.840071303","102.6780208","G-223854","S-30943","0","0",NA
"FIU","wet19","43795","SRS3","Peacock Eel","Macrognathus siamensis","demersal_fish","Consumer","W19-SRS3-Msi3",-28.76,35.31947,8.36,10.6098,23.21,1.21,NA,"3.883772393","77.83905234","G-223856","S-30945","0","0",NA
"FIU","wet19","43795","SRS3","Tidewater Mojarra","Eucinostomus Harengulus","Forage_fish","Consumer","W19-SRS3-Eha3",-33.88,48.18001,9.13,14.5828,20.6,1.26,NA,"3.854541766","101.9682751","G-223867","S-30956","0","0",NA
"FIU","wet19","43795","SRS3","Bluegill","Lepomis macrochirus","demersal_fish","Consumer","W19-SRS3-Lma3",-33.39,49.17842727,9.83,14.95709091,22.16,1.21,NA,"3.835961963","108.3822089","G-223871","S-30960","0","0",NA
"FIU","wet19","43795","SRS3","Mayan Cichlid","Mayaheros urophthalmus","demersal_fish","Consumer","W19-SRS3-Mur3",-33.73,46.57608182,8.98,14.55181818,21.7,1.4,NA,"3.734156203","88.71634632","G-223872","S-30961","0","0",NA
"FIU","wet19","43795","SRS3","Spotted Sunfish","Lepomis punctatus","demersal_fish","Consumer","W19-SRS3-Lpu3",-28.63,51.06108333,10.62,15.7765,24.71,1.41,NA,"3.775949284","96.56942474","G-223875","S-30964","0","0",NA
"FIU","wet19","43795","SRS3","Spotted Tilapia","Pelmatolapia mariae","demersal_fish","Consumer","W19-SRS3-Tma2",-33.32,48.83076667,9.23,13.84816667,24.22,0.92,NA,"4.113846196","141.5384541","G-223881","S-30970","0","0",NA
"FIU","wet19","43795","SRS3","Mayan Cichlid","Mayaheros urophthalmus","demersal_fish","Consumer","W19-SRS3-Mur1",-31.2,42.02757,8.19,12.767,24.75,1.21,NA,"3.840539281","92.6227438","G-223884","S-30973","0","0",NA
