"site","season","source","value"
"SRS Marsh","Dry","Sawgrass",0.047875
"SRS Marsh","Dry","Floc",0.151125
"SRS Marsh","Dry","Peri.",0.1115
"SRS Marsh","Dry","Phyto.",0.68925
"SRS Marsh","Wet","Sawgrass",0.0386875
"SRS Marsh","Wet","Floc",0.1218125
"SRS Marsh","Wet","Peri.",0.0924375
"SRS Marsh","Wet","Phyto.",0.7474375
"Upper River","Dry","Mang.",0.15
"Upper River","Dry","Floc",0.2557
"Upper River","Dry","Epi.",0.163
"Upper River","Dry","Phyto.",0.4314
"Upper River","Wet","Mang.",0.186090909090909
"Upper River","Wet","Floc",0.143818181818182
"Upper River","Wet","Epi.",0.220454545454545
"Upper River","Wet","Phyto.",0.449454545454545
"Mid River","Dry","Mang.",0.418142857142857
"Mid River","Dry","Floc",0.101285714285714
"Mid River","Dry","Epi.",0.147571428571429
"Mid River","Dry","Phyto.",0.333428571428571
"Mid River","Wet","Mang.",0.450307692307692
"Mid River","Wet","Floc",0.0518461538461538
"Mid River","Wet","Epi.",0.100692307692308
"Mid River","Wet","Phyto.",0.397
"Lower River","Dry","Mang.",0.281375
"Lower River","Dry","RMA",0.068875
"Lower River","Dry","Phyto.",0.41275
"Lower River","Dry","FGA",0.236875
"Lower River","Wet","Mang.",0.74525
"Lower River","Wet","RMA",0.0105
"Lower River","Wet","Phyto.",0.1155
"Lower River","Wet","FGA",0.128833333333333
"TS Marsh","Dry","Sawgrass",0.174666666666667
"TS Marsh","Dry","Floc",0.408
"TS Marsh","Dry","Peri.",0.217
"TS Marsh","Dry","Phyto.",0.200666666666667
"TS Marsh","Wet","Sawgrass",0.184818181818182
"TS Marsh","Wet","Floc",0.536
"TS Marsh","Wet","Peri.",0.23
"TS Marsh","Wet","Phyto.",0.0491818181818182
"Mangrove Ecotone","Dry","Mang.",0.0375
"Mangrove Ecotone","Dry","Seagrass",0.234333333333333
"Mangrove Ecotone","Dry","Epi.",0.500666666666667
"Mangrove Ecotone","Dry","POM",0.228166666666667
"Mangrove Ecotone","Wet","Mang.",0.101454545454545
"Mangrove Ecotone","Wet","Seagrass",0.154181818181818
"Mangrove Ecotone","Wet","Epi.",0.279272727272727
"Mangrove Ecotone","Wet","POM",0.464909090909091
"Inner Bay","Dry","Mang.",0.178
"Inner Bay","Dry","Seagrass",0.229
"Inner Bay","Dry","Epi.",0.38275
"Inner Bay","Dry","POM",0.21025
"Inner Bay","Wet","Mang.",0.1582
"Inner Bay","Wet","Seagrass",0.1902
"Inner Bay","Wet","Epi.",0.4036
"Inner Bay","Wet","POM",0.2478
"Mid Bay","Dry","Mang.",0.0515555555555556
"Mid Bay","Dry","Seagrass",0.196
"Mid Bay","Dry","Epi.",0.509777777777778
"Mid Bay","Dry","POM",0.242777777777778
"Mid Bay","Wet","Mang.",0.0558571428571429
"Mid Bay","Wet","Seagrass",0.432071428571429
"Mid Bay","Wet","Epi.",0.178214285714286
"Mid Bay","Wet","POM",0.334
"Outer Bay","Dry","Mang.",0.0193333333333333
"Outer Bay","Dry","Seagrass",0.049
"Outer Bay","Dry","Epi.",0.241
"Outer Bay","Dry","POM",0.690666666666667
"Outer Bay","Wet","Mang.",0.0108571428571429
"Outer Bay","Wet","Seagrass",0.0335714285714286
"Outer Bay","Wet","Epi.",0.204642857142857
"Outer Bay","Wet","POM",0.750785714285714
