"site","season","source","value"
"SRS Marsh","Dry","Sawgrass",0.055875
"SRS Marsh","Dry","Floc",0.231875
"SRS Marsh","Dry","Peri.",0.077875
"SRS Marsh","Dry","Phyto.",0.6345
"SRS Marsh","Wet","Sawgrass",0.0405
"SRS Marsh","Wet","Floc",0.163375
"SRS Marsh","Wet","Peri.",0.081
"SRS Marsh","Wet","Phyto.",0.715125
"Upper River","Dry","Mang.",0.1517
"Upper River","Dry","Floc",0.3111
"Upper River","Dry","Epi.",0.1105
"Upper River","Dry","Phyto.",0.4266
"Upper River","Wet","Mang.",0.201272727272727
"Upper River","Wet","Floc",0.226636363636364
"Upper River","Wet","Epi.",0.136545454545455
"Upper River","Wet","Phyto.",0.435636363636364
"Mid River","Dry","Mang.",0.163285714285714
"Mid River","Dry","Floc",0.139428571428571
"Mid River","Dry","Epi.",0.480857142857143
"Mid River","Dry","Phyto.",0.216714285714286
"Mid River","Wet","Mang.",0.164846153846154
"Mid River","Wet","Floc",0.0832307692307692
"Mid River","Wet","Epi.",0.480230769230769
"Mid River","Wet","Phyto.",0.271615384615385
"Lower River","Dry","Mang.",0.231125
"Lower River","Dry","RMA",0.027375
"Lower River","Dry","Phyto.",0.58975
"Lower River","Dry","FGA",0.15175
"Lower River","Wet","Mang.",0.770833333333333
"Lower River","Wet","RMA",0.00508333333333333
"Lower River","Wet","Phyto.",0.118166666666667
"Lower River","Wet","FGA",0.105583333333333
"TS Marsh","Dry","Sawgrass",0.05
"TS Marsh","Dry","Floc",0.336666666666667
"TS Marsh","Dry","Peri.",0.329333333333333
"TS Marsh","Dry","Phyto.",0.284333333333333
"TS Marsh","Wet","Sawgrass",0.0210909090909091
"TS Marsh","Wet","Floc",0.199545454545455
"TS Marsh","Wet","Peri.",0.712363636363636
"TS Marsh","Wet","Phyto.",0.0669090909090909
"Mangrove Ecotone","Dry","Mang.",0.0313333333333333
"Mangrove Ecotone","Dry","Seagrass",0.497166666666667
"Mangrove Ecotone","Dry","Epi.",0.255666666666667
"Mangrove Ecotone","Dry","POM",0.216166666666667
"Mangrove Ecotone","Wet","Mang.",0.0756363636363636
"Mangrove Ecotone","Wet","Seagrass",0.333818181818182
"Mangrove Ecotone","Wet","Epi.",0.201636363636364
"Mangrove Ecotone","Wet","POM",0.388636363636364
"Inner Bay","Dry","Mang.",0.1145
"Inner Bay","Dry","Seagrass",0.177
"Inner Bay","Dry","Epi.",0.416
"Inner Bay","Dry","POM",0.2925
"Inner Bay","Wet","Mang.",0.0624
"Inner Bay","Wet","Seagrass",0.101
"Inner Bay","Wet","Epi.",0.3524
"Inner Bay","Wet","POM",0.4842
"Mid Bay","Dry","Mang.",0.0801111111111111
"Mid Bay","Dry","Seagrass",0.310111111111111
"Mid Bay","Dry","Epi.",0.413555555555556
"Mid Bay","Dry","POM",0.196222222222222
"Mid Bay","Wet","Mang.",0.0869285714285714
"Mid Bay","Wet","Seagrass",0.544285714285714
"Mid Bay","Wet","Epi.",0.124357142857143
"Mid Bay","Wet","POM",0.2445
"Outer Bay","Dry","Mang.",0.0426666666666667
"Outer Bay","Dry","Seagrass",0.0863333333333333
"Outer Bay","Dry","Epi.",0.695333333333333
"Outer Bay","Dry","POM",0.176
"Outer Bay","Wet","Mang.",0.0322142857142857
"Outer Bay","Wet","Seagrass",0.0731428571428571
"Outer Bay","Wet","Epi.",0.723214285714286
"Outer Bay","Wet","POM",0.171071428571429
