SITENAME	DATE	SALINTY	TN	TP
Joe Bay	6/27/89			
Little Madeira Bay	6/27/89			
TSph9	6/27/89		37.93	0.53
TSph10	6/28/89		36.21	0.45
TSph11	6/28/89			
Joe Bay	7/25/89			
Little Madeira Bay	7/25/89			
TSph9	7/25/89		45.93	0.31
TSph10	7/26/89		71.93	0.45
TSph11	7/26/89		16.86	0.49
Little Madeira Bay	8/22/89			
TSph9	8/22/89		43.57	0.45
Joe Bay	8/23/89			
TSph10	8/23/89		69.5	0.59
TSph11	8/23/89		18	0.5
Little Madeira Bay	11/8/89			
TSph9	11/8/89		44.79	0.16
Joe Bay	11/9/89			
TSph10	11/9/89		62.64	0.13
TSph11	11/9/89		28.21	0.45
Joe Bay	12/7/89			
TSph10	12/7/89		63.64	0.45
TSph11	12/7/89		17.21	0.65
Little Madeira Bay	12/8/89			
TSph9	12/8/89		43.14	0.45
Joe Bay	1/1/90			
Little Madeira Bay	1/1/90			
TSph10	1/1/90			
TSph11	1/1/90			
TSph9	1/1/90			
Joe Bay	2/1/90			
Little Madeira Bay	2/1/90			
TSph10	2/1/90			
TSph11	2/1/90			
TSph9	2/1/90			
Joe Bay	3/1/90			
Little Madeira Bay	3/1/90			
TSph10	3/1/90			
TSph11	3/1/90			
TSph9	3/1/90			
Joe Bay	4/1/90			
Little Madeira Bay	4/1/90			
TSph10	4/1/90			
TSph11	4/1/90			
TSph9	4/1/90			
Joe Bay	4/10/90			
TSph10	4/10/90		55.07	0.3
TSph11	4/10/90		16.79	0.36
Little Madeira Bay	4/11/90			
TSph9	4/11/90		45.5	0.34
Joe Bay	5/1/90			
Little Madeira Bay	5/1/90			
TSph10	5/1/90			
TSph11	5/1/90			
TSph9	5/1/90			
Joe Bay	6/1/90			
Little Madeira Bay	6/1/90			
TSph10	6/1/90			
TSph11	6/1/90			
TSph9	6/1/90			
Joe Bay	7/1/90			
Joe Bay	7/1/90			
Little Madeira Bay	7/1/90			
TSph10	7/1/90			
TSph10	7/1/90		84.36	0.89
TSph11	7/1/90			
TSph11	7/1/90		21.71	0.45
TSph9	7/1/90			
Little Madeira Bay	7/2/90			
TSph9	7/2/90		38.11	0.3
Joe Bay	8/1/90			
Little Madeira Bay	8/1/90			
TSph10	8/1/90			
TSph11	8/1/90			
TSph9	8/1/90			
Joe Bay	8/20/90			
Little Madeira Bay	8/20/90			
TSph10	8/20/90		81.46	0.47
TSph11	8/20/90		20.79	0.45
TSph9	8/20/90		58.32	0.35
Joe Bay	9/1/90			
Little Madeira Bay	9/1/90			
TSph10	9/1/90			
TSph11	9/1/90			
TSph9	9/1/90			
Joe Bay	10/1/90			
Little Madeira Bay	10/1/90			
TSph10	10/1/90			
TSph11	10/1/90			
TSph9	10/1/90			
Joe Bay	11/1/90			
Little Madeira Bay	11/1/90			
TSph10	11/1/90			
TSph11	11/1/90			
TSph9	11/1/90			
Joe Bay	12/1/90			
Little Madeira Bay	12/1/90			
TSph10	12/1/90			
TSph11	12/1/90			
TSph9	12/1/90			
Joe Bay	1/1/91			
Little Madeira Bay	1/1/91			
TSph10	1/1/91			
TSph11	1/1/91			
TSph9	1/1/91			
Joe Bay	2/1/91			
Little Madeira Bay	2/1/91			
TSph10	2/1/91			
TSph11	2/1/91			
TSph9	2/1/91			
Joe Bay	3/1/91			
Little Madeira Bay	3/1/91			
TSph10	3/1/91			
TSph11	3/1/91			
TSph9	3/1/91			
Joe Bay	3/14/91		63.57	0.51
Little Madeira Bay	3/14/91		89	0.6
TSph10	3/14/91		74.21	0.52
TSph11	3/14/91			
TSph9	3/14/91		68.21	0.47
Joe Bay	4/16/91		66.06	0.68
Little Madeira Bay	4/16/91		83.34	0.48
TSph10	4/16/91		77.38	0.92
TSph11	4/16/91			
TSph9	4/16/91		70.46	0.54
Joe Bay	5/1/91		133.21	0.44
Little Madeira Bay	5/1/91		132.21	0.19
TSph10	5/1/91		58.56	0.21
TSph11	5/1/91			
TSph9	5/1/91		79.27	0.32
Joe Bay	6/11/91		84.22	0.32
Little Madeira Bay	6/11/91		42.25	0.21
TSph10	6/11/91		47.16	0.15
TSph11	6/11/91			
TSph9	6/11/91		38.45	0.14
Joe Bay	7/9/91		57.42	0.55
Little Madeira Bay	7/9/91		52.73	0.27
TSph10	7/9/91		95.27	0.6
TSph11	7/9/91			
TSph9	7/9/91		54.03	0.32
