SITENAME,DATE,YEAR,MONTH,TN_uM_L,TN_moles_L,TN_g_L,TN_ug_L,TP_uM_L,TP_moles_L,TP_g_L,TP_ug_L,NP
TSph9,6/27/89,1989,June,37.93,0.00,0.00,531.29,0.53,0.00,0.00,16.42,32.36
TSph10,6/28/89,1989,June,36.21,0.00,0.00,507.19,0.45,0.00,0.00,13.94,36.39
TSph9,7/25/89,1989,July,45.93,0.00,0.00,643.34,0.31,0.00,0.00,9.60,67.00
TSph10,7/26/89,1989,July,71.93,0.00,0.00,1007.52,0.45,0.00,0.00,13.94,72.28
TSph11,7/26/89,1989,July,16.86,0.00,0.00,236.16,0.49,0.00,0.00,15.18,15.56
TSph9,8/22/89,1989,August,43.57,0.00,0.00,610.28,0.45,0.00,0.00,13.94,43.78
TSph10,8/23/89,1989,August,69.50,0.00,0.00,973.49,0.59,0.00,0.00,18.27,53.27
TSph11,8/23/89,1989,August,18.00,0.00,0.00,252.13,0.50,0.00,0.00,15.49,16.28
TSph9,11/8/89,1989,November,44.79,0.00,0.00,627.37,0.16,0.00,0.00,4.96,126.59
TSph10,11/9/89,1989,November,62.64,0.00,0.00,877.40,0.13,0.00,0.00,4.03,217.90
TSph11,11/9/89,1989,November,28.21,0.00,0.00,395.14,0.45,0.00,0.00,13.94,28.35
TSph10,12/7/89,1989,December,63.64,0.00,0.00,891.41,0.45,0.00,0.00,13.94,63.95
TSph11,12/7/89,1989,December,17.21,0.00,0.00,241.06,0.65,0.00,0.00,20.13,11.97
TSph9,12/8/89,1989,December,43.14,0.00,0.00,604.26,0.45,0.00,0.00,13.94,43.35
TSph10,4/10/90,1990,April,55.07,0.00,0.00,771.37,0.30,0.00,0.00,9.29,83.01
TSph11,4/10/90,1990,April,16.79,0.00,0.00,235.18,0.36,0.00,0.00,11.15,21.09
TSph10,7/1/90,1990,July,84.36,0.00,0.00,1181.63,0.89,0.00,0.00,27.57,42.86
TSph11,7/1/90,1990,July,21.71,0.00,0.00,304.09,0.45,0.00,0.00,13.94,21.82
TSph9,7/2/90,1990,July,38.11,0.00,0.00,533.81,0.30,0.00,0.00,9.29,57.45
TSph10,8/20/90,1990,August,81.46,0.00,0.00,1141.01,0.47,0.00,0.00,14.56,78.38
TSph11,8/20/90,1990,August,20.79,0.00,0.00,291.21,0.45,0.00,0.00,13.94,20.89
TSph9,8/20/90,1990,August,58.32,0.00,0.00,816.89,0.35,0.00,0.00,10.84,75.35
TSph10,3/14/91,1991,March,74.21,0.00,0.00,1039.46,0.52,0.00,0.00,16.11,64.54
TSph9,3/14/91,1991,March,68.21,0.00,0.00,955.42,0.47,0.00,0.00,14.56,65.63
TSph10,4/16/91,1991,April,77.38,0.00,0.00,1083.86,0.92,0.00,0.00,28.50,38.04
TSph9,4/16/91,1991,April,70.46,0.00,0.00,986.93,0.54,0.00,0.00,16.73,59.01
TSph10,5/1/91,1991,May,58.56,0.00,0.00,820.25,0.21,0.00,0.00,6.50,126.10
