SITENAME	DATE	SALINITY	TN	TP
TSph7	4/7/96	0.01	115.07	0.45
TSph7	4/8/96	0.01	57.21	0.49
TSph7	4/9/96	0.01	56.86	0.55
TSph7	4/10/96	0.01	53.71	1.10
TSph7	4/11/96	0.01	59.79	0.82
TSph7	4/12/96	0.01	47.64	0.76
TSph7	4/13/96	0.01	51.21	0.01
TSph7	4/26/96	17	48.64	0.01
TSph7	4/27/96	17	39.57	0.01
TSph7	4/28/96	16	44.64	0.01
TSph7	4/29/96	15	35.57	0.01
TSph7	4/30/96	17	43.64	0.01
TSph7	5/1/96	17	40.14	0.29
TSph7	5/2/96	17	40.93	0.51
TSph7	5/3/96	17	59.14	0.01
TSph7	5/4/96	16	59.57	0.01
TSph7	5/5/96	17	64.43	0.26
TSph7	5/6/96	18	61.29	0.01
TSph7	5/7/96	18	67.00	0.01
TSph7	5/8/96	17	56.43	0.30
TSph7	5/9/96	18	61.93	0.36
TSph7	5/10/96	17	67.43	0.63
TSph7	5/11/96	17	66.07	0.82
TSph7	5/12/96	19	67.86	0.61
TSph7	5/13/96	19	67.07	0.42
TSph7	5/14/96	19	61.43	0.45
TSph7	5/15/96	20	64.96	0.01
TSph7	5/16/96	19.5	65.31	0.56
TSph7	5/17/96	21	64.45	0.50
TSph7	5/18/96	20	67.37	0.61
TSph7	5/19/96	20.7	61.42	0.46
TSph7	5/20/96	22	58.93	0.59
TSph7	5/21/96	23.8	56.61	0.88
TSph7	5/22/96	24.2	60.03	0.42
TSph7	5/23/96	24.4	52.70	0.36
TSph7	5/24/96	24	55.84	0.40
TSph7	5/25/96	24	79.36	0.72
TSph7	5/26/96	23	68.00	1.35
TSph7	5/27/96	24	71.93	0.51
TSph7	5/28/96	24	79.36	1.40
TSph7	5/29/96	24	71.57	2.15
TSph7	5/30/96	24	67.07	0.52
TSph7	5/31/96	24	75.43	1.13
TSph7	6/1/96	24	74.36	1.52
TSph7	6/2/96	24	75.79	0.47
TSph7	6/3/96	24	74.50	2.43
TSph7	6/4/96	24	74.00	1.34
TSph7	6/5/96	24	76.79	1.13
TSph7	6/6/96	24	74.71	0.01
TSph7	6/7/96	25	75.43	0.01
TSph7	6/8/96	25	101.14	1.43
TSph7	6/9/96	25	84.07	0.01
TSph7	6/10/96	24	65.07	1.14
TSph7	6/11/96	23	68.43	0.73
TSph7	6/12/96	21	61.07	1.46
TSph7	6/13/96	18	67.64	1.19
TSph7	6/14/96	14	137.14	0.40
TSph7	6/15/96	11	77.57	0.01
TSph7	6/16/96	8	72.21	0.01
TSph7	6/17/96	7	78.00	0.87
TSph7	6/18/96	5	78.79	0.17
TSph7	6/19/96	5	78.21	0.25
TSph7	6/20/96	4	76.00	0.20
TSph7	6/21/96	4	85.21	0.31
TSph7	6/22/96	4	76.93	0.54
TSph7	6/23/96	4	74.29	0.01
TSph7	6/24/96	3	73.50	0.16
TSph7	6/25/96	3	74.00	0.18
TSph7	6/26/96	2	76.07	0.55
TSph7	6/27/96	2	78.86	0.01
TSph7	6/28/96	2	77.79	0.68
TSph7	6/29/96	1	72.64	0.41
TSph7	6/30/96	1	72.43	0.01
TSph7	7/1/96	1	69.29	0.93
TSph7	7/2/96	1	70.43	0.28
TSph7	7/3/96	1	63.36	0.33
TSph7	7/4/96	1	76.00	0.41
TSph7	7/5/96	0	82.14	0.29
TSph7	7/6/96	0	90.71	0.38
TSph7	7/7/96	0	90.00	0.36
TSph7	7/8/96	0	95.71	0.28
TSph7	7/9/96	0	95.71	0.25
TSph7	7/10/96	0	95.00	0.23
TSph7	7/11/96	0	87.86	0.24
TSph7	7/12/96	0	91.43	0.25
TSph7	7/13/96	0	90.00	0.26
TSph7	7/14/96	0	93.57	0.23
TSph7	7/15/96	0	89.29	0.23
TSph7	7/16/96	0	85.00	0.25
TSph7	7/17/96	0	83.57	0.30
TSph7	7/18/96	0	78.57	0.29
TSph7	7/19/96	0	82.14	0.34
TSph7	7/20/96	0	83.57	0.36
TSph7	7/21/96	0	83.57	0.34
TSph7	7/22/96	0	84.29	0.36
TSph7	7/23/96	0	87.14	0.37
TSph7	7/24/96	0	87.14	0.38
TSph7	7/25/96	0	89.29	0.32
TSph7	7/26/96	1	80.71	0.30
TSph7	7/27/96	1	87.86	0.28
TSph7	7/28/96	1	80.71	0.28
TSph7	7/29/96	6	66.43	0.10
TSph7	7/30/96	6	66.43	0.11
TSph7	8/1/96	6	77.86	0.26
TSph7	8/2/96	6	71.43	0.19
TSph7	8/3/96	7	72.86	0.16
TSph7	8/4/96	9	69.29	0.17
TSph7	8/6/96	2	80.71	0.22
TSph7	8/7/96	2	84.29	0.30
TSph7	8/8/96	1	86.43	0.20
TSph7	8/9/96	1	87.86	0.19
TSph7	8/10/96	7	72.14	0.21
TSph7	8/11/96	7	71.43	0.16
TSph7	8/12/96	6	77.86	0.30
TSph7	8/13/96	8	71.43	0.17
TSph7	8/14/96	10	77.35	0.32
TSph7	8/15/96	10.4	75.35	0.32
TSph7	8/16/96	7.6	77.57	0.40
TSph7	8/17/96	7.5	78.12	0.41
TSph7	8/18/96	6.6	82.86	0.37
TSph7	8/19/96	5.5	89.06	0.42
TSph7	8/20/96	3.6	88.22	0.45
TSph7	8/21/96	4.6	88.92	0.43
TSph7	8/22/96	3.5	87.86	0.43
TSph7	8/23/96	2.5	78.15	0.42
TSph7	8/24/96	4.5	81.45	0.37
TSph7	8/27/96	1	118.57	0.49
TSph7	8/28/96	2	142.14	0.36
TSph7	8/31/96	9	125.71	0.24
TSph7	9/1/96	8	110.71	0.21
TSph7	9/2/96	7	109.29	0.19
TSph7	9/3/96	9	100.00	0.19
TSph7	9/4/96	7	103.57	0.19
TSph7	9/6/96	11	109.29	0.29
TSph7	9/7/96	11	103.57	0.28
TSph7	9/8/96	11	95.71	0.30
TSph7	9/10/96	2	101.43	0.45
TSph7	9/11/96	2	105.71	0.53
TSph7	9/12/96	12	100.71	0.59
TSph7	9/13/96	9	65.31	0.20
TSph7	9/14/96	10	59.31	0.17
TSph7	9/15/96	9	63.08	0.20
TSph7	9/16/96	1	63.08	0.26
TSph7	9/17/96	2	64.88	0.37
TSph7	9/18/96	1	67.79	0.26
TSph7	9/19/96	2	71.88	0.45
TSph7	9/20/96	1	72.56	0.25
TSph7	9/21/96	1	80.59	0.29
TSph7	9/22/96	1	79.68	0.27
TSph7	9/23/96	1	77.20	0.29
TSph7	9/24/96	2	81.89	0.32
TSph7	9/25/96	1	84.18	0.34
TSph7	9/26/96	9	72.45	0.28
TSph7	9/27/96	1	75.29	0.44
TSph7	9/28/96	1	82.82	0.51
TSph7	9/29/96	1	77.48	0.37
TSph7	9/30/96	3	75.42	0.24
TSph7	10/1/96	1	73.94	0.35
TSph7	10/2/96	1	71.23	0.33
TSph7	10/3/96	1	74.52	0.36
TSph7	10/4/96	1	74.64	0.45
TSph7	10/5/96	0	74.67	0.21
TSph7	10/6/96	0	71.74	0.24
TSph7	10/7/96	7	68.66	0.14
TSph7	10/8/96	7	69.49	0.13
TSph7	10/9/96	8	70.84	0.23
TSph7	10/10/96	5	69.38	0.21
TSph7	10/11/96	4	73.86	0.24
TSph7	10/12/96	3	72.77	0.30
TSph7	10/13/96	2	67.66	0.24
TSph7	10/14/96	1	61.98	0.23
TSph7	10/15/96	1	59.56	0.29
TSph7	10/16/96	0	62.38	0.30
TSph7	10/17/96	0	61.12	0.25
TSph7	10/18/96	0	56.22	0.29
TSph7	10/19/96	0	59.06	0.33
TSph7	10/20/96	0	58.65	0.35
TSph7	10/21/96	0	67.67	0.33
TSph7	10/22/96	0	56.44	0.39
TSph7	10/23/96	0	57.11	0.35
TSph7	10/24/96	0	59.89	0.40
TSph7	10/25/96	0	57.14	0.57
TSph7	11/3/96	1	51.52	0.28
TSph7	11/4/96	2	51.67	0.11
TSph7	11/6/96	2	59.16	0.09
TSph7	11/7/96	5	52.57	0.08
TSph7	11/8/96	5	56.64	0.08
TSph7	11/9/96	3	53.78	0.09
TSph7	11/10/96	1	52.25	0.16
TSph7	11/11/96	2.5	59.94	0.26
TSph7	11/12/96	2	70.09	0.28
TSph7	11/13/96	2	60.59	0.29
TSph7	11/14/96	1.4	61.55	0.30
TSph7	11/15/96	2	51.68	0.28
TSph7	11/16/96	1.2	62.77	0.28
TSph7	11/17/96	2.7	61.41	0.41
TSph7	11/18/96	3.9	55.93	0.40
TSph7	11/19/96	7.3	55.09	0.33
TSph7	11/20/96	10	55.29	0.27
TSph7	11/21/96	10.5	56.88	0.20
TSph7	11/22/96	9	60.73	0.01
TSph7	11/23/96	10	51.74	0.01
TSph7	11/24/96	10	53.62	0.01
TSph7	11/25/96	10	57.69	0.01
TSph7	11/26/96	8	35.81	0.01
TSph7	11/27/96	7	53.09	0.01
TSph7	11/28/96	4	60.27	0.01
TSph7	11/29/96	3	57.42	0.01
TSph7	11/30/96	4	61.65	0.01
TSph7	12/1/96	4	56.06	0.01
TSph7	12/2/96	4	55.20	0.01
TSph7	12/3/96	7	42.41	0.01
TSph7	12/4/96	3	57.48	0.12
TSph7	12/5/96	5	54.77	0.15
TSph7	12/6/96	6	63.26	0.34
TSph7	12/7/96	7	57.89	0.18
TSph7	12/8/96	10	61.20	0.24
TSph7	12/9/96	4	62.38	0.17
TSph7	12/10/96	4	66.89	0.20
TSph7	12/11/96	12	62.16	0.23
TSph7	12/12/96	8	58.72	0.25
TSph7	12/13/96	14	54.98	0.28
TSph7	12/14/96	15	57.66	0.31
TSph7	12/15/96	8	66.47	0.28
TSph7	12/16/96	13	63.19	1.08
TSph7	12/17/96	12	56.01	0.09
TSph7	12/18/96	14	57.70	0.08
TSph7	12/19/96	8	59.78	0.37
TSph7	12/20/96	4	60.72	0.19
TSph7	12/21/96	7	60.32	0.26
TSph7	12/22/96	9	65.48	0.26
TSph7	12/23/96	13	64.62	0.84
TSph7	12/24/96	14	53.56	0.11
TSph7	12/25/96	15	60.47	0.08
TSph7	12/26/96	14	55.99	0.11
TSph7	12/27/96	14	55.61	0.45
TSph7	12/28/96	12	60.98	0.14
TSph7	12/29/96	13	53.00	0.19
TSph7	12/30/96	12	55.46	0.22
TSph7	12/31/96	13	58.58	0.13
TSph7	1/1/97	13	50.56	0.16
TSph7	1/2/97	15	56.11	0.11
TSph7	1/3/97	15	55.20	0.08
TSph7	1/4/97	15	54.13	0.08
TSph7	1/5/97	17	55.00	0.10
TSph7	1/6/97	17	53.61	0.12
TSph7	1/7/97	16	48.42	0.29
TSph7	1/10/97	25.7	64.91	0.49
TSph7	1/11/97	18.1	67.62	0.65
TSph7	1/12/97	14	61.83	0.44
TSph7	1/13/97	11.5	62.35	0.66
TSph7	1/14/97	11.2	75.12	0.73
TSph7	1/15/97	9.6	65.82	0.73
TSph7	1/16/97	9.3	70.21	0.78
TSph7	1/17/97	9	48.61	0.44
TSph7	1/18/97	9.7	44.90	0.47
TSph7	1/19/97	7	49.87	0.47
TSph7	1/21/97	11	52.21	0.01
TSph7	1/22/97	14	52.70	0.01
TSph7	1/23/97	13	48.05	0.01
TSph7	1/24/97	13	47.60	0.01
TSph7	1/25/97	13	52.67	0.01
TSph7	1/26/97	13	46.44	0.01
TSph7	2/23/97	17	54.38	0.42
TSph7	2/24/97	17	51.61	0.29
TSph7	2/25/97	18	50.53	0.31
TSph7	2/26/97	19	49.28	0.42
TSph7	2/27/97	18	50.78	0.48
TSph7	2/28/97	18	47.52	0.47
TSph7	3/1/97	19	51.07	0.32
TSph7	3/2/97	20	50.93	0.39
TSph7	3/3/97	19	50.26	0.44
TSph7	3/4/97	20	54.03	0.30
TSph7	3/5/97	19	48.85	0.30
TSph7	3/6/97	19	54.66	0.26
TSph7	3/7/97	18	54.72	0.26
TSph7	3/8/97	19	56.40	0.27
TSph7	3/9/97	18	49.38	0.48
TSph7	3/10/97	19	46.65	0.25
TSph7	3/11/97	19	44.47	0.23
TSph7	3/12/97	20	48.82	0.28
TSph7	3/13/97	20	0.01	0.23
TSph7	3/14/97	20	38.84	0.51
TSph7	3/15/97	21	0.01	0.22
TSph7	3/16/97	20	0.01	0.30
TSph7	3/17/97	19	49.45	0.47
TSph7	3/18/97	18	51.01	0.52
TSph7	3/19/97	20	50.18	0.46
TSph7	3/20/97	21	47.76	0.35
TSph7	3/21/97	21	44.80	0.21
TSph7	3/22/97	21	45.67	0.29
TSph7	3/23/97	22	45.67	0.33
TSph7	3/24/97	22	48.26	0.28
TSph7	3/25/97	22	50.43	0.30
TSph7	3/26/97	22	45.28	0.35
TSph7	3/27/97	21	46.78	0.36
TSph7	3/28/97	22	48.01	0.44
TSph7	3/29/97	22	48.44	0.27
TSph7	3/30/97	22	52.19	0.47
TSph7	3/31/97	21	54.21	0.70
TSph7	4/1/97	21	53.00	0.68
TSph7	4/2/97	22	63.29	0.57
TSph7	4/3/97	22	57.81	0.42
TSph7	4/4/97	23	51.76	0.30
TSph7	4/5/97	23	46.48	0.26
TSph7	4/6/97	24	72.44	1.62
TSph7	4/7/97	23	44.16	0.20
TSph7	4/8/97	24	50.40	0.22
TSph7	4/9/97	24	53.71	0.27
TSph7	4/10/97	24	45.74	0.21
TSph7	4/11/97	24	44.53	0.28
TSph7	4/12/97	24	47.55	0.52
TSph7	4/13/97	25	48.40	0.29
TSph7	4/14/97	26	46.90	0.38
TSph7	4/15/97	26	48.01	0.24
