SITENAME,DATE,YEAR,MONTH,TN_uM_L,TN_moles_L,TN_g_L,TN_ug_L,TP_uM_L,TP_moles_L,TP_g_L,TP_ug_L,NP
TSph3,10/2/05,2005,October,51.35,0.00,0.00,719.26,0.84,0.00,0.00,26.02,27.64
TSph7,10/3/05,2005,October,20.24,0.00,0.00,283.46,0.18,0.00,0.00,5.58,50.84
TSph3,10/5/05,2005,October,37.37,0.00,0.00,523.43,0.87,0.00,0.00,26.95,19.42
TSph7,10/6/05,2005,October,35.78,0.00,0.00,501.23,0.23,0.00,0.00,7.12,70.36
TSph11,10/6/05,2005,October,14.74,0.00,0.00,206.52,0.60,0.00,0.00,18.71,11.04
TSph10,10/6/05,2005,October,25.56,0.00,0.00,358.03,0.63,0.00,0.00,19.42,18.44
TSph9,10/6/05,2005,October,20.76,0.00,0.00,290.73,1.99,0.00,0.00,61.76,4.71
TSph3,10/8/05,2005,October,33.36,0.00,0.00,467.29,0.87,0.00,0.00,26.95,17.34
TSph3,10/11/05,2005,October,25.52,0.00,0.00,357.42,0.91,0.00,0.00,28.19,12.68
TSph3,10/13/05,2005,October,35.54,0.00,0.00,497.85,0.96,0.00,0.00,29.74,16.74
TSph3,10/16/05,2005,October,14.28,0.00,0.00,199.96,0.11,0.00,0.00,3.41,58.69
TSph3,10/19/05,2005,October,18.24,0.00,0.00,255.42,0.14,0.00,0.00,4.34,58.90
TSph3,10/22/05,2005,October,15.02,0.00,0.00,210.36,0.12,0.00,0.00,3.72,56.60
TSph3,10/25/05,2005,October,18.85,0.00,0.00,264.09,0.12,0.00,0.00,3.72,71.05
TSph3,10/28/05,2005,October,16.45,0.00,0.00,230.47,0.13,0.00,0.00,4.03,57.24
TSph3,10/31/05,2005,October,16.84,0.00,0.00,235.88,0.19,0.00,0.00,5.89,40.08
TSph3,11/3/05,2005,November,13.65,0.00,0.00,191.21,0.10,0.00,0.00,3.10,61.73
TSph3,11/6/05,2005,November,17.68,0.00,0.00,247.60,0.16,0.00,0.00,4.96,49.96
TSph3,11/9/05,2005,November,20.37,0.00,0.00,285.28,0.13,0.00,0.00,4.03,70.85
TSph3,11/12/05,2005,November,17.12,0.00,0.00,239.77,0.17,0.00,0.00,5.27,45.54
TSph3,11/15/05,2005,November,15.00,0.00,0.00,210.09,0.18,0.00,0.00,5.58,37.68
TSph9,11/15/05,2005,November,36.51,0.00,0.00,511.34,0.36,0.00,0.00,11.06,46.24
TSph10,11/17/05,2005,November,35.76,0.00,0.00,500.93,0.12,0.00,0.00,3.69,135.90
TSph11,11/17/05,2005,November,46.61,0.00,0.00,652.88,0.26,0.00,0.00,8.15,80.15
TSph3,11/18/05,2005,November,15.84,0.00,0.00,221.91,0.21,0.00,0.00,6.50,34.12
TSph7,11/20/05,2005,November,22.55,0.00,0.00,315.84,0.34,0.00,0.00,10.53,29.99
TSph3,11/21/05,2005,November,20.64,0.00,0.00,289.06,0.17,0.00,0.00,5.27,54.90
TSph7,11/23/05,2005,November,20.25,0.00,0.00,283.59,0.34,0.00,0.00,10.53,26.93
