SITENAME,DATE,YEAR,MONTH,TN_uM_L,TN_moles_L,TN_g_L,TN_ug_L,TP_uM_L,TP_moles_L,TP_g_L,TP_ug_L,NP
TSph7,1/3/00,2000,January,57.26,0.00,0.00,801.97,0.23,0.00,0.00,7.12,112.57
TSph7,1/6/00,2000,January,56.30,0.00,0.00,788.54,0.20,0.00,0.00,6.19,127.29
TSph7,1/9/00,2000,January,45.40,0.00,0.00,635.90,0.16,0.00,0.00,4.96,128.31
TSph7,1/12/00,2000,January,47.92,0.00,0.00,671.16,0.15,0.00,0.00,4.65,144.46
TSph7,1/15/00,2000,January,51.41,0.00,0.00,720.16,0.18,0.00,0.00,5.58,129.17
TSph7,1/18/00,2000,January,51.74,0.00,0.00,724.71,0.21,0.00,0.00,6.50,111.42
TSph7,1/24/00,2000,January,43.73,0.00,0.00,612.48,0.20,0.00,0.00,6.19,98.87
TSph9,1/24/00,2000,January,32.21,0.00,0.00,451.17,0.21,0.00,0.00,6.57,68.71
TSph10,1/25/00,2000,January,55.78,0.00,0.00,781.28,0.32,0.00,0.00,9.85,79.32
TSph11,1/25/00,2000,January,18.63,0.00,0.00,260.88,0.71,0.00,0.00,21.87,11.93
TSph7,1/31/00,2000,January,50.78,0.00,0.00,711.28,0.19,0.00,0.00,5.89,120.86
TSph7,2/14/00,2000,February,48.63,0.00,0.00,681.15,0.37,0.00,0.00,11.46,59.43
TSph7,2/17/00,2000,February,43.17,0.00,0.00,604.64,0.29,0.00,0.00,8.98,67.31
TSph7,2/20/00,2000,February,55.26,0.00,0.00,774.03,0.25,0.00,0.00,7.74,99.96
TSph7,2/23/00,2000,February,50.27,0.00,0.00,704.12,0.29,0.00,0.00,8.98,78.39
TSph7,2/26/00,2000,February,57.37,0.00,0.00,803.58,0.25,0.00,0.00,7.74,103.77
TSph10,2/28/00,2000,February,31.50,0.00,0.00,441.15,0.07,0.00,0.00,2.04,215.80
TSph11,2/28/00,2000,February,20.23,0.00,0.00,283.35,0.11,0.00,0.00,3.53,80.24
TSph7,2/29/00,2000,February,33.77,0.00,0.00,473.07,0.14,0.00,0.00,4.34,109.09
TSph9,2/29/00,2000,February,29.01,0.00,0.00,406.32,0.29,0.00,0.00,9.08,44.77
TSph7,3/3/00,2000,March,30.99,0.00,0.00,434.12,0.22,0.00,0.00,6.81,63.71
TSph7,3/6/00,2000,March,34.09,0.00,0.00,477.44,0.49,0.00,0.00,15.18,31.46
TSph7,3/9/00,2000,March,80.36,0.00,0.00,1125.66,0.26,0.00,0.00,8.05,139.78
TSph7,3/12/00,2000,March,30.86,0.00,0.00,432.21,0.37,0.00,0.00,11.46,37.71
TSph7,3/13/00,2000,March,23.25,0.00,0.00,325.72,0.25,0.00,0.00,7.74,42.06
TSph7,3/18/00,2000,March,35.31,0.00,0.00,494.52,0.43,0.00,0.00,13.32,37.13
TSph10,3/21/00,2000,March,31.36,0.00,0.00,439.25,0.12,0.00,0.00,3.69,119.17
TSph11,3/21/00,2000,March,6.23,0.00,0.00,87.31,0.13,0.00,0.00,3.93,22.19
TSph7,3/21/00,2000,March,0.01,0.00,0.00,0.14,0.34,0.00,0.00,10.53,0.01
TSph9,3/22/00,2000,March,25.83,0.00,0.00,361.74,0.05,0.00,0.00,1.61,224.60
TSph7,3/24/00,2000,March,25.24,0.00,0.00,353.49,0.21,0.00,0.00,6.50,54.35
TSph7,3/27/00,2000,March,24.16,0.00,0.00,338.35,0.26,0.00,0.00,8.05,42.01
TSph7,3/30/00,2000,March,21.44,0.00,0.00,300.30,0.21,0.00,0.00,6.50,46.17
TSph7,4/5/00,2000,April,23.44,0.00,0.00,328.28,0.18,0.00,0.00,5.58,58.88
TSph7,4/8/00,2000,April,27.25,0.00,0.00,381.69,0.20,0.00,0.00,6.19,61.61
TSph7,4/11/00,2000,April,19.48,0.00,0.00,272.91,0.23,0.00,0.00,7.12,38.31
TSph10,4/13/00,2000,April,18.64,0.00,0.00,261.03,0.36,0.00,0.00,11.18,23.34
TSph11,4/13/00,2000,April,30.55,0.00,0.00,427.87,0.44,0.00,0.00,13.57,31.54
TSph7,4/14/00,2000,April,21.67,0.00,0.00,303.55,0.24,0.00,0.00,7.43,40.83
TSph7,4/17/00,2000,April,29.18,0.00,0.00,408.71,0.18,0.00,0.00,5.58,73.31
TSph9,4/17/00,2000,April,30.70,0.00,0.00,430.01,0.32,0.00,0.00,9.82,43.80
TSph7,4/20/00,2000,April,20.38,0.00,0.00,285.42,0.20,0.00,0.00,6.19,46.07
TSph7,4/23/00,2000,April,27.01,0.00,0.00,378.26,0.37,0.00,0.00,11.46,33.01
TSph7,4/26/00,2000,April,29.37,0.00,0.00,411.44,0.15,0.00,0.00,4.65,88.56
TSph7,4/28/00,2000,April,0.01,0.00,0.00,0.14,0.39,0.00,0.00,12.08,0.01
TSph7,5/1/00,2000,May,0.01,0.00,0.00,0.14,0.65,0.00,0.00,20.13,0.01
TSph7,5/4/00,2000,May,0.01,0.00,0.00,0.14,0.51,0.00,0.00,15.80,0.01
TSph7,5/7/00,2000,May,0.01,0.00,0.00,0.14,0.70,0.00,0.00,21.68,0.01
TSph7,5/10/00,2000,May,0.01,0.00,0.00,0.14,0.56,0.00,0.00,17.35,0.01
TSph7,5/12/00,2000,May,0.01,0.00,0.00,0.14,0.21,0.00,0.00,6.50,0.02
TSph7,5/15/00,2000,May,22.36,0.00,0.00,313.20,0.34,0.00,0.00,10.53,29.74
TSph7,5/18/00,2000,May,22.08,0.00,0.00,309.26,0.54,0.00,0.00,16.73,18.49
TSph7,5/21/00,2000,May,34.90,0.00,0.00,488.84,0.44,0.00,0.00,13.63,35.87
TSph7,5/23/00,2000,May,23.23,0.00,0.00,325.41,0.41,0.00,0.00,12.70,25.62
TSph7,5/26/00,2000,May,27.60,0.00,0.00,386.65,0.32,0.00,0.00,9.91,39.01
TSph7,5/29/00,2000,May,27.52,0.00,0.00,385.40,0.35,0.00,0.00,10.84,35.55
TSph10,5/30/00,2000,May,46.59,0.00,0.00,652.59,0.34,0.00,0.00,10.47,62.33
TSph11,5/30/00,2000,May,11.43,0.00,0.00,160.04,0.67,0.00,0.00,20.66,7.75
TSph9,5/31/00,2000,May,37.39,0.00,0.00,523.75,0.33,0.00,0.00,10.07,52.03
TSph7,6/1/00,2000,June,26.60,0.00,0.00,372.53,0.32,0.00,0.00,9.91,37.58
TSph7,6/4/00,2000,June,22.70,0.00,0.00,318.00,0.31,0.00,0.00,9.60,33.12
TSph7,6/7/00,2000,June,25.06,0.00,0.00,351.04,0.26,0.00,0.00,8.05,43.59
TSph7,6/10/00,2000,June,22.75,0.00,0.00,318.60,0.32,0.00,0.00,9.91,32.14
TSph7,6/13/00,2000,June,35.04,0.00,0.00,490.74,0.68,0.00,0.00,21.06,23.30
TSph10,6/20/00,2000,June,28.78,0.00,0.00,403.16,0.35,0.00,0.00,10.90,36.98
TSph11,6/20/00,2000,June,11.83,0.00,0.00,165.76,0.46,0.00,0.00,14.28,11.61
TSph9,6/21/00,2000,June,25.84,0.00,0.00,361.98,0.25,0.00,0.00,7.84,46.19
TSph7,6/25/00,2000,June,64.15,0.00,0.00,898.58,0.86,0.00,0.00,26.64,33.73
TSph7,6/28/00,2000,June,74.29,0.00,0.00,1040.64,0.69,0.00,0.00,21.37,48.69
TSph7,7/1/00,2000,July,63.41,0.00,0.00,888.17,1.14,0.00,0.00,35.31,25.15
TSph7,7/4/00,2000,July,46.32,0.00,0.00,648.86,1.09,0.00,0.00,33.76,19.22
TSph7,7/7/00,2000,July,59.90,0.00,0.00,838.95,0.11,0.00,0.00,3.41,246.23
TSph7,7/10/00,2000,July,53.72,0.00,0.00,752.39,0.23,0.00,0.00,7.12,105.61
