season,site,source,Mean,SD,2.50%,5%,25%,50%,75%,95%,97.50%
dry19,TS10,Epiphytic microalgae,0.317,0.077,0.173,0.195,0.264,0.316,0.367,0.447,0.473
dry19,TS10,Red Mangrove,0.033,0.021,0.004,0.006,0.017,0.029,0.045,0.074,0.083
dry19,TS10,Seagrass,0.581,0.076,0.426,0.455,0.532,0.585,0.633,0.701,0.721
dry19,TS10,POM,0.069,0.055,0.002,0.005,0.026,0.055,0.099,0.18,0.209
dry19,TS11,Epiphytic microalgae,0.691,0.104,0.49,0.515,0.617,0.694,0.767,0.857,0.882
dry19,TS11,Red Mangrove,0.011,0.012,0.001,0.001,0.004,0.008,0.015,0.034,0.042
dry19,TS11,Seagrass,0.252,0.098,0.078,0.097,0.18,0.247,0.318,0.421,0.455
dry19,TS11,POM,0.046,0.059,0.001,0.001,0.008,0.023,0.057,0.176,0.225
dry19,TS7,Epiphytic microalgae,0.639,0.112,0.376,0.441,0.583,0.654,0.714,0.79,0.816
dry19,TS7,Red Mangrove,0.132,0.068,0.003,0.01,0.085,0.133,0.178,0.245,0.262
dry19,TS7,Seagrass,0.089,0.048,0.02,0.026,0.052,0.082,0.118,0.181,0.205
dry19,TS7,POM,0.139,0.15,0.001,0.003,0.026,0.088,0.202,0.46,0.524
dry19,TS9,Epiphytic microalgae,0.839,0.085,0.64,0.676,0.79,0.853,0.903,0.953,0.966
dry19,TS9,Red Mangrove,0.015,0.016,0.001,0.001,0.004,0.01,0.021,0.047,0.059
dry19,TS9,Seagrass,0.095,0.06,0.015,0.021,0.05,0.082,0.126,0.214,0.242
dry19,TS9,POM,0.05,0.064,0.001,0.001,0.008,0.024,0.069,0.194,0.229
wet19,TS10,Epiphytic microalgae,0.215,0.05,0.124,0.137,0.179,0.212,0.248,0.3,0.319
wet19,TS10,Red Mangrove,0.065,0.034,0.003,0.009,0.042,0.063,0.087,0.122,0.136
wet19,TS10,Seagrass,0.675,0.054,0.563,0.582,0.639,0.677,0.714,0.758,0.773
wet19,TS10,POM,0.046,0.045,0.001,0.003,0.013,0.031,0.063,0.142,0.171
wet19,TS11,Epiphytic microalgae,0.593,0.082,0.438,0.462,0.537,0.591,0.648,0.734,0.756
wet19,TS11,Red Mangrove,0.026,0.021,0.001,0.003,0.011,0.021,0.037,0.066,0.077
wet19,TS11,Seagrass,0.351,0.086,0.177,0.207,0.295,0.352,0.41,0.488,0.516
wet19,TS11,POM,0.03,0.034,0.001,0.001,0.006,0.018,0.041,0.099,0.123
wet19,TS7,Epiphytic microalgae,0.47,0.102,0.164,0.239,0.437,0.486,0.532,0.593,0.612
wet19,TS7,Red Mangrove,0.295,0.111,0.002,0.006,0.274,0.325,0.363,0.413,0.429
wet19,TS7,Seagrass,0.106,0.047,0.028,0.037,0.071,0.103,0.139,0.19,0.206
wet19,TS7,POM,0.129,0.205,0.001,0.002,0.014,0.043,0.121,0.678,0.761
wet19,TS9,Epiphytic microalgae,0.781,0.084,0.604,0.631,0.726,0.787,0.841,0.907,0.929
wet19,TS9,Red Mangrove,0.039,0.034,0.001,0.003,0.013,0.029,0.056,0.108,0.125
wet19,TS9,Seagrass,0.142,0.073,0.031,0.04,0.087,0.132,0.186,0.28,0.31
wet19,TS9,POM,0.038,0.049,0,0.001,0.007,0.021,0.052,0.134,0.171
