Site,Date,Year,Salinity,TN_um_L,TN_moles_L,TN_g_L,TN_ug_L,TP_um_L,TP_moles_L,TP_g_L,TP_ug_L,NP_molar,NP_mass
SRS4,10/31/00,2000,2.00,37.33,0.000037,0.000523,522.87,0.17,0.000000,0.000005,5.27,219.58,99.30
SRS5,10/31/00,2000,15.00,26.88,0.000027,0.000377,376.51,0.31,0.000000,0.000010,9.60,86.71,39.21
SRS6,10/31/00,2000,24.00,24.26,0.000024,0.000340,339.75,0.58,0.000001,0.000018,17.96,41.82,18.91
SRS4,11/3/00,2000,2.00,36.31,0.000036,0.000509,508.54,0.29,0.000000,0.000009,8.98,125.19,56.61
SRS5,11/3/00,2000,5.00,36.59,0.000037,0.000513,512.56,0.14,0.000000,0.000004,4.34,261.38,118.20
SRS6,11/3/00,2000,17.00,22.85,0.000023,0.000320,320.03,0.45,0.000000,0.000014,13.94,50.77,22.96
SRS4,11/6/00,2000,2.00,27.25,0.000027,0.000382,381.68,0.21,0.000000,0.000007,6.50,129.76,58.68
SRS5,11/6/00,2000,7.00,27.32,0.000027,0.000383,382.69,0.19,0.000000,0.000006,5.89,143.79,65.03
SRS6,11/6/00,2000,17.00,37.17,0.000037,0.000521,520.68,0.00,0.000000,0.000000,0.03,37173.00,16810.30
SRS4,11/9/00,2000,2.00,27.77,0.000028,0.000389,388.96,0.25,0.000000,0.000008,7.74,111.08,50.23
SRS5,11/9/00,2000,10.00,21.39,0.000021,0.000300,299.54,0.42,0.000000,0.000013,13.01,50.92,23.03
SRS6,11/9/00,2000,22.00,26.08,0.000026,0.000365,365.27,0.58,0.000001,0.000018,17.96,44.96,20.33
SRS4,11/12/00,2000,2.00,36.03,0.000036,0.000505,504.71,0.19,0.000000,0.000006,5.89,189.65,85.76
SRS5,11/12/00,2000,17.00,27.73,0.000028,0.000388,388.40,0.67,0.000001,0.000021,20.75,41.39,18.72
SRS6,11/12/00,2000,25.00,23.45,0.000023,0.000328,328.41,0.87,0.000001,0.000027,26.95,26.95,12.19
SRS4,11/15/00,2000,5.00,40.51,0.000041,0.000567,567.44,0.34,0.000000,0.000011,10.53,119.15,53.88
SRS5,11/15/00,2000,20.00,26.35,0.000026,0.000369,369.07,0.54,0.000001,0.000017,16.73,48.79,22.07
SRS6,11/15/00,2000,27.00,34.16,0.000034,0.000478,478.41,0.94,0.000001,0.000029,29.12,36.34,16.43
SRS3,11/17/00,2000,0.00,34.16,0.000034,0.000478,478.42,0.12,0.000000,0.000004,3.72,284.63,128.72
SRS4,11/18/00,2000,4.00,28.23,0.000028,0.000395,395.36,0.20,0.000000,0.000006,6.19,141.13,63.82
SRS5,11/18/00,2000,11.00,36.51,0.000037,0.000511,511.44,0.24,0.000000,0.000007,7.43,152.14,68.80
SRS6,11/18/00,2000,25.00,24.30,0.000024,0.000340,340.33,0.56,0.000001,0.000017,17.35,43.39,19.62
SRS2,11/19/00,2000,0.00,40.94,0.000041,0.000574,573.50,0.10,0.000000,0.000003,3.10,409.44,185.16
SRS3,11/20/00,2000,0.00,35.35,0.000035,0.000495,495.20,0.19,0.000000,0.000006,5.89,186.07,84.15
SRS4,11/21/00,2000,2.00,34.67,0.000035,0.000486,485.65,0.10,0.000000,0.000003,3.10,346.72,156.79
SRS5,11/21/00,2000,10.00,35.11,0.000035,0.000492,491.80,0.37,0.000000,0.000011,11.46,94.89,42.91
SRS6,11/21/00,2000,21.00,30.85,0.000031,0.000432,432.05,0.57,0.000001,0.000018,17.66,54.11,24.47
SRS2,11/22/00,2000,0.00,39.72,0.000040,0.000556,556.40,0.09,0.000000,0.000003,2.79,441.37,199.59
SRS3,11/23/00,2000,0.00,48.46,0.000048,0.000679,678.84,0.28,0.000000,0.000009,8.67,173.09,78.27
SRS4,11/24/00,2000,2.00,38.11,0.000038,0.000534,533.78,0.00,0.000000,0.000000,0.03,38108.00,17233.12
SRS5,11/24/00,2000,6.00,39.57,0.000040,0.000554,554.29,0.32,0.000000,0.000010,9.91,123.66,55.92
SRS6,11/24/00,2000,15.00,22.60,0.000023,0.000317,316.56,0.69,0.000001,0.000021,21.37,32.75,14.81
SRS2,11/25/00,2000,0.00,33.09,0.000033,0.000463,463.48,0.09,0.000000,0.000003,2.79,367.66,166.26
SRS3,11/26/00,2000,0.00,37.12,0.000037,0.000520,519.94,0.10,0.000000,0.000003,3.10,371.20,167.86
SRS4,11/27/00,2000,2.00,32.27,0.000032,0.000452,452.01,0.16,0.000000,0.000005,4.96,201.69,91.21
SRS5,11/27/00,2000,16.00,29.36,0.000029,0.000411,411.23,0.72,0.000001,0.000022,22.30,40.78,18.44
SRS6,11/27/00,2000,24.00,23.96,0.000024,0.000336,335.64,0.46,0.000000,0.000014,14.25,52.09,23.56
SRS2,11/28/00,2000,0.00,33.27,0.000033,0.000466,466.03,0.09,0.000000,0.000003,2.79,369.68,167.17
SRS3,11/29/00,2000,0.00,31.70,0.000032,0.000444,444.08,0.09,0.000000,0.000003,2.79,352.27,159.30
SRS4,11/30/00,2000,5.00,42.18,0.000042,0.000591,590.83,0.13,0.000000,0.000004,4.03,324.47,146.73
SRS5,11/30/00,2000,16.00,30.74,0.000031,0.000431,430.53,0.62,0.000001,0.000019,19.20,49.58,22.42
SRS6,11/30/00,2000,23.00,21.01,0.000021,0.000294,294.30,0.72,0.000001,0.000022,22.30,29.18,13.20
SRS1,12/1/00,2000,0.00,47.65,0.000048,0.000667,667.38,0.67,0.000001,0.000021,20.75,71.11,32.16
SRS2,12/1/00,2000,0.00,38.11,0.000038,0.000534,533.83,0.09,0.000000,0.000003,2.79,423.47,191.50
SRS3,12/2/00,2000,0.00,38.78,0.000039,0.000543,543.15,0.08,0.000000,0.000002,2.48,484.71,219.20
SRS4,12/3/00,2000,2.00,31.20,0.000031,0.000437,437.02,0.12,0.000000,0.000004,3.72,260.00,117.58
SRS5,12/3/00,2000,14.00,41.94,0.000042,0.000587,587.48,0.57,0.000001,0.000018,17.66,73.58,33.28
SRS6,12/3/00,2000,20.00,16.98,0.000017,0.000238,237.88,0.00,0.000000,0.000000,0.03,16983.00,7680.02
SRS1,12/4/00,2000,0.00,42.79,0.000043,0.000599,599.40,0.44,0.000000,0.000014,13.63,97.26,43.98
SRS2,12/4/00,2000,0.00,30.20,0.000030,0.000423,422.98,0.07,0.000000,0.000002,2.17,431.40,195.09
SRS3,12/4/00,2000,0.00,43.88,0.000044,0.000615,614.64,0.10,0.000000,0.000003,3.10,438.81,198.44
SRS4,12/6/00,2000,2.00,36.85,0.000037,0.000516,516.12,0.10,0.000000,0.000003,3.10,368.47,166.63
SRS5,12/6/00,2000,10.00,39.94,0.000040,0.000559,559.37,0.31,0.000000,0.000010,9.60,128.82,58.26
SRS6,12/6/00,2000,21.00,25.60,0.000026,0.000359,358.57,0.47,0.000000,0.000015,14.56,54.47,24.63
SRS1,12/7/00,2000,0.00,32.18,0.000032,0.000451,450.73,0.35,0.000000,0.000011,10.84,91.94,41.58
SRS2,12/7/00,2000,0.00,49.22,0.000049,0.000689,689.38,0.11,0.000000,0.000003,3.41,447.43,202.33
SRS3,12/7/00,2000,0.00,53.13,0.000053,0.000744,744.14,0.14,0.000000,0.000004,4.34,379.47,171.60
SRS4,12/9/00,2000,2.00,38.86,0.000039,0.000544,544.30,0.14,0.000000,0.000004,4.34,277.56,125.52
SRS5,12/9/00,2000,19.00,36.78,0.000037,0.000515,515.11,0.65,0.000001,0.000020,20.13,56.58,25.59
SRS6,12/9/00,2000,26.00,22.82,0.000023,0.000320,319.58,0.77,0.000001,0.000024,23.85,29.63,13.40
SRS1,12/10/00,2000,0.00,41.58,0.000042,0.000582,582.36,0.35,0.000000,0.000011,10.84,118.79,53.72
SRS2,12/10/00,2000,0.00,39.52,0.000040,0.000554,553.56,0.13,0.000000,0.000004,4.03,304.00,137.47
SRS3,12/10/00,2000,0.00,57.73,0.000058,0.000809,808.62,0.11,0.000000,0.000003,3.41,524.82,237.33
SRS4,12/12/00,2000,4.00,55.72,0.000056,0.000780,780.47,0.15,0.000000,0.000005,4.65,371.47,167.98
SRS5,12/12/00,2000,21.00,33.77,0.000034,0.000473,472.97,0.98,0.000001,0.000030,30.35,34.46,15.58
SRS6,12/12/00,2000,27.00,23.22,0.000023,0.000325,325.19,0.71,0.000001,0.000022,21.99,32.70,14.79
SRS1,12/13/00,2000,0.00,51.39,0.000051,0.000720,719.79,0.27,0.000000,0.000008,8.36,190.33,86.07
SRS2,12/13/00,2000,0.00,44.55,0.000045,0.000624,624.05,0.10,0.000000,0.000003,3.10,445.53,201.48
SRS3,12/13/00,2000,0.00,52.22,0.000052,0.000731,731.45,0.13,0.000000,0.000004,4.03,401.69,181.65
SRS4,12/15/00,2000,5.00,38.18,0.000038,0.000535,534.80,0.17,0.000000,0.000005,5.27,224.59,101.57
SRS5,12/15/00,2000,20.00,35.24,0.000035,0.000494,493.54,0.75,0.000001,0.000023,23.23,46.98,21.25
SRS6,12/15/00,2000,29.00,27.14,0.000027,0.000380,380.11,0.00,0.000000,0.000000,0.03,27137.00,12271.84
SRS1,12/16/00,2000,0.00,37.31,0.000037,0.000523,522.64,0.39,0.000000,0.000012,12.08,95.67,43.27
SRS2,12/16/00,2000,0.00,50.95,0.000051,0.000714,713.59,0.14,0.000000,0.000004,4.34,363.89,164.56
SRS3,12/16/00,2000,0.00,47.51,0.000048,0.000666,665.53,0.14,0.000000,0.000004,4.34,339.39,153.48
SRS1,12/17/00,2000,0.00,38.62,0.000039,0.000541,540.88,0.38,0.000000,0.000012,11.77,101.62,45.95
SRS4,12/18/00,2000,3.00,49.37,0.000049,0.000692,691.57,0.10,0.000000,0.000003,3.10,493.73,223.27
SRS5,12/18/00,2000,9.00,34.65,0.000035,0.000485,485.37,0.12,0.000000,0.000004,3.72,288.77,130.59
SRS6,12/18/00,2000,19.00,22.18,0.000022,0.000311,310.70,0.34,0.000000,0.000011,10.53,65.24,29.50
SRS2,12/19/00,2000,0.00,44.47,0.000044,0.000623,622.89,0.13,0.000000,0.000004,4.03,342.08,154.69
