"site","season","group","common_name","functional_grp","n","d13C","d13Csd","d15N","d15Nsd","d34S","d34Ssd"
"SRS4","dry19","Consumer","Dark False Mussel","Sessile_filter_feeder",1,-34.84,NA,8.23,NA,-0.99,NA
"SRS4","dry19","Consumer","Ghost Shrimp","Shrimp",3,-28.0066666666667,0.22233608194203,9.44333333333333,0.819776392276171,10.5366666666667,1.46575350360602
"SRS4","dry19","Consumer","Isopod","Benthic_invert",3,-28.2166666666667,3.2625807780549,7.64666666666667,0.248461935381123,8.16333333333333,1.18153854500534
"SRS4","dry19","Consumer","Mud crab","Crab",5,-24.496,8.09709701065758,6.788,0.598514828554815,6.464,4.95895452691391
"SRS4","dry19","Consumer","Mud Crab","Crab",1,-31.32,NA,6.61,NA,3.04,NA
"SRS4","dry19","Consumer","Pink shrimp","Shrimp",1,-26.33,NA,10.81,NA,13.96,NA
"SRS4","dry19","Consumer","Water strider","Insect",1,-29.58,NA,8.97,NA,9.64,NA
"SRS4","wet19","Consumer","Blue Crab","Crab",2,-30.84,2.9274220741123,6.985,0.756604255869605,10.635,7.67210857587404
"SRS4","wet19","Consumer","Crested Goby","demersal_fish",3,-29.0333333333333,1.63689747184524,9.37333333333333,0.738940683230619,9.63666666666667,2.60219778904935
"SRS4","wet19","Consumer","Dark False Mussel","Sessile_filter_feeder",1,-32.53,NA,6.12,NA,5.95,NA
"SRS4","wet19","Consumer","Ghost Shrimp","Shrimp",2,-29.515,0.982878425849301,8.175,0.233345237791561,9.095,0.190918830920368
"SRS4","wet19","Consumer","Harris Mud Crab","Crab",2,-31.935,0.544472221513641,6.1,0.254558441227157,3.65,0.650538238691624
"SRS4","wet19","Consumer","Isopod","Benthic_invert",2,-36.46,0.0707106781186558,5.715,0.601040764008565,12.3,NA
"SRS4","wet19","Consumer","Pink Shrimp","Shrimp",2,-31.62,0.42426406871193,7.545,0.756604255869606,5.25,0.636396103067893
"SRS4","wet19","Consumer","Sailfin Molly","Forage_fish",3,-31.8833333333333,1.17035607117378,5.13333333333333,1.00976895047002,9.77333333333333,3.64137794431357
"SRS4","wet19","Consumer","Spotted Tilapia","demersal_fish",3,-33.54,2.19560925485388,9.22666666666667,0.502924779001129,10.09,3.38288338551597
"SRS4","wet19","Consumer","Striped Mojarra","demersal_fish",3,-32.4766666666667,0.422532050066422,9.47333333333333,0.515978035708239,2.05666666666667,0.611582646363787
"SRS4","wet19","Consumer","Striped Mullet","demersal_fish",4,-20.0625,3.89084716567828,7.8925,1.00091208405134,5.2875,2.96473017321982
"SRS4","wet19","Consumer","Tidewater Mojarra","Forage_fish",3,-32.0766666666667,0.225462487641146,9.31333333333333,0.261023626006025,1.52333333333333,1.73793939288266
